 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99537.8747   -99537.9877   -99537.9877  0.01022  0.00000  0.00000
    2   -99537.2348   -99537.9869   -99537.9869  0.01707  0.00000  0.00000
    3   -99537.9406   -99537.9804   -99537.9804  0.00993  0.00000  0.00000
    4   -99537.9539   -99537.9798   -99537.9798  0.00973  0.00000  0.00000
    5   -99538.0845   -99537.9801   -99537.9801  0.00742  0.00000  0.00000
    6   -99538.0990   -99537.9802   -99537.9802  0.00465  0.00000  0.00000
    7   -99537.9008   -99537.9822   -99537.9822  0.00246  0.00000  0.00000
    8   -99537.9406   -99537.9818   -99537.9818  0.00204  0.00000  0.00000
    9   -99538.0317   -99537.9790   -99537.9790  0.00272  0.00000  0.00000
   10   -99537.9666   -99537.9789   -99537.9789  0.00067  0.00000  0.00000
   11   -99537.9915   -99537.9760   -99537.9760  0.00084  0.00000  0.00000
   12   -99537.9931   -99537.9752   -99537.9752  0.00062  0.00000  0.00000
   13   -99537.9901   -99537.9748   -99537.9748  0.00038  0.00000  0.00000
   14   -99537.9818   -99537.9750   -99537.9750  0.00018  0.00000  0.00000
   15   -99537.9807   -99537.9749   -99537.9749  0.00014  0.00000  0.00000
   16   -99537.9789   -99537.9749   -99537.9749  0.00015  0.00000  0.00000
   17   -99537.9793   -99537.9749   -99537.9749  0.00014  0.00000  0.00000
   18   -99537.9746   -99537.9751   -99537.9751  0.00006  0.00000  0.00000
