 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -120094.5149  -120093.5672  -120093.5672  0.07472  0.07472  0.00000
    2  -120094.6071  -120093.6626  -120093.6626  0.00515  0.06719  0.00000
    3  -120094.9906  -120094.5939  -120094.5939  0.03334  0.01425  0.00000
    4  -120094.3628  -120095.0479  -120095.0479  0.08657  0.01266  0.00000
    5  -120094.3715  -120094.3096  -120094.3096  0.01987  0.00615  0.00000
    6  -120094.2538  -120094.3876  -120094.3876  0.03211  0.00446  0.00000
    7  -120093.9433  -120094.2525  -120094.2525  0.01373  0.00426  0.00000
    8  -120093.8281  -120093.9305  -120093.9305  0.00650  0.00109  0.00000
    9  -120093.8381  -120093.8242  -120093.8242  0.00397  0.00133  0.00000
   10  -120093.7565  -120093.8414  -120093.8414  0.00317  0.00103  0.00000
   11  -120093.7459  -120093.7531  -120093.7531  0.00140  0.00038  0.00000
   12  -120093.7556  -120093.7464  -120093.7464  0.00070  0.00015  0.00000
   13  -120093.7492  -120093.7557  -120093.7557  0.00087  0.00019  0.00000
   14  -120093.7565  -120093.7490  -120093.7490  0.00044  0.00008  0.00000
   15  -120093.7620  -120093.7567  -120093.7567  0.00029  0.00004  0.00000
   16  -120093.7669  -120093.7621  -120093.7621  0.00018  0.00003  0.00000
   17  -120093.7729  -120093.7670  -120093.7670  0.00013  0.00006  0.00000
   18  -120093.7702  -120093.7729  -120093.7729  0.00014  0.00003  0.00000
   19  -120093.7733  -120093.7701  -120093.7701  0.00006  0.00003  0.00000
