 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -120114.7755  -120260.5192  -120260.5192  1.91325  1.91325  0.00000
    2  -120100.1565  -120244.9669  -120244.9669  0.46857  1.72174  0.00000
    3  -120042.2346  -120063.7735  -120063.7735  2.41598  0.80952  0.00000
    4  -119924.2018  -119867.8636  -119867.8636  5.68334  0.80977  0.00000
    5  -120076.6203  -120080.2393  -120080.2393  1.94403  0.25099  0.00000
    6  -120090.7532  -120094.7811  -120094.7811  0.97196  0.11387  0.00000
    7  -120094.9474  -120095.4178  -120095.4178  0.39601  0.03293  0.00000
    8  -120093.8287  -120095.3664  -120095.3664  0.28470  0.05321  0.00000
    9  -120093.6860  -120093.9774  -120093.9774  0.05117  0.00726  0.00000
   10  -120093.6536  -120093.6767  -120093.6767  0.02052  0.00601  0.00000
   11  -120093.6715  -120093.6745  -120093.6745  0.01267  0.00413  0.00000
   12  -120093.6714  -120093.6799  -120093.6799  0.00819  0.00231  0.00000
   13  -120093.6817  -120093.6804  -120093.6804  0.01038  0.00271  0.00000
   14  -120093.6876  -120093.6793  -120093.6793  0.00513  0.00251  0.00000
   15  -120093.6579  -120093.6912  -120093.6912  0.00338  0.00079  0.00000
   16  -120093.6794  -120093.6522  -120093.6522  0.00414  0.00185  0.00000
   17  -120093.6740  -120093.6844  -120093.6844  0.00147  0.00060  0.00000
   18  -120093.6760  -120093.6727  -120093.6727  0.00173  0.00030  0.00000
   19  -120093.6748  -120093.6756  -120093.6756  0.00152  0.00038  0.00000
   20  -120093.6780  -120093.6752  -120093.6752  0.00128  0.00028  0.00000
   21  -120093.6822  -120093.6783  -120093.6783  0.00094  0.00019  0.00000
   22  -120093.6858  -120093.6824  -120093.6824  0.00046  0.00016  0.00000
   23  -120093.6851  -120093.6861  -120093.6861  0.00013  0.00009  0.00000
   24  -120093.6858  -120093.6848  -120093.6848  0.00026  0.00003  0.00000
   25  -120093.6873  -120093.6859  -120093.6859  0.00016  0.00002  0.00000
   26  -120093.6872  -120093.6874  -120093.6874  0.00010  0.00003  0.00000
   27  -120093.6876  -120093.6872  -120093.6872  0.00006  0.00004  0.00000
