#        z (A)          V_H average (eV)
        0.0000000000  -1.0989796330E+001
        0.0793904762  -1.0552683620E+001
        0.1587809524  -9.2981812296E+000
        0.2381714286  -7.3859308138E+000
        0.3175619048  -5.0460767602E+000
        0.3969523810  -2.5308289343E+000
        0.4763428571  -6.4988824846E-002
        0.5557333333   2.1863760484E+000
        0.6351238095   4.1250437127E+000
        0.7145142857   5.7075975313E+000
        0.7939047619   6.9261909109E+000
        0.8732952381   7.7909237677E+000
        0.9526857143   8.3171441308E+000
        1.0320761905   8.5174845940E+000
        1.1114666667   8.3974229463E+000
        1.1908571429   7.9536310301E+000
        1.2702476190   7.1749638733E+000
        1.3496380952   6.0461635299E+000
        1.4290285714   4.5548317370E+000
        1.5084190476   2.7028490921E+000
        1.5878095238   5.2289413852E-001
        1.6672000000  -1.9021246375E+000
        1.7465904762  -4.4241227631E+000
        1.8259809524  -6.8311693411E+000
        1.9053714286  -8.8736630155E+000
        1.9847619048  -1.0311033681E+001
        2.0641523810  -1.0962192314E+001
        2.1435428571  -1.0742730027E+001
        2.2229333333  -9.6812331018E+000
        2.3023238095  -7.9138562395E+000
        2.3817142857  -5.6572125616E+000
        2.4611047619  -3.1629290281E+000
        2.5404952381  -6.6661492538E-001
        2.6198857143   1.6500875289E+000
        2.6992761905   3.6728257888E+000
        2.7786666667   5.3461991442E+000
        2.8580571429   6.6552789323E+000
        2.9374476190   7.6070752620E+000
        3.0168380952   8.2165350184E+000
        3.0962285714   8.4975042927E+000
        3.1756190476   8.4575077617E+000
        3.2550095238   8.0954290725E+000
        3.3344000000   7.4018403852E+000
        3.4137904762   6.3620033231E+000
        3.4931809524   4.9619300954E+000
        3.5725714286   3.1985761611E+000
        3.6519619048   1.0951320377E+000
        3.7313523810  -1.2798105278E+000
        3.8107428571  -3.7951833205E+000
        3.8901333333  -6.2535826288E+000
        3.9695238095  -8.4110258077E+000
        4.0489142857  -1.0019760363E+001
        4.1283047619  -1.0879609215E+001
        4.2076952381  -1.0879609215E+001
        4.2870857143  -1.0019760363E+001
        4.3664761905  -8.4110258076E+000
        4.4458666667  -6.2535826287E+000
        4.5252571429  -3.7951833205E+000
        4.6046476190  -1.2798105278E+000
        4.6840380952   1.0951320377E+000
        4.7634285714   3.1985761611E+000
        4.8428190476   4.9619300955E+000
        4.9222095238   6.3620033232E+000
        5.0016000000   7.4018403853E+000
        5.0809904762   8.0954290726E+000
        5.1603809524   8.4575077619E+000
        5.2397714286   8.4975042929E+000
        5.3191619048   8.2165350185E+000
        5.3985523810   7.6070752622E+000
        5.4779428571   6.6552789325E+000
        5.5573333333   5.3461991443E+000
        5.6367238095   3.6728257889E+000
        5.7161142857   1.6500875290E+000
        5.7955047619  -6.6661492529E-001
        5.8748952381  -3.1629290280E+000
        5.9542857143  -5.6572125615E+000
        6.0336761905  -7.9138562395E+000
        6.1130666667  -9.6812331018E+000
        6.1924571429  -1.0742730027E+001
        6.2718476190  -1.0962192314E+001
        6.3512380952  -1.0311033681E+001
        6.4306285714  -8.8736630156E+000
        6.5100190476  -6.8311693412E+000
        6.5894095238  -4.4241227632E+000
        6.6688000000  -1.9021246377E+000
        6.7481904762   5.2289413834E-001
        6.8275809524   2.7028490919E+000
        6.9069714286   4.5548317368E+000
        6.9863619048   6.0461635297E+000
        7.0657523810   7.1749638731E+000
        7.1451428571   7.9536310298E+000
        7.2245333333   8.3974229461E+000
        7.3039238095   8.5174845938E+000
        7.3833142857   8.3171441306E+000
        7.4627047619   7.7909237675E+000
        7.5420952381   6.9261909108E+000
        7.6214857143   5.7075975312E+000
        7.7008761905   4.1250437126E+000
        7.7802666667   2.1863760484E+000
        7.8596571429  -6.4988824908E-002
        7.9390476190  -2.5308289343E+000
        8.0184380952  -5.0460767602E+000
        8.0978285714  -7.3859308138E+000
        8.1772190476  -9.2981812296E+000
        8.2566095238  -1.0552683620E+001
