#        z (A)          V_H average (eV)
        0.0000000000  -1.0999095290E+001
        0.0793904762  -1.0561544100E+001
        0.1587809524  -9.3058291135E+000
        0.2381714286  -7.3918445162E+000
        0.3175619048  -5.0500155030E+000
        0.3969523810  -2.5327651940E+000
        0.4763428571  -6.5018605700E-002
        0.5557333333   2.1880931548E+000
        0.6351238095   4.1283090128E+000
        0.7145142857   5.7121803114E+000
        0.7939047619   6.9318331309E+000
        0.8732952381   7.7973467492E+000
        0.9526857143   8.3240557331E+000
        1.0320761905   8.5245851551E+000
        1.1114666667   8.4044100552E+000
        1.1908571429   7.9602039182E+000
        1.2702476190   7.1808280227E+000
        1.3496380952   6.0510362575E+000
        1.4290285714   4.5584491545E+000
        1.5084190476   2.7049731402E+000
        1.5878095238   5.2331771664E-001
        1.6672000000  -1.9035721621E+000
        1.7465904762  -4.4275573190E+000
        1.8259809524  -6.8366020466E+000
        1.9053714286  -8.8809149014E+000
        1.9847619048  -1.0319655525E+001
        2.0641523810  -1.0971463419E+001
        2.1435428571  -1.0751780167E+001
        2.2229333333  -9.6892444449E+000
        2.3023238095  -7.9202364364E+000
        2.3817142857  -5.6616543846E+000
        2.4611047619  -3.1653604322E+000
        2.5404952381  -6.6710823575E-001
        2.6198857143   1.6513851832E+000
        2.6992761905   3.6757244840E+000
        2.7786666667   5.3504757846E+000
        2.8580571429   6.6606817521E+000
        2.9374476190   7.6133300437E+000
        3.0168380952   8.2233523677E+000
        3.0962285714   8.5045859484E+000
        3.1756190476   8.4645515849E+000
        3.2550095238   8.1021334710E+000
        3.3344000000   7.4079088071E+000
        3.4137904762   6.3671495193E+000
        3.4931809524   4.9658847789E+000
        3.5725714286   3.2010942393E+000
        3.6519619048   1.0959982857E+000
        3.7313523810  -1.2807767535E+000
        3.8107428571  -3.7981147820E+000
        3.8901333333  -6.2585235579E+000
        3.9695238095  -8.4178536290E+000
        4.0489142857  -1.0028097882E+001
        4.1283047619  -1.0888797004E+001
        4.2076952381  -1.0888797004E+001
        4.2870857143  -1.0028097882E+001
        4.3664761905  -8.4178536290E+000
        4.4458666667  -6.2585235579E+000
        4.5252571429  -3.7981147820E+000
        4.6046476190  -1.2807767535E+000
        4.6840380952   1.0959982857E+000
        4.7634285714   3.2010942393E+000
        4.8428190476   4.9658847790E+000
        4.9222095238   6.3671495193E+000
        5.0016000000   7.4079088072E+000
        5.0809904762   8.1021334711E+000
        5.1603809524   8.4645515851E+000
        5.2397714286   8.5045859485E+000
        5.3191619048   8.2233523679E+000
        5.3985523810   7.6133300438E+000
        5.4779428571   6.6606817522E+000
        5.5573333333   5.3504757848E+000
        5.6367238095   3.6757244841E+000
        5.7161142857   1.6513851833E+000
        5.7955047619  -6.6710823568E-001
        5.8748952381  -3.1653604322E+000
        5.9542857143  -5.6616543845E+000
        6.0336761905  -7.9202364364E+000
        6.1130666667  -9.6892444449E+000
        6.1924571429  -1.0751780167E+001
        6.2718476190  -1.0971463419E+001
        6.3512380952  -1.0319655525E+001
        6.4306285714  -8.8809149015E+000
        6.5100190476  -6.8366020467E+000
        6.5894095238  -4.4275573192E+000
        6.6688000000  -1.9035721622E+000
        6.7481904762   5.2331771643E-001
        6.8275809524   2.7049731399E+000
        6.9069714286   4.5584491543E+000
        6.9863619048   6.0510362572E+000
        7.0657523810   7.1808280224E+000
        7.1451428571   7.9602039179E+000
        7.2245333333   8.4044100550E+000
        7.3039238095   8.5245851548E+000
        7.3833142857   8.3240557329E+000
        7.4627047619   7.7973467490E+000
        7.5420952381   6.9318331307E+000
        7.6214857143   5.7121803113E+000
        7.7008761905   4.1283090127E+000
        7.7802666667   2.1880931547E+000
        7.8596571429  -6.5018605768E-002
        7.9390476190  -2.5327651941E+000
        8.0184380952  -5.0500155030E+000
        8.0978285714  -7.3918445163E+000
        8.1772190476  -9.3058291136E+000
        8.2566095238  -1.0561544100E+001
