 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -109428.6580  -109426.6754  -109426.6754  0.06346  0.06346  0.00000
    2  -109428.8225  -109426.8692  -109426.8692  0.00723  0.05778  0.00000
    3  -109429.8957  -109428.7638  -109428.7638  0.05376  0.02137  0.00000
    4  -109429.2928  -109430.1571  -109430.1571  0.08129  0.00991  0.00000
    5  -109428.2019  -109429.1781  -109429.1781  0.02967  0.00611  0.00000
    6  -109428.0753  -109428.1207  -109428.1207  0.00944  0.00117  0.00000
    7  -109427.9489  -109428.0749  -109428.0749  0.00695  0.00106  0.00000
    8  -109427.7776  -109427.9450  -109427.9450  0.00407  0.00316  0.00000
    9  -109427.7275  -109427.7852  -109427.7852  0.00205  0.00028  0.00000
   10  -109427.7247  -109427.7213  -109427.7213  0.00034  0.00004  0.00000
   11  -109427.7492  -109427.7248  -109427.7248  0.00027  0.00024  0.00000
   12  -109427.7552  -109427.7496  -109427.7496  0.00025  0.00007  0.00000
   13  -109427.7572  -109427.7554  -109427.7554  0.00005  0.00001  0.00000
