 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -109412.6353  -109578.1371  -109578.1371  0.85603  0.85603  0.00000
    2  -109412.8664  -109561.5251  -109561.5251  0.23497  0.68295  0.00000
    3  -109354.1017  -109377.1840  -109377.1840  1.99211  0.87268  0.00000
    4  -107656.9793  -107575.6982  -107575.6982 13.08502  0.73742  0.00000
    5  -109399.4347  -109402.6455  -109402.6455  0.74865  0.20021  0.00000
    6  -109400.1797  -109400.9352  -109400.9352  0.33630  0.13258  0.00000
    7  -109390.6416  -109385.8034  -109385.8034  1.37283  0.20316  0.00000
    8  -109404.1298  -109405.4835  -109405.4835  0.08855  0.03697  0.00000
    9  -109403.7322  -109403.4430  -109403.4430  0.22340  0.05063  0.00000
   10  -109404.8383  -109404.4095  -109404.4095  0.15375  0.05323  0.00000
   11  -109401.4663  -109404.5513  -109404.5513  0.16123  0.10575  0.00000
   12  -109393.7909  -109392.1358  -109392.1358  0.95750  0.05204  0.00000
   13  -109403.7789  -109399.4580  -109399.4580  0.55438  0.04878  0.00000
   14  -109408.9650  -109407.7170  -109407.7170  0.20795  0.09609  0.00000
   15  -109404.5303  -109405.2678  -109405.2678  0.72024  0.05984  0.00000
   16  -109405.8844  -109407.7156  -109407.7156  0.33377  0.15174  0.00000
   17  -109404.7259  -109400.4227  -109400.4227  0.67857  0.10843  0.00000
   18  -109409.2171  -109409.6092  -109409.6092  0.44888  0.07684  0.00000
   19  -109407.8693  -109409.7122  -109409.7122  0.36081  0.06746  0.00000
   20  -109408.3112  -109408.0430  -109408.0430  0.02434  0.03385  0.00000
   21  -109403.6989  -109408.4239  -109408.4239  0.04038  0.11588  0.00000
   22  -109399.1581  -109395.3942  -109395.3942  0.80850  0.05207  0.00000
   23  -109410.9308  -109407.0933  -109407.0933  0.05109  0.03884  0.00000
   24  -109407.1571  -109409.9715  -109409.9715  0.53984  0.04740  0.00000
   25  -109412.8840  -109408.2985  -109408.2985  0.02043  0.03187  0.00000
   26  -109410.9805  -109410.9649  -109410.9649  0.63154  0.02564  0.00000
   27  -109401.4398  -109410.6852  -109410.6852  0.65792  0.11353  0.00000
   28  -109395.7881  -109393.6910  -109393.6910  0.92770  0.07515  0.00000
   29  -109403.6424  -109401.9633  -109401.9633  0.54636  0.03185  0.00000
   30  -109405.1285  -109406.4485  -109406.4485  0.22826  0.05636  0.00000
   31  -109407.6889  -109403.3919  -109403.3919  0.42493  0.05357  0.00000
   32  -109404.1501  -109410.3318  -109410.3318  0.26486  0.07373  0.00000
   33  -109398.0349  -109397.9565  -109397.9565  0.68906  0.02980  0.00000
   34  -109409.3681  -109397.4566  -109397.4566  0.73261  0.09701  0.00000
   35  -109403.2942  -109407.8024  -109407.8024  1.08566  0.04785  0.00000
   36  -109413.4740  -109410.8098  -109410.8098  0.46741  0.03434  0.00000
   37  -109409.8537  -109410.3218  -109410.3218  0.77953  0.00718  0.00000
   38  -109408.2484  -109410.7432  -109410.7432  0.70527  0.02659  0.00000
