 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -109436.9050  -109578.1371  -109578.1371  0.56328  0.56328  0.00000
    2  -109433.4774  -109563.8221  -109563.8221  0.19124  0.37241  0.00000
    3  -109407.2239  -109421.8467  -109421.8467  1.19490  0.48118  0.00000
    4  -109337.3176  -109323.7861  -109323.7861  2.91619  0.23754  0.00000
    5  -109422.2825  -109419.0269  -109419.0269  0.54922  0.04881  0.00000
    6  -109426.1768  -109424.6240  -109424.6240  0.14049  0.04078  0.00000
    7  -109426.8504  -109426.7724  -109426.7724  0.09766  0.00731  0.00000
    8  -109426.9354  -109427.0179  -109427.0179  0.04958  0.00747  0.00000
    9  -109426.5837  -109427.0216  -109427.0216  0.02787  0.02488  0.00000
   10  -109426.5675  -109426.6374  -109426.6374  0.01170  0.00179  0.00000
   11  -109426.4999  -109426.5652  -109426.5652  0.01032  0.01297  0.00000
   12  -109426.6806  -109426.5068  -109426.5068  0.01577  0.01000  0.00000
   13  -109426.6577  -109426.6817  -109426.6817  0.00515  0.00068  0.00000
   14  -109426.7396  -109426.6525  -109426.6525  0.00217  0.00302  0.00000
   15  -109426.7581  -109426.7330  -109426.7330  0.00405  0.00236  0.00000
   16  -109426.7607  -109426.7672  -109426.7672  0.00149  0.00052  0.00000
   17  -109426.7499  -109426.7573  -109426.7573  0.00042  0.00033  0.00000
   18  -109426.7449  -109426.7498  -109426.7498  0.00018  0.00004  0.00000
   19  -109426.7433  -109426.7448  -109426.7448  0.00020  0.00011  0.00000
   20  -109426.7369  -109426.7430  -109426.7430  0.00010  0.00004  0.00000
