 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -109418.4244  -109578.1371  -109578.1371  1.10208  1.10208  0.00000
    2  -109419.0375  -109559.9109  -109559.9109  0.46086  0.69688  0.00000
    3  -109393.0622  -109296.5048  -109296.5048  3.01262  1.18116  0.00000
    4   -97699.3816   -97497.6303   -97497.6303 32.13940  1.08723  0.00000
    5  -109379.5852  -109393.7696  -109393.7696  2.84764  0.28834  0.00000
    6  -109409.6827  -109407.6400  -109407.6400  1.44194  0.14215  0.00000
    7  -109424.8790  -109425.6113  -109425.6113  0.73748  0.06418  0.00000
    8  -109426.0742  -109427.4841  -109427.4841  0.40652  0.09288  0.00000
    9  -109426.4275  -109426.2745  -109426.2745  0.07727  0.00519  0.00000
   10  -109426.6013  -109426.5924  -109426.5924  0.03146  0.00619  0.00000
   11  -109426.6742  -109426.6774  -109426.6774  0.01338  0.00234  0.00000
   12  -109426.6861  -109426.6830  -109426.6830  0.01006  0.00117  0.00000
   13  -109426.7291  -109426.6901  -109426.6901  0.00883  0.00643  0.00000
   14  -109426.7444  -109426.7407  -109426.7407  0.00105  0.00031  0.00000
   15  -109426.7565  -109426.7467  -109426.7467  0.00088  0.00041  0.00000
   16  -109426.7530  -109426.7554  -109426.7554  0.00101  0.00058  0.00000
   17  -109426.7559  -109426.7536  -109426.7536  0.00045  0.00010  0.00000
   18  -109426.7568  -109426.7561  -109426.7561  0.00032  0.00004  0.00000
   19  -109426.7587  -109426.7567  -109426.7567  0.00027  0.00014  0.00000
   20  -109426.7600  -109426.7592  -109426.7592  0.00017  0.00006  0.00000
   21  -109426.7602  -109426.7596  -109426.7596  0.00016  0.00013  0.00000
   22  -109426.7601  -109426.7600  -109426.7600  0.00020  0.00006  0.00000
   23  -109426.7595  -109426.7602  -109426.7602  0.00014  0.00005  0.00000
   24  -109426.7588  -109426.7596  -109426.7596  0.00013  0.00002  0.00000
   25  -109426.7601  -109426.7590  -109426.7590  0.00013  0.00004  0.00000
   26  -109426.7598  -109426.7598  -109426.7598  0.00015  0.00003  0.00000
   27  -109426.7590  -109426.7599  -109426.7599  0.00012  0.00002  0.00000
   28  -109426.7591  -109426.7589  -109426.7589  0.00017  0.00001  0.00000
   29  -109426.7596  -109426.7592  -109426.7592  0.00016  0.00008  0.00000
   30  -109426.7606  -109426.7595  -109426.7595  0.00013  0.00004  0.00000
   31  -109426.7614  -109426.7607  -109426.7607  0.00013  0.00002  0.00000
   32  -109426.7613  -109426.7618  -109426.7618  0.00012  0.00006  0.00000
   33  -109426.7603  -109426.7608  -109426.7608  0.00009  0.00003  0.00000
