#        z (A)          V_H average (eV)
        0.0000000000   1.0305471399E+000
        0.0800000000   1.0234858746E+000
        0.1600000000   1.0019648678E+000
        0.2400000000   9.6495713489E-001
        0.3200000000   9.1070961957E-001
        0.4000000000   8.3670980404E-001
        0.4800000000   7.3969588676E-001
        0.5600000000   6.1577764337E-001
        0.6400000000   4.6075544165E-001
        0.7200000000   2.7075360747E-001
        0.8000000000   4.3339238513E-002
        0.8800000000  -2.2070379936E-001
        0.9600000000  -5.1501001022E-001
        1.0400000000  -8.2533879251E-001
        1.1200000000  -1.1287523361E+000
        1.2000000000  -1.3957337350E+000
        1.2800000000  -1.5954432889E+000
        1.3600000000  -1.7024420335E+000
        1.4400000000  -1.7024421132E+000
        1.5200000000  -1.5954435183E+000
        1.6000000000  -1.3957340872E+000
        1.6800000000  -1.1287527732E+000
        1.7600000000  -8.2533926946E-001
        1.8400000000  -5.1501047877E-001
        1.9200000000  -2.2070421400E-001
        2.0000000000   4.3338912554E-002
        2.0800000000   2.7075338811E-001
        2.1600000000   4.6075532846E-001
        2.2400000000   6.1577762089E-001
        2.3200000000   7.3969593069E-001
        2.4000000000   8.3670988808E-001
        2.4800000000   9.1070972122E-001
        2.5600000000   9.6495723913E-001
        2.6400000000   1.0019649683E+000
        2.7200000000   1.0234859729E+000
        2.8000000000   1.0305472424E+000
        2.8800000000   1.0234859893E+000
        2.9600000000   1.0019650011E+000
        3.0400000000   9.6495728950E-001
        3.1200000000   9.1070979340E-001
        3.2000000000   8.3670999134E-001
        3.2800000000   7.3969608053E-001
        3.3600000000   6.1577783882E-001
        3.4400000000   4.6075563983E-001
        3.5200000000   2.7075381811E-001
        3.6000000000   4.3339481033E-002
        3.6800000000  -2.2070349744E-001
        3.7600000000  -5.1500961781E-001
        3.8400000000  -8.2533828136E-001
        3.9200000000  -1.1287516870E+000
        4.0000000000  -1.3957329415E+000
        4.0800000000  -1.5954423586E+000
        4.1600000000  -1.7024409882E+000
        4.2400000000  -1.7024409882E+000
        4.3200000000  -1.5954423587E+000
        4.4000000000  -1.3957329415E+000
        4.4800000000  -1.1287516871E+000
        4.5600000000  -8.2533828143E-001
        4.6400000000  -5.1500961789E-001
        4.7200000000  -2.2070349754E-001
        4.8000000000   4.3339480924E-002
        4.8800000000   2.7075381798E-001
        4.9600000000   4.6075563970E-001
        5.0400000000   6.1577783867E-001
        5.1200000000   7.3969608037E-001
        5.2000000000   8.3670999117E-001
        5.2800000000   9.1070979323E-001
        5.3600000000   9.6495728932E-001
        5.4400000000   1.0019650009E+000
        5.5200000000   1.0234859891E+000
        5.6000000000   1.0305472422E+000
        5.6800000000   1.0234859727E+000
        5.7600000000   1.0019649681E+000
        5.8400000000   9.6495723894E-001
        5.9200000000   9.1070972104E-001
        6.0000000000   8.3670988791E-001
        6.0800000000   7.3969593052E-001
        6.1600000000   6.1577762073E-001
        6.2400000000   4.6075532830E-001
        6.3200000000   2.7075338796E-001
        6.4000000000   4.3338912420E-002
        6.4800000000  -2.2070421413E-001
        6.5600000000  -5.1501047888E-001
        6.6400000000  -8.2533926956E-001
        6.7200000000  -1.1287527733E+000
        6.8000000000  -1.3957340873E+000
        6.8800000000  -1.5954435184E+000
        6.9600000000  -1.7024421133E+000
        7.0400000000  -1.7024420335E+000
        7.1200000000  -1.5954432890E+000
        7.2000000000  -1.3957337351E+000
        7.2800000000  -1.1287523362E+000
        7.3600000000  -8.2533879255E-001
        7.4400000000  -5.1501001026E-001
        7.5200000000  -2.2070379939E-001
        7.6000000000   4.3339238482E-002
        7.6800000000   2.7075360744E-001
        7.7600000000   4.6075544162E-001
        7.8400000000   6.1577764334E-001
        7.9200000000   7.3969588674E-001
        8.0000000000   8.3670980402E-001
        8.0800000000   9.1070961955E-001
        8.1600000000   9.6495713488E-001
        8.2400000000   1.0019648678E+000
        8.3200000000   1.0234858746E+000
