 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -10189.4003   -10240.2271   -10240.2271  1.21307  1.21307  0.00000
    2   -10244.9791   -10232.2767   -10232.2767  0.66052  0.36156  0.00000
    3   -10245.6002   -10246.2383   -10246.2383  0.08299  0.04788  0.00000
    4   -10245.4788   -10245.6843   -10245.6843  0.05924  0.03007  0.00000
    5   -10244.6355   -10245.5348   -10245.5348  0.05262  0.11605  0.00000
    6   -10247.5574   -10244.6255   -10244.6255  0.05489  0.15345  0.00000
    7   -10246.6716   -10247.2030   -10247.2030  0.21381  0.02915  0.00000
    8   -10244.8984   -10246.7901   -10246.7901  0.16276  0.10092  0.00000
    9   -10245.5910   -10245.0313   -10245.0313  0.02287  0.03131  0.00000
   10   -10245.4799   -10245.5871   -10245.5871  0.03077  0.00815  0.00000
   11   -10245.3649   -10245.4851   -10245.4851  0.01676  0.00664  0.00000
   12   -10245.3482   -10245.3672   -10245.3672  0.00274  0.00079  0.00000
   13   -10245.3491   -10245.3483   -10245.3483  0.00057  0.00045  0.00000
   14   -10245.3493   -10245.3491   -10245.3491  0.00021  0.00013  0.00000
   15   -10245.3498   -10245.3493   -10245.3493  0.00015  0.00030  0.00000
   16   -10245.3490   -10245.3497   -10245.3497  0.00007  0.00021  0.00000
   17   -10245.3493   -10245.3490   -10245.3490  0.00003  0.00003  0.00000
