 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -10189.4107   -10240.2271   -10240.2271  1.21293  1.21293  0.00000
    2   -10244.9530   -10232.2789   -10232.2789  0.66040  0.36156  0.00000
    3   -10245.5992   -10246.2133   -10246.2133  0.08088  0.04714  0.00000
    4   -10245.4737   -10245.6821   -10245.6821  0.05924  0.03045  0.00000
    5   -10244.6441   -10245.5300   -10245.5300  0.05254  0.11541  0.00000
    6   -10247.5102   -10244.6346   -10244.6346  0.05393  0.15133  0.00000
    7   -10246.6881   -10247.1688   -10247.1688  0.20972  0.02647  0.00000
    8   -10244.8974   -10246.7945   -10246.7945  0.16362  0.10173  0.00000
    9   -10245.5881   -10245.0317   -10245.0317  0.02257  0.03142  0.00000
   10   -10245.4816   -10245.5842   -10245.5842  0.03059  0.00828  0.00000
   11   -10245.3612   -10245.4866   -10245.4866  0.01693  0.00643  0.00000
   12   -10245.3451   -10245.3635   -10245.3635  0.00246  0.00073  0.00000
   13   -10245.3458   -10245.3453   -10245.3453  0.00051  0.00044  0.00000
   14   -10245.3460   -10245.3458   -10245.3458  0.00025  0.00017  0.00000
   15   -10245.3464   -10245.3460   -10245.3460  0.00016  0.00030  0.00000
   16   -10245.3464   -10245.3464   -10245.3464  0.00008  0.00014  0.00000
   17   -10245.3461   -10245.3464   -10245.3464  0.00005  0.00015  0.00000
   18   -10245.3460   -10245.3461   -10245.3461  0.00002  0.00002  0.00000
