 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.9900   -99541.1673   -99541.1673   0.02421   0.00000  0.00000
    2   -99540.9597   -99541.1641   -99541.1641   0.02451   0.00000  0.00000
    3   -99540.9058   -99541.1611   -99541.1611   0.02114   0.00000  0.00000
    4   -99541.1219   -99541.1390   -99541.1390   0.01526   0.00000  0.00000
    5   -99541.2921   -99541.1352   -99541.1352   0.01469   0.00000  0.00000
    6   -99540.9768   -99541.1547   -99541.1547   0.01407   0.00000  0.00000
    7   -99541.0205   -99541.1506   -99541.1506   0.01370   0.00000  0.00000
    8   -99541.1377   -99541.0836   -99541.0836   0.00618   0.00000  0.00000
    9   -99541.0993   -99541.0878   -99541.0878   0.00567   0.00000  0.00000
   10   -99541.1446   -99541.0857   -99541.0857   0.00222   0.00000  0.00000
   11   -99541.1141   -99541.0855   -99541.0855   0.00140   0.00000  0.00000
   12   -99541.0613   -99541.0892   -99541.0892   0.00184   0.00000  0.00000
   13   -99541.0579   -99541.0888   -99541.0888   0.00157   0.00000  0.00000
   14   -99541.0767   -99541.0864   -99541.0864   0.00107   0.00000  0.00000
   15   -99541.0787   -99541.0885   -99541.0885   0.00072   0.00000  0.00000
   16   -99541.0763   -99541.0893   -99541.0893   0.00055   0.00000  0.00000
   17   -99541.0816   -99541.0881   -99541.0881   0.00050   0.00000  0.00000
   18   -99541.0845   -99541.0869   -99541.0869   0.00048   0.00000  0.00000
   19   -99541.0852   -99541.0857   -99541.0857   0.00024   0.00000  0.00000
   20   -99541.0814   -99541.0854   -99541.0854   0.00018   0.00000  0.00000
   21   -99541.0846   -99541.0849   -99541.0849   0.00018   0.00000  0.00000
   22   -99541.0868   -99541.0848   -99541.0848   0.00020   0.00000  0.00000
   23   -99541.0856   -99541.0850   -99541.0850   0.00022   0.00000  0.00000
   24   -99541.0850   -99541.0850   -99541.0850   0.00021   0.00000  0.00000
   25   -99541.0843   -99541.0851   -99541.0851   0.00012   0.00000  0.00000
   26   -99541.0845   -99541.0850   -99541.0850   0.00004   0.00000  0.00000
