 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99539.9314   -99540.6877   -99540.6877   0.00284   0.00000  0.00000
    2   -99540.5080   -99540.6703   -99540.6703   0.00475   0.00000  0.00000
    3   -99540.5021   -99540.6704   -99540.6704   0.00471   0.00000  0.00000
    4   -99540.5029   -99540.6704   -99540.6704   0.00467   0.00000  0.00000
    5   -99540.4932   -99540.6704   -99540.6704   0.00469   0.00000  0.00000
    6   -99540.6566   -99540.6627   -99540.6627   0.00542   0.00000  0.00000
    7   -99540.6826   -99540.6656   -99540.6656   0.00588   0.00000  0.00000
    8   -99540.6742   -99540.6657   -99540.6657   0.00589   0.00000  0.00000
    9   -99540.6349   -99540.6524   -99540.6524   0.00578   0.00000  0.00000
   10   -99540.6225   -99540.6423   -99540.6423   0.00546   0.00000  0.00000
   11   -99540.4265   -99540.4705   -99540.4705   0.00141   0.00000  0.00000
   12   -99540.5809   -99540.5877   -99540.5877   0.00437   0.00000  0.00000
   13   -99540.4691   -99540.4571   -99540.4571   0.00132   0.00000  0.00000
   14   -99540.4793   -99540.5171   -99540.5171   0.00267   0.00000  0.00000
   15   -99540.5668   -99540.5778   -99540.5778   0.00411   0.00000  0.00000
   16   -99540.4075   -99540.4207   -99540.4207   0.00048   0.00000  0.00000
   17   -99540.4013   -99540.4089   -99540.4089   0.00071   0.00000  0.00000
   18   -99540.4120   -99540.4172   -99540.4172   0.00043   0.00000  0.00000
   19   -99540.4115   -99540.4135   -99540.4135   0.00029   0.00000  0.00000
   20   -99540.4039   -99540.4040   -99540.4040   0.00026   0.00000  0.00000
   21   -99540.4145   -99540.4104   -99540.4104   0.00012   0.00000  0.00000
   22   -99540.4143   -99540.4109   -99540.4109   0.00012   0.00000  0.00000
   23   -99540.4155   -99540.4133   -99540.4133   0.00009   0.00000  0.00000
