 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.4016   -99540.4833   -99540.4833   0.00159   0.00000  0.00000
    2   -99540.4392   -99540.4812   -99540.4812   0.00155   0.00000  0.00000
    3   -99540.4630   -99540.4808   -99540.4808   0.00153   0.00000  0.00000
    4   -99540.5468   -99540.4803   -99540.4803   0.00140   0.00000  0.00000
    5   -99540.4655   -99540.5052   -99540.5052   0.00119   0.00000  0.00000
    6   -99540.5107   -99540.4861   -99540.4861   0.00115   0.00000  0.00000
    7   -99540.4775   -99540.4856   -99540.4856   0.00112   0.00000  0.00000
    8   -99540.4880   -99540.4878   -99540.4878   0.00023   0.00000  0.00000
    9   -99540.4846   -99540.4883   -99540.4883   0.00019   0.00000  0.00000
   10   -99540.4903   -99540.4874   -99540.4874   0.00018   0.00000  0.00000
   11   -99540.4902   -99540.4870   -99540.4870   0.00015   0.00000  0.00000
   12   -99540.4877   -99540.4863   -99540.4863   0.00011   0.00000  0.00000
   13   -99540.4835   -99540.4861   -99540.4861   0.00010   0.00000  0.00000
