 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.7450   -99540.3441   -99540.3441   0.00327   0.00000  0.00000
    2   -99540.5087   -99540.3542   -99540.3542   0.00259   0.00000  0.00000
    3   -99540.3681   -99540.3564   -99540.3564   0.00120   0.00000  0.00000
    4   -99540.3274   -99540.3566   -99540.3566   0.00101   0.00000  0.00000
    5   -99540.3769   -99540.3530   -99540.3530   0.00105   0.00000  0.00000
    6   -99540.3738   -99540.3534   -99540.3534   0.00075   0.00000  0.00000
    7   -99540.3662   -99540.3551   -99540.3551   0.00066   0.00000  0.00000
    8   -99540.3676   -99540.3601   -99540.3601   0.00076   0.00000  0.00000
    9   -99540.3673   -99540.3610   -99540.3610   0.00078   0.00000  0.00000
   10   -99540.3630   -99540.3652   -99540.3652   0.00034   0.00000  0.00000
   11   -99540.3623   -99540.3661   -99540.3661   0.00021   0.00000  0.00000
   12   -99540.3632   -99540.3662   -99540.3662   0.00010   0.00000  0.00000
   13   -99540.3671   -99540.3659   -99540.3659   0.00009   0.00000  0.00000
