   # bias     Au2         Au1      H1         H1'      Au1'     Au2'
   -1.8000   11.1040   10.9500    1.0980    1.0770   10.9650   11.0250
   -1.2000   11.0920   10.9650    1.0890    1.0740   10.9910   11.0360
   -0.8000   11.0820   10.9760    1.0840    1.0730   11.0020   11.0440
   -0.5000   11.0740   10.9840    1.0810    1.0740   11.0030   11.0500
         0   11.0640   10.9960    1.0760    1.0770   10.9960   11.0640
    0.1000   11.0600   10.9980    1.0750    1.0780   10.9930   11.0650
    0.3000   11.0560   11.0010    1.0750    1.0790   10.9890   11.0700
    0.5000   11.0510   11.0030    1.0740    1.0810   10.9830   11.0750
    0.6000   11.0480   11.0030    1.0730    1.0820   10.9810   11.0770
    0.7000   11.0460   11.0030    1.0730    1.0830   10.9780   11.0790
    0.8000   11.0440   11.0020    1.0730    1.0840   10.9760   11.0820
    0.9000   11.0410   11.0000    1.0730    1.0860   10.9730   11.0840
    1.0000   11.0390   10.9970    1.0740    1.0870   10.9710   11.0860
    1.1000   11.0370   10.9940    1.0740    1.0880   10.9680   11.0890
    1.2000   11.0360   10.9900    1.0750    1.0890   10.9650   11.0920
    1.3000   11.0350   10.9860    1.0750    1.0900   10.9630   11.0950
    1.4000   11.0340   10.9810    1.0750    1.0920   10.9600   11.0980
    1.4500   11.0320   10.9800    1.0760    1.0930   10.9590   11.0990
    1.5000   11.0320   10.9770    1.0760    1.0930   10.9580   11.1000
    1.5500   11.0310   10.9750    1.0760    1.0940   10.9570   11.1010
    1.6000   11.0290   10.9740    1.0760    1.0950   10.9560   11.1010
    1.7000   11.0270   10.9690    1.0770    1.0950   10.9530   11.1020
    1.8000   11.0250   10.9660    1.0760    1.0980   10.9500   11.1030
    1.9000   11.0240   10.9610    1.0770    1.1000   10.9460   11.1050
