 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99540.8129   -99540.4400   -99540.4400  0.00234  0.00000  0.00000
    2   -99540.5072   -99540.4473   -99540.4473  0.00131  0.00000  0.00000
    3   -99540.5048   -99540.4486   -99540.4486  0.00064  0.00000  0.00000
    4   -99540.4470   -99540.4503   -99540.4503  0.00059  0.00000  0.00000
    5   -99540.4617   -99540.4479   -99540.4479  0.00052  0.00000  0.00000
    6   -99540.4537   -99540.4482   -99540.4482  0.00050  0.00000  0.00000
    7   -99540.4531   -99540.4501   -99540.4501  0.00027  0.00000  0.00000
    8   -99540.4580   -99540.4499   -99540.4499  0.00025  0.00000  0.00000
    9   -99540.4586   -99540.4512   -99540.4512  0.00019  0.00000  0.00000
   10   -99540.4545   -99540.4520   -99540.4520  0.00014  0.00000  0.00000
   11   -99540.4521   -99540.4523   -99540.4523  0.00012  0.00000  0.00000
   12   -99540.4503   -99540.4528   -99540.4528  0.00010  0.00000  0.00000
   13   -99540.4507   -99540.4529   -99540.4529  0.00011  0.00000  0.00000
   14   -99540.4507   -99540.4531   -99540.4531  0.00004  0.00000  0.00000
