 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -22907.0854    15879.9765    15879.9765142.93184 25.58539  0.00000
    2     -253.5765     4917.5763     4917.5763140.96454 38.85279  0.00000
    3     3160.8806     -973.4252     -973.4252135.79227 85.42215  0.00000
    4     1864.2040     4624.3773     4624.3773120.81247 88.95769  0.00000
    5     4276.2951     3998.7567     3998.7567  5.70633 19.29171  0.00000
    6     5920.5377     6029.3714     6029.3714  4.56986  3.69761  0.00000
    7     6435.6049     6304.7962     6304.7962  4.85110  4.40374  0.00000
    8     6271.4418     5973.7620     5973.7620  4.50365 12.04948  0.00000
    9     5313.2377     5213.2529     5213.2529  3.22622  7.21197  0.00000
   10     4941.7946     5042.2669     5042.2669  2.17803  4.19922  0.00000
   11     4934.8995     4934.9805     4934.9805  0.73389  0.30516  0.00000
   12     4789.6665     4938.0517     4938.0517  0.70378  1.86449  0.00000
   13     4938.4611     4920.8025     4920.8025  0.81925  0.47212  0.00000
   14     4911.9489     4917.9797     4917.9797  1.36822  0.73361  0.00000
   15     4956.4783     4918.6340     4918.6340  0.31149  0.61042  0.00000
   16     4915.3348     4926.6007     4926.6007  0.14179  0.31291  0.00000
   17     4924.8674     4924.4020     4924.4020  0.10502  0.02093  0.00000
   18     4921.5614     4924.3682     4924.3682  0.10695  0.02937  0.00000
   19     4909.7509     4924.0487     4924.0487  0.10140  0.15638  0.00000
   20     4911.6217     4924.3115     4924.3115  0.06362  0.23344  0.00000
   21     4931.6331     4923.6323     4923.6323  0.07005  0.08519  0.00000
   22     4914.0410     4923.9064     4923.9064  0.06558  0.12874  0.00000
   23     4924.7176     4923.5808     4923.5808  0.06337  0.02644  0.00000
   24     4921.6920     4923.3004     4923.3004  0.06475  0.03102  0.00000
   25     4915.0021     4923.5636     4923.5636  0.06220  0.09410  0.00000
   26     4920.1467     4921.4223     4921.4223  0.04738  0.02678  0.00000
   27     4920.1697     4921.4397     4921.4397  0.04491  0.05891  0.00000
   28     4920.9964     4921.4277     4921.4277  0.04986  0.00788  0.00000
   29     4920.4924     4921.4466     4921.4466  0.04905  0.07051  0.00000
   30     4921.2560     4921.4609     4921.4609  0.04140  0.00954  0.00000
   31     4919.2007     4921.3729     4921.3729  0.04003  0.04272  0.00000
   32     4914.6172     4921.0992     4921.0992  0.03344  0.05798  0.00000
   33     4919.2133     4920.6072     4920.6072  0.02533  0.01355  0.00000
   34     4920.9394     4920.6192     4920.6192  0.02422  0.02195  0.00000
   35     4920.5340     4920.6720     4920.6720  0.02142  0.02470  0.00000
   36     4921.2539     4920.7214     4920.7214  0.01898  0.01890  0.00000
   37     4920.6545     4920.9978     4920.9978  0.01905  0.00992  0.00000
   38     4920.1148     4920.8699     4920.8699  0.01666  0.00779  0.00000
   39     4919.9025     4920.9955     4920.9955  0.01744  0.01019  0.00000
   40     4922.6012     4921.0610     4921.0610  0.01642  0.02173  0.00000
   41     4921.6016     4921.4282     4921.4282  0.01311  0.00519  0.00000
   42     4918.5356     4921.5001     4921.5001  0.01208  0.04913  0.00000
   43     4921.7395     4921.7778     4921.7778  0.00887  0.00054  0.00000
   44     4921.5943     4921.7924     4921.7924  0.00851  0.02748  0.00000
   45     4921.2747     4921.8722     4921.8722  0.00856  0.00374  0.00000
   46     4922.3121     4921.9802     4921.9802  0.00932  0.00443  0.00000
   47     4921.1826     4921.9099     4921.9099  0.00396  0.00943  0.00000
   48     4922.0524     4922.0564     4922.0564  0.00017  0.00006  0.00000
   49     4922.0810     4922.0601     4922.0601  0.00018  0.00017  0.00000
   50     4922.0647     4922.0636     4922.0636  0.00017  0.00001  0.00000
   51     4922.0806     4922.0633     4922.0633  0.00016  0.00041  0.00000
   52     4922.0679     4922.0565     4922.0565  0.00015  0.00007  0.00000
   53     4922.0841     4922.0715     4922.0715  0.00013  0.00010  0.00000
   54     4922.0634     4922.0630     4922.0630  0.00011  0.00001  0.00000
   55     4922.0715     4922.0747     4922.0747  0.00011  0.00004  0.00000
   56     4922.0761     4922.0682     4922.0682  0.00011  0.00009  0.00000
   57     4922.0621     4922.0687     4922.0687  0.00011  0.00023  0.00000
   58     4922.0636     4922.0631     4922.0631  0.00009  0.00004  0.00000
