 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99565.3777   -99526.7932   -99526.7932  0.90187  0.00000  0.00000
    2   -99574.6794   -99527.4968   -99527.4968  0.88383  0.00000  0.00000
    3   -99575.5930   -99530.4789   -99530.4789  0.81735  0.00000  0.00000
    4   -99545.5148   -99537.1579   -99537.1579  1.11792  0.00000  0.00000
    5   -99608.6676   -99538.5447   -99538.5447  0.50562  0.00000  0.00000
    6   -99564.3491   -99540.7928   -99540.7928  0.32699  0.00000  0.00000
    7   -99516.8419   -99540.9523   -99540.9523  0.41035  0.00000  0.00000
    8   -99516.0405   -99540.7592   -99540.7592  0.43602  0.00000  0.00000
    9   -99521.1866   -99537.7696   -99537.7696  0.62523  0.00000  0.00000
   10   -99545.0984   -99535.6503   -99535.6503  0.60706  0.00000  0.00000
   11   -99551.7328   -99533.6931   -99533.6931  0.40256  0.00000  0.00000
   12   -99538.0326   -99532.5195   -99532.5195  0.37375  0.00000  0.00000
   13   -99531.2948   -99531.7546   -99531.7546  0.26425  0.00000  0.00000
   14   -99534.1861   -99531.9223   -99531.9223  0.23210  0.00000  0.00000
   15   -99530.1105   -99532.4753   -99532.4753  0.14501  0.00000  0.00000
   16   -99528.8699   -99533.1170   -99533.1170  0.12167  0.00000  0.00000
   17   -99531.2308   -99533.1120   -99533.1120  0.11371  0.00000  0.00000
   18   -99535.1487   -99533.0134   -99533.0134  0.10418  0.00000  0.00000
   19   -99539.1541   -99533.0871   -99533.0871  0.09563  0.00000  0.00000
   20   -99538.2254   -99533.1340   -99533.1340  0.09548  0.00000  0.00000
   21   -99540.1077   -99533.3510   -99533.3510  0.09264  0.00000  0.00000
   22   -99539.2767   -99533.5442   -99533.5442  0.08761  0.00000  0.00000
   23   -99538.1574   -99534.8074   -99534.8074  0.07807  0.00000  0.00000
   24   -99538.0001   -99535.5187   -99535.5187  0.07535  0.00000  0.00000
   25   -99537.4079   -99536.1955   -99536.1955  0.06171  0.00000  0.00000
   26   -99539.5623   -99536.3685   -99536.3685  0.05715  0.00000  0.00000
   27   -99537.1018   -99536.8581   -99536.8581  0.05295  0.00000  0.00000
   28   -99536.5517   -99537.0435   -99537.0435  0.05152  0.00000  0.00000
   29   -99536.7316   -99537.0526   -99537.0526  0.05097  0.00000  0.00000
   30   -99536.4772   -99537.0087   -99537.0087  0.05191  0.00000  0.00000
   31   -99536.4387   -99536.9816   -99536.9816  0.05233  0.00000  0.00000
   32   -99536.7315   -99536.8257   -99536.8257  0.05319  0.00000  0.00000
   33   -99537.9694   -99536.9388   -99536.9388  0.05088  0.00000  0.00000
   34   -99536.4154   -99537.0308   -99537.0308  0.05081  0.00000  0.00000
   35   -99537.0237   -99537.1951   -99537.1951  0.05017  0.00000  0.00000
   36   -99536.1737   -99537.5431   -99537.5431  0.03316  0.00000  0.00000
   37   -99536.3830   -99537.7091   -99537.7091  0.02532  0.00000  0.00000
   38   -99536.7413   -99537.8352   -99537.8352  0.03322  0.00000  0.00000
   39   -99537.7035   -99538.0212   -99538.0212  0.02575  0.00000  0.00000
   40   -99537.5343   -99538.1479   -99538.1479  0.02722  0.00000  0.00000
   41   -99537.7455   -99538.0902   -99538.0902  0.02654  0.00000  0.00000
   42   -99537.8810   -99538.0930   -99538.0930  0.02463  0.00000  0.00000
   43   -99537.9147   -99537.9428   -99537.9428  0.03050  0.00000  0.00000
   44   -99539.1253   -99537.9649   -99537.9649  0.02408  0.00000  0.00000
   45   -99538.0747   -99537.8415   -99537.8415  0.02631  0.00000  0.00000
   46   -99537.9193   -99537.8900   -99537.8900  0.02813  0.00000  0.00000
   47   -99537.9210   -99537.8925   -99537.8925  0.02793  0.00000  0.00000
   48   -99537.6749   -99537.9278   -99537.9278  0.03211  0.00000  0.00000
   49   -99538.0603   -99537.9552   -99537.9552  0.01729  0.00000  0.00000
   50   -99538.0591   -99537.9412   -99537.9412  0.02147  0.00000  0.00000
   51   -99538.0587   -99537.7999   -99537.7999  0.01571  0.00000  0.00000
   52   -99537.8753   -99538.0145   -99538.0145  0.01628  0.00000  0.00000
   53   -99539.5162   -99538.0136   -99538.0136  0.04900  0.00000  0.00000
   54   -99537.4956   -99537.9557   -99537.9557  0.02532  0.00000  0.00000
   55   -99537.3990   -99537.9327   -99537.9327  0.02915  0.00000  0.00000
   56   -99537.2045   -99537.9866   -99537.9866  0.02482  0.00000  0.00000
   57   -99537.5362   -99537.9402   -99537.9402  0.02573  0.00000  0.00000
   58   -99537.3441   -99538.0218   -99538.0218  0.02783  0.00000  0.00000
   59   -99537.2242   -99537.9249   -99537.9249  0.02885  0.00000  0.00000
   60   -99539.7625   -99538.0473   -99538.0473  0.05172  0.00000  0.00000
   61   -99537.1728   -99537.9588   -99537.9588  0.02931  0.00000  0.00000
   62   -99537.4082   -99537.8647   -99537.8647  0.02571  0.00000  0.00000
   63   -99537.4709   -99537.8728   -99537.8728  0.02632  0.00000  0.00000
   64   -99537.1603   -99537.8921   -99537.8921  0.03164  0.00000  0.00000
   65   -99537.3041   -99537.8142   -99537.8142  0.03049  0.00000  0.00000
   66   -99537.3734   -99538.0722   -99538.0722  0.02486  0.00000  0.00000
