 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99564.5781   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99564.5487   -99527.4782   -99527.4782  0.03447  0.88383  0.00000
    3   -99485.2353   -99473.2190   -99473.2190  1.73171  0.06512  0.00000
    4   -99527.4458   -99515.7236   -99515.7236  1.18611  0.07920  0.00000
    5   -99536.5508   -99538.9311   -99538.9311  0.78992  0.05267  0.00000
    6   -99541.1695   -99538.2699   -99538.2699  0.66616  0.04155  0.00000
    7   -99547.7533   -99541.8872   -99541.8872  0.69581  0.19236  0.00000
    8   -99522.7934   -99521.8373   -99521.8373  1.88290  0.07785  0.00000
    9   -99503.0781   -99502.3952   -99502.3952  2.47095  0.17805  0.00000
   10   -99456.7183   -99459.2241   -99459.2241  3.26515  0.04486  0.00000
   11   -99473.3195   -99488.5561   -99488.5561  2.67187  0.22069  0.00000
   12   -99533.5953   -99518.7681   -99518.7681  1.11874  0.13758  0.00000
   13   -99524.7349   -99526.4341   -99526.4341  1.67667  0.04240  0.00000
   14   -99520.1398   -99528.1519   -99528.1519  1.59148  0.07638  0.00000
   15   -99538.4604   -99538.8323   -99538.8323  0.14097  0.03430  0.00000
   16   -99537.5283   -99538.6791   -99538.6791  0.21266  0.02247  0.00000
   17   -99532.9283   -99537.5153   -99537.5153  0.12050  0.04493  0.00000
   18   -99535.8811   -99527.8321   -99527.8321  0.68595  0.05587  0.00000
   19   -99533.4491   -99539.1607   -99539.1607  0.63341  0.03971  0.00000
   20   -99536.1815   -99535.0456   -99535.0456  0.17598  0.07516  0.00000
   21   -99536.8533   -99537.4398   -99537.4398  0.15327  0.00920  0.00000
   22   -99535.6197   -99536.7941   -99536.7941  0.05519  0.08339  0.00000
   23   -99536.4530   -99535.2119   -99535.2119  0.16204  0.02455  0.00000
   24   -99537.6807   -99536.8929   -99536.8929  0.07356  0.02500  0.00000
   25   -99538.1452   -99537.6382   -99537.6382  0.17701  0.01282  0.00000
   26   -99538.3750   -99537.9182   -99537.9182  0.29370  0.01009  0.00000
   27   -99538.7653   -99538.3606   -99538.3606  0.30273  0.00589  0.00000
   28   -99537.7321   -99538.6813   -99538.6813  0.32130  0.02706  0.00000
   29   -99537.1838   -99538.1692   -99538.1692  0.09472  0.02253  0.00000
   30   -99537.8782   -99536.9091   -99536.9091  0.08375  0.03360  0.00000
   31   -99537.9227   -99538.1426   -99538.1426  0.07973  0.01890  0.00000
   32   -99536.8438   -99537.8299   -99537.8299  0.04788  0.03969  0.00000
   33   -99537.7782   -99536.4354   -99536.4354  0.13671  0.03561  0.00000
   34   -99538.5970   -99538.2128   -99538.2128  0.09631  0.00442  0.00000
   35   -99539.3853   -99538.5967   -99538.5967  0.13933  0.01985  0.00000
   36   -99537.1068   -99539.3364   -99539.3364  0.19078  0.06488  0.00000
   37   -99536.3288   -99536.6438   -99536.6438  0.16156  0.00427  0.00000
   38   -99535.9867   -99536.1242   -99536.1242  0.19763  0.00684  0.00000
   39   -99535.7501   -99535.6964   -99535.6964  0.24977  0.00383  0.00000
   40   -99536.3779   -99535.7073   -99535.7073  0.26168  0.00905  0.00000
   41   -99536.9675   -99536.9597   -99536.9597  0.15396  0.00061  0.00000
   42   -99538.5164   -99536.9705   -99536.9705  0.15249  0.05158  0.00000
