 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99588.0759   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99587.7700   -99528.0000   -99528.0000  0.03847  0.88383  0.00000
    3   -99521.9595   -99533.7308   -99533.7308  1.92910  0.08110  0.00000
    4   -99526.8443   -99526.8739   -99526.8739  1.23482  0.03176  0.00000
    5   -99532.0511   -99530.7810   -99530.7810  0.96881  0.02841  0.00000
    6   -99539.9659   -99535.6160   -99535.6160  0.72675  0.06356  0.00000
    7   -99541.1605   -99545.1876   -99545.1876  0.32872  0.12112  0.00000
    8   -99537.4850   -99543.7972   -99543.7972  0.09358  0.04607  0.00000
    9   -99539.2677   -99537.2281   -99537.2281  0.15477  0.05619  0.00000
   10   -99540.1592   -99540.5350   -99540.5350  0.07696  0.02693  0.00000
   11   -99540.3135   -99540.5040   -99540.5040  0.05059  0.00933  0.00000
   12   -99540.1955   -99540.3804   -99540.3804  0.05046  0.04410  0.00000
   13   -99540.0334   -99540.5954   -99540.5954  0.04728  0.07874  0.00000
   14   -99540.6398   -99540.0966   -99540.0966  0.03395  0.01079  0.00000
   15   -99540.7673   -99540.7070   -99540.7070  0.03732  0.00063  0.00000
   16   -99540.4207   -99540.7745   -99540.7745  0.04153  0.00272  0.00000
   17   -99540.4688   -99540.3725   -99540.3725  0.01891  0.02294  0.00000
   18   -99540.4089   -99540.4508   -99540.4508  0.01260  0.00184  0.00000
   19   -99540.5226   -99540.3971   -99540.3971  0.01210  0.01182  0.00000
   20   -99540.6164   -99540.5463   -99540.5463  0.01131  0.00419  0.00000
   21   -99540.7314   -99540.6000   -99540.6000  0.00781  0.00181  0.00000
   22   -99540.8116   -99540.7373   -99540.7373  0.00853  0.00136  0.00000
   23   -99540.9903   -99540.8155   -99540.8155  0.00772  0.00765  0.00000
   24   -99541.0401   -99541.0023   -99541.0023  0.00599  0.00233  0.00000
   25   -99541.0854   -99541.0428   -99541.0428  0.00591  0.00352  0.00000
   26   -99541.1096   -99541.0878   -99541.0878  0.00500  0.00520  0.00000
   27   -99541.1224   -99541.1107   -99541.1107  0.00110  0.00099  0.00000
   28   -99541.1462   -99541.1225   -99541.1225  0.00081  0.00106  0.00000
   29   -99541.1534   -99541.1459   -99541.1459  0.00052  0.00041  0.00000
   30   -99541.1543   -99541.1536   -99541.1536  0.00048  0.00005  0.00000
   31   -99541.1540   -99541.1544   -99541.1544  0.00048  0.00017  0.00000
   32   -99541.1539   -99541.1541   -99541.1541  0.00050  0.00097  0.00000
   33   -99541.1519   -99541.1538   -99541.1538  0.00046  0.00025  0.00000
   34   -99541.1515   -99541.1517   -99541.1517  0.00044  0.00019  0.00000
   35   -99541.1455   -99541.1515   -99541.1515  0.00044  0.00041  0.00000
   36   -99541.1444   -99541.1452   -99541.1452  0.00041  0.00018  0.00000
   37   -99541.1427   -99541.1444   -99541.1444  0.00043  0.00003  0.00000
   38   -99541.1403   -99541.1428   -99541.1428  0.00043  0.00010  0.00000
   39   -99541.1147   -99541.1403   -99541.1403  0.00040  0.00092  0.00000
   40   -99541.1125   -99541.1141   -99541.1141  0.00023  0.00007  0.00000
   41   -99541.1072   -99541.1126   -99541.1126  0.00029  0.00029  0.00000
   42   -99541.1048   -99541.1071   -99541.1071  0.00018  0.00003  0.00000
   43   -99541.1030   -99541.1048   -99541.1048  0.00015  0.00009  0.00000
   44   -99541.1022   -99541.1029   -99541.1029  0.00009  0.00005  0.00000
