 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99588.0759   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99587.7700   -99528.0000   -99528.0000  0.03847  0.88383  0.00000
    3   -99521.9595   -99533.7308   -99533.7308  1.92910  0.08110  0.00000
    4   -99526.8443   -99526.8739   -99526.8739  1.23482  0.03176  0.00000
    5   -99532.0511   -99530.7810   -99530.7810  0.96881  0.02841  0.00000
    6   -99539.9659   -99535.6160   -99535.6160  0.72675  0.06356  0.00000
    7   -99541.1605   -99545.1876   -99545.1876  0.32872  0.12112  0.00000
    8   -99537.4848   -99543.7972   -99543.7972  0.09358  0.04607  0.00000
    9   -99539.2677   -99537.2279   -99537.2279  0.15477  0.05619  0.00000
   10   -99540.1592   -99540.5350   -99540.5350  0.07696  0.02693  0.00000
   11   -99540.3135   -99540.5040   -99540.5040  0.05059  0.00933  0.00000
   12   -99540.1955   -99540.3804   -99540.3804  0.05046  0.04410  0.00000
   13   -99540.0334   -99540.5954   -99540.5954  0.04728  0.07874  0.00000
   14   -99540.6398   -99540.0965   -99540.0965  0.03395  0.01079  0.00000
   15   -99540.7673   -99540.7071   -99540.7071  0.03732  0.00063  0.00000
   16   -99540.4208   -99540.7745   -99540.7745  0.04152  0.00272  0.00000
   17   -99540.4687   -99540.3725   -99540.3725  0.01891  0.02290  0.00000
   18   -99540.4089   -99540.4508   -99540.4508  0.01261  0.00188  0.00000
   19   -99540.5222   -99540.3970   -99540.3970  0.01210  0.01177  0.00000
   20   -99540.6164   -99540.5459   -99540.5459  0.01131  0.00416  0.00000
   21   -99540.7311   -99540.6000   -99540.6000  0.00783  0.00181  0.00000
   22   -99540.8115   -99540.7370   -99540.7370  0.00852  0.00137  0.00000
   23   -99540.9900   -99540.8154   -99540.8154  0.00769  0.00765  0.00000
   24   -99541.0399   -99541.0021   -99541.0021  0.00602  0.00233  0.00000
   25   -99541.0855   -99541.0425   -99541.0425  0.00593  0.00354  0.00000
   26   -99541.1087   -99541.0879   -99541.0879  0.00501  0.00515  0.00000
   27   -99541.1218   -99541.1098   -99541.1098  0.00111  0.00101  0.00000
   28   -99541.1459   -99541.1218   -99541.1218  0.00081  0.00108  0.00000
   29   -99541.1534   -99541.1456   -99541.1456  0.00053  0.00043  0.00000
   30   -99541.1542   -99541.1536   -99541.1536  0.00049  0.00005  0.00000
   31   -99541.1539   -99541.1543   -99541.1543  0.00048  0.00016  0.00000
   32   -99541.1527   -99541.1540   -99541.1540  0.00050  0.00102  0.00000
   33   -99541.1506   -99541.1525   -99541.1525  0.00046  0.00026  0.00000
   34   -99541.1504   -99541.1504   -99541.1504  0.00043  0.00020  0.00000
   35   -99541.1500   -99541.1503   -99541.1503  0.00043  0.00015  0.00000
   36   -99541.1506   -99541.1498   -99541.1498  0.00046  0.00017  0.00000
   37   -99541.1482   -99541.1507   -99541.1507  0.00047  0.00005  0.00000
   38   -99541.1451   -99541.1483   -99541.1483  0.00047  0.00014  0.00000
   39   -99541.1119   -99541.1451   -99541.1451  0.00043  0.00133  0.00000
   40   -99541.1070   -99541.1111   -99541.1111  0.00020  0.00005  0.00000
   41   -99541.1050   -99541.1070   -99541.1070  0.00015  0.00012  0.00000
   42   -99541.1047   -99541.1049   -99541.1049  0.00010  0.00006  0.00000
