 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99564.5781   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99564.5487   -99527.4782   -99527.4782  0.03447  0.88383  0.00000
    3   -99485.2353   -99473.2190   -99473.2190  1.73171  0.06512  0.00000
    4   -99527.4458   -99515.7236   -99515.7236  1.18611  0.07920  0.00000
    5   -99536.5509   -99538.9311   -99538.9311  0.78991  0.05266  0.00000
    6   -99541.1695   -99538.2699   -99538.2699  0.66616  0.04155  0.00000
    7   -99547.7534   -99541.8872   -99541.8872  0.69580  0.19236  0.00000
    8   -99522.7935   -99521.8373   -99521.8373  1.88290  0.07785  0.00000
    9   -99503.0781   -99502.3952   -99502.3952  2.47095  0.17805  0.00000
   10   -99456.7186   -99459.2245   -99459.2245  3.26515  0.04486  0.00000
   11   -99473.3252   -99488.5570   -99488.5570  2.67185  0.22069  0.00000
   12   -99533.6179   -99518.7928   -99518.7928  1.11780  0.13723  0.00000
   13   -99524.7226   -99526.4622   -99526.4622  1.67581  0.04243  0.00000
   14   -99519.4818   -99528.2858   -99528.2858  1.58527  0.07907  0.00000
   15   -99536.9130   -99537.6173   -99537.6173  0.13683  0.03382  0.00000
   16   -99538.2112   -99537.1658   -99537.1658  0.08343  0.01977  0.00000
   17   -99536.2040   -99538.4002   -99538.4002  0.27544  0.03251  0.00000
   18   -99536.0212   -99535.6233   -99535.6233  0.16341  0.03834  0.00000
   19   -99537.9210   -99537.0236   -99537.0236  0.08046  0.03648  0.00000
   20   -99539.3022   -99538.4359   -99538.4359  0.25841  0.01124  0.00000
   21   -99537.5937   -99538.9094   -99538.9094  0.34495  0.03777  0.00000
   22   -99537.3233   -99538.1061   -99538.1061  0.28419  0.00706  0.00000
   23   -99536.9426   -99537.4299   -99537.4299  0.17398  0.00987  0.00000
   24   -99535.6572   -99536.8713   -99536.8713  0.07981  0.03270  0.00000
   25   -99535.9055   -99535.4386   -99535.4386  0.11380  0.02219  0.00000
   26   -99536.0306   -99536.3105   -99536.3105  0.13099  0.01783  0.00000
   27   -99536.0450   -99535.8145   -99535.8145  0.13343  0.02633  0.00000
   28   -99535.7071   -99536.3169   -99536.3169  0.17830  0.02318  0.00000
   29   -99535.4115   -99535.3672   -99535.3672  0.11749  0.06370  0.00000
   30   -99534.7092   -99535.4851   -99535.4851  0.10106  0.03753  0.00000
   31   -99535.3086   -99534.0141   -99534.0141  0.19190  0.03333  0.00000
   32   -99538.0515   -99535.7756   -99535.7756  0.11119  0.02116  0.00000
   33   -99539.0416   -99538.3275   -99538.3275  0.25587  0.02874  0.00000
   34   -99537.9402   -99539.1582   -99539.1582  0.20364  0.04546  0.00000
   35   -99538.5625   -99537.8158   -99537.8158  0.10525  0.03088  0.00000
   36   -99538.9985   -99538.7931   -99538.7931  0.16098  0.01613  0.00000
   37   -99537.5437   -99538.9258   -99538.9258  0.21826  0.02196  0.00000
   38   -99538.0180   -99537.4937   -99537.4937  0.04808  0.02202  0.00000
   39   -99537.0200   -99538.1201   -99538.1201  0.08742  0.05580  0.00000
   40   -99537.3276   -99536.5381   -99536.5381  0.15771  0.04188  0.00000
   41   -99537.5537   -99537.7973   -99537.7973  0.03309  0.01139  0.00000
   42   -99537.8865   -99537.4877   -99537.4877  0.03572  0.01582  0.00000
   43   -99537.2725   -99537.9747   -99537.9747  0.04713  0.04540  0.00000
   44   -99536.9503   -99536.9207   -99536.9207  0.12793  0.00118  0.00000
   45   -99537.4303   -99536.9850   -99536.9850  0.11730  0.02042  0.00000
   46   -99537.7779   -99537.6888   -99537.6888  0.02091  0.00810  0.00000
   47   -99537.7161   -99537.7635   -99537.7635  0.01744  0.00174  0.00000
   48   -99537.5529   -99537.7013   -99537.7013  0.02337  0.00716  0.00000
   49   -99537.0455   -99537.4893   -99537.4893  0.05130  0.02704  0.00000
   50   -99536.9577   -99536.7080   -99536.7080  0.16556  0.01620  0.00000
   51   -99537.1956   -99537.2134   -99537.2134  0.08259  0.00067  0.00000
   52   -99537.2067   -99537.1900   -99537.1900  0.08461  0.00073  0.00000
   53   -99537.2864   -99537.2157   -99537.2157  0.08214  0.00270  0.00000
   54   -99537.3240   -99537.3261   -99537.3261  0.06958  0.00116  0.00000
   55   -99537.7639   -99537.3183   -99537.3183  0.07054  0.01270  0.00000
   56   -99537.9950   -99537.9214   -99537.9214  0.01031  0.00732  0.00000
   57   -99538.0621   -99538.0093   -99538.0093  0.01307  0.00538  0.00000
   58   -99538.0417   -99538.0749   -99538.0749  0.01916  0.00373  0.00000
   59   -99537.8939   -99538.0278   -99538.0278  0.01505  0.00418  0.00000
   60   -99538.1677   -99537.8577   -99537.8577  0.01224  0.00456  0.00000
   61   -99538.1036   -99538.2289   -99538.2289  0.02721  0.00617  0.00000
   62   -99538.1103   -99538.0717   -99538.0717  0.00462  0.00447  0.00000
   63   -99538.1240   -99538.1132   -99538.1132  0.00242  0.00026  0.00000
   64   -99538.1654   -99538.1243   -99538.1243  0.00242  0.00097  0.00000
   65   -99538.1672   -99538.1639   -99538.1639  0.00164  0.00106  0.00000
