 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99579.5818   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99579.1733   -99527.7801   -99527.7801  0.05094  0.88383  0.00000
    3   -99442.6414   -99448.3612   -99448.3612  2.53898  0.20671  0.00000
    4   -99404.8387   -99392.1449   -99392.1449  2.96613  0.26731  0.00000
    5   -99525.3838   -99528.8983   -99528.8983  1.12954  0.26773  0.00000
    6   -99528.1557   -99527.2321   -99527.2321  0.91087  0.20277  0.00000
    7   -99536.7924   -99529.8246   -99529.8246  0.75916  0.30540  0.00000
    8   -99543.7143   -99539.6873   -99539.6873  0.65298  0.27893  0.00000
    9   -99542.0248   -99544.9705   -99544.9705  0.91804  0.08082  0.00000
   10   -99544.3388   -99544.7595   -99544.7595  0.44737  0.18596  0.00000
   11   -99530.9569   -99534.2508   -99534.2508  1.38915  0.09305  0.00000
   12   -99537.7523   -99536.0856   -99536.0856  1.08135  0.04532  0.00000
   13   -99527.7924   -99532.7647   -99532.7647  1.29370  0.09069  0.00000
   14   -99533.8054   -99539.7771   -99539.7771  0.22665  0.11341  0.00000
   15   -99536.1894   -99531.4206   -99531.4206  0.52245  0.05750  0.00000
   16   -99538.5749   -99539.8299   -99539.8299  0.17645  0.02484  0.00000
   17   -99539.3357   -99538.3391   -99538.3391  0.10116  0.05335  0.00000
   18   -99535.1934   -99539.7205   -99539.7205  0.09799  0.14517  0.00000
   19   -99534.8614   -99533.9541   -99533.9541  0.32867  0.17812  0.00000
   20   -99535.5589   -99535.1690   -99535.1690  0.29008  0.17774  0.00000
   21   -99535.6370   -99535.3305   -99535.3305  0.32975  0.08521  0.00000
   22   -99535.6614   -99535.8210   -99535.8210  0.29933  0.08504  0.00000
   23   -99536.0910   -99535.8759   -99535.8759  0.26522  0.04374  0.00000
   24   -99535.4958   -99536.1617   -99536.1617  0.25339  0.05184  0.00000
   25   -99534.8274   -99534.8474   -99534.8474  0.34339  0.06309  0.00000
   26   -99536.3684   -99534.6972   -99534.6972  0.36658  0.06475  0.00000
   27   -99537.5361   -99537.6293   -99537.6293  0.11188  0.03219  0.00000
   28   -99537.8794   -99537.4983   -99537.4983  0.12361  0.03431  0.00000
   29   -99538.8620   -99538.0241   -99538.0241  0.08012  0.03744  0.00000
   30   -99538.6808   -99539.0555   -99539.0555  0.05381  0.03160  0.00000
   31   -99539.0963   -99538.5682   -99538.5682  0.04257  0.04219  0.00000
   32   -99538.9862   -99539.1818   -99539.1818  0.04314  0.03148  0.00000
   33   -99538.8756   -99538.9490   -99538.9490  0.02724  0.04094  0.00000
   34   -99538.9146   -99538.8543   -99538.8543  0.01895  0.03513  0.00000
   35   -99539.0854   -99538.9244   -99538.9244  0.01469  0.03221  0.00000
   36   -99539.2076   -99539.1154   -99539.1154  0.01286  0.03370  0.00000
   37   -99539.2548   -99539.2202   -99539.2202  0.01935  0.02742  0.00000
   38   -99539.1749   -99539.2476   -99539.2476  0.01014  0.04732  0.00000
   39   -99539.2748   -99539.1531   -99539.1531  0.01008  0.04961  0.00000
   40   -99539.2217   -99539.2887   -99539.2887  0.00742  0.03128  0.00000
   41   -99539.2712   -99539.1921   -99539.1921  0.01891  0.07382  0.00000
   42   -99539.3586   -99539.2858   -99539.2858  0.01156  0.06662  0.00000
   43   -99539.4317   -99539.3713   -99539.3713  0.00682  0.10728  0.00000
   44   -99539.4354   -99539.4418   -99539.4418  0.00633  0.15432  0.00000
   45   -99539.4487   -99539.4323   -99539.4323  0.00534  0.14051  0.00000
   46   -99539.4562   -99539.4493   -99539.4493  0.00413  0.00827  0.00000
   47   -99539.3986   -99539.4567   -99539.4567  0.00320  0.05217  0.00000
   48   -99539.3986   -99539.3959   -99539.3959  0.00385  0.02627  0.00000
   49   -99539.4431   -99539.3997   -99539.3997  0.00366  0.02031  0.00000
   50   -99539.4555   -99539.4488   -99539.4488  0.00246  0.04013  0.00000
   51   -99539.4602   -99539.4530   -99539.4530  0.00176  0.04886  0.00000
   52   -99539.4606   -99539.4621   -99539.4621  0.00150  0.06990  0.00000
