 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99527.7807   -99541.0989   -99541.0989  0.40590  0.40590  0.00000
    2   -99528.3617   -99540.8377   -99540.8377  0.06355  0.39049  0.00000
    3   -99417.8070   -99395.3372   -99395.3372  3.06928  2.43074  0.00000
    4   -99504.9498   -99507.8024   -99507.8024  1.60202  2.43851  0.00000
    5   -99540.3834   -99540.7456   -99540.7456  0.20262  0.03389  0.00000
    6   -99537.0948   -99540.4818   -99540.4818  0.19159  0.07521  0.00000
    7   -99538.6052   -99537.4197   -99537.4197  0.06706  0.05336  0.00000
    8   -99540.5987   -99538.7546   -99538.7546  0.05169  0.02700  0.00000
    9   -99539.6021   -99540.8034   -99540.8034  0.04832  0.02693  0.00000
   10   -99539.4671   -99539.5257   -99539.5257  0.02037  0.02897  0.00000
   11   -99539.4681   -99539.4449   -99539.4449  0.01780  0.03496  0.00000
   12   -99539.4941   -99539.4780   -99539.4780  0.01767  0.04569  0.00000
   13   -99539.4784   -99539.5104   -99539.5104  0.01800  0.06250  0.00000
   14   -99539.4197   -99539.4678   -99539.4678  0.01717  0.10510  0.00000
   15   -99539.3838   -99539.4137   -99539.4137  0.01499  0.05668  0.00000
   16   -99539.3606   -99539.3869   -99539.3869  0.01169  0.11260  0.00000
   17   -99539.3668   -99539.3601   -99539.3601  0.00887  0.03204  0.00000
   18   -99539.3825   -99539.3678   -99539.3678  0.00762  0.01457  0.00000
   19   -99539.4083   -99539.3823   -99539.3823  0.00538  0.05939  0.00000
   20   -99539.4346   -99539.4107   -99539.4107  0.00470  0.02019  0.00000
   21   -99539.4370   -99539.4361   -99539.4361  0.00307  0.01991  0.00000
   22   -99539.4347   -99539.4362   -99539.4362  0.00227  0.01566  0.00000
   23   -99539.4405   -99539.4340   -99539.4340  0.00166  0.02287  0.00000
   24   -99539.4362   -99539.4423   -99539.4423  0.00113  0.01420  0.00000
   25   -99539.4304   -99539.4352   -99539.4352  0.00128  0.00232  0.00000
   26   -99539.4283   -99539.4294   -99539.4294  0.00139  0.01721  0.00000
   27   -99539.4288   -99539.4285   -99539.4285  0.00103  0.02540  0.00000
   28   -99539.4324   -99539.4282   -99539.4282  0.00177  0.07289  0.00000
   29   -99539.4332   -99539.4331   -99539.4331  0.00100  0.02338  0.00000
   30   -99539.4335   -99539.4332   -99539.4332  0.00099  0.00521  0.00000
   31   -99539.4359   -99539.4335   -99539.4335  0.00096  0.00584  0.00000
   32   -99539.4355   -99539.4361   -99539.4361  0.00091  0.00646  0.00000
   33   -99539.4346   -99539.4355   -99539.4355  0.00094  0.00693  0.00000
   34   -99539.4349   -99539.4345   -99539.4345  0.00089  0.00511  0.00000
   35   -99539.4361   -99539.4349   -99539.4349  0.00091  0.08728  0.00000
   36   -99539.4357   -99539.4361   -99539.4361  0.00067  0.01624  0.00000
   37   -99539.4368   -99539.4356   -99539.4356  0.00051  0.01831  0.00000
   38   -99539.4365   -99539.4368   -99539.4368  0.00029  0.00180  0.00000
   39   -99539.4365   -99539.4366   -99539.4366  0.00033  0.00042  0.00000
   40   -99539.4348   -99539.4365   -99539.4365  0.00032  0.00616  0.00000
   41   -99539.4351   -99539.4347   -99539.4347  0.00029  0.00281  0.00000
   42   -99539.4345   -99539.4352   -99539.4352  0.00028  0.01911  0.00000
   43   -99539.4353   -99539.4343   -99539.4343  0.00123  0.01024  0.00000
   44   -99539.4356   -99539.4356   -99539.4356  0.00061  0.00049  0.00000
   45   -99539.4355   -99539.4356   -99539.4356  0.00061  0.00103  0.00000
   46   -99539.4361   -99539.4355   -99539.4355  0.00067  0.00983  0.00000
   47   -99539.4364   -99539.4362   -99539.4362  0.00023  0.05311  0.00000
   48   -99539.4360   -99539.4364   -99539.4364  0.00022  0.05009  0.00000
   49   -99539.4358   -99539.4360   -99539.4360  0.00021  0.02448  0.00000
   50   -99539.4355   -99539.4358   -99539.4358  0.00014  0.00241  0.00000
   51   -99539.4354   -99539.4355   -99539.4355  0.00015  0.00995  0.00000
   52   -99539.4353   -99539.4354   -99539.4354  0.00012  0.01392  0.00000
   53   -99539.4353   -99539.4353   -99539.4353  0.00009  0.00101  0.00000
   54   -99539.4354   -99539.4354   -99539.4354  0.00008  0.00050  0.00000
   55   -99539.4356   -99539.4354   -99539.4354  0.00007  0.00272  0.00000
   56   -99539.4359   -99539.4356   -99539.4356  0.00005  0.00179  0.00000
   57   -99539.4360   -99539.4359   -99539.4359  0.00004  0.00189  0.00000
   58   -99539.4363   -99539.4360   -99539.4360  0.00003  0.00182  0.00000
   59   -99539.4363   -99539.4363   -99539.4363  0.00001  0.00012  0.00000
   60   -99539.4363   -99539.4363   -99539.4363  0.00001  0.00060  0.00000
   61   -99539.4363   -99539.4363   -99539.4363  0.00001  0.00068  0.00000
   62   -99539.4364   -99539.4363   -99539.4363  0.00001  0.00018  0.00000
   63   -99539.4364   -99539.4364   -99539.4364  0.00002  0.00013  0.00000
   64   -99539.4364   -99539.4364   -99539.4364  0.00001  0.00034  0.00000
   65   -99539.4364   -99539.4364   -99539.4364  0.00001  0.00005  0.00000
