 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99564.5781   -99526.7932   -99526.7932  0.90187  0.90187  0.00000
    2   -99564.5487   -99527.4782   -99527.4782  0.03447  0.88383  0.00000
    3   -99485.2353   -99473.2190   -99473.2190  1.73171  0.06512  0.00000
    4   -99527.4458   -99515.7236   -99515.7236  1.18611  0.07920  0.00000
    5   -99536.5508   -99538.9311   -99538.9311  0.78992  0.05267  0.00000
    6   -99541.1695   -99538.2699   -99538.2699  0.66616  0.04155  0.00000
    7   -99547.7533   -99541.8872   -99541.8872  0.69581  0.19236  0.00000
    8   -99522.7934   -99521.8372   -99521.8372  1.88290  0.07785  0.00000
    9   -99503.0780   -99502.3951   -99502.3951  2.47095  0.17805  0.00000
   10   -99456.7181   -99459.2240   -99459.2240  3.26515  0.04487  0.00000
   11   -99473.3179   -99488.5565   -99488.5565  2.67186  0.22069  0.00000
   12   -99533.5852   -99518.7577   -99518.7577  1.11913  0.13774  0.00000
   13   -99524.7325   -99526.4234   -99526.4234  1.67698  0.04239  0.00000
   14   -99520.5585   -99528.1182   -99528.1182  1.59292  0.07438  0.00000
   15   -99539.8287   -99539.4102   -99539.4102  0.19450  0.04893  0.00000
   16   -99528.3705   -99539.6330   -99539.6330  0.40265  0.08347  0.00000
   17   -99506.3928   -99507.8775   -99507.8775  1.44377  0.03420  0.00000
   18   -99497.5913   -99500.1369   -99500.1369  1.63022  0.03917  0.00000
   19   -99485.3605   -99480.1558   -99480.1558  2.15049  0.06348  0.00000
   20   -99516.8612   -99514.7503   -99514.7503  1.21402  0.04102  0.00000
   21   -99525.3715   -99523.5862   -99523.5862  0.83711  0.02114  0.00000
   22   -99529.5820   -99530.4800   -99530.4800  0.48537  0.01428  0.00000
   23   -99533.0577   -99527.8103   -99527.8103  0.62569  0.04174  0.00000
   24   -99535.0777   -99537.8677   -99537.8677  0.31340  0.01616  0.00000
   25   -99532.8874   -99534.1278   -99534.1278  0.26952  0.08602  0.00000
   26   -99531.8735   -99533.4107   -99533.4107  0.28748  0.03111  0.00000
   27   -99532.6604   -99530.1875   -99530.1875  0.49942  0.01538  0.00000
   28   -99534.9129   -99535.1283   -99535.1283  0.14518  0.04668  0.00000
   29   -99538.1795   -99535.2520   -99535.2520  0.08383  0.06242  0.00000
   30   -99535.5164   -99537.2982   -99537.2982  0.47846  0.02244  0.00000
   31   -99536.3280   -99536.4652   -99536.4652  0.18449  0.02143  0.00000
   32   -99533.1882   -99536.1632   -99536.1632  0.24528  0.03530  0.00000
   33   -99532.7101   -99530.9346   -99530.9346  0.37787  0.03195  0.00000
   34   -99534.7012   -99534.6117   -99534.6117  0.12655  0.02078  0.00000
   35   -99535.3883   -99534.6321   -99534.6321  0.12067  0.03219  0.00000
   36   -99536.3658   -99535.7646   -99535.7646  0.09439  0.05733  0.00000
   37   -99531.9913   -99536.0512   -99536.0512  0.07919  0.04348  0.00000
   38   -99529.5893   -99526.0661   -99526.0661  0.64750  0.04196  0.00000
   39   -99536.3406   -99535.1702   -99535.1702  0.11628  0.08893  0.00000
   40   -99536.6384   -99536.4619   -99536.4619  0.15467  0.00697  0.00000
   41   -99536.9949   -99536.6701   -99536.6701  0.14976  0.00552  0.00000
   42   -99537.4945   -99537.0392   -99537.0392  0.12214  0.01170  0.00000
