 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1   -99526.4406   -99541.0994   -99541.0994  0.39301  0.39301  0.00000
    2   -99526.9520   -99540.8119   -99540.8119  0.05777  0.37851  0.00000
    3   -99439.7099   -99422.1618   -99422.1618  2.79349  0.27894  0.00000
    4   -99495.2223   -99491.7947   -99491.7947  1.60145  0.07492  0.00000
    5   -99539.7744   -99541.6924   -99541.6924  0.29476  0.02601  0.00000
    6   -99536.9592   -99540.2126   -99540.2126  0.14117  0.04310  0.00000
    7   -99537.7472   -99536.9256   -99536.9256  0.07490  0.00509  0.00000
    8   -99538.9128   -99537.9274   -99537.9274  0.06193  0.01893  0.00000
    9   -99536.8366   -99539.0913   -99539.0913  0.07436  0.02164  0.00000
   10   -99537.8806   -99536.0680   -99536.0680  0.18180  0.02647  0.00000
   11   -99537.9978   -99538.6041   -99538.6041  0.04558  0.01351  0.00000
   12   -99538.1497   -99537.8560   -99537.8560  0.03923  0.00790  0.00000
   13   -99538.2638   -99538.2449   -99538.2449  0.02199  0.00275  0.00000
   14   -99538.2388   -99538.2712   -99538.2712  0.02141  0.00185  0.00000
   15   -99538.2205   -99538.2260   -99538.2260  0.01502  0.00020  0.00000
   16   -99538.1769   -99538.2187   -99538.2187  0.01450  0.00195  0.00000
   17   -99538.1633   -99538.1654   -99538.1654  0.01124  0.00113  0.00000
   18   -99538.1760   -99538.1637   -99538.1637  0.00986  0.00308  0.00000
   19   -99538.1793   -99538.1770   -99538.1770  0.00302  0.00023  0.00000
   20   -99538.1730   -99538.1800   -99538.1800  0.00279  0.00115  0.00000
   21   -99538.1686   -99538.1698   -99538.1698  0.00156  0.00016  0.00000
   22   -99538.1709   -99538.1683   -99538.1683  0.00154  0.00034  0.00000
   23   -99538.1748   -99538.1717   -99538.1717  0.00166  0.00015  0.00000
   24   -99538.1808   -99538.1751   -99538.1751  0.00161  0.00084  0.00000
   25   -99538.1826   -99538.1810   -99538.1810  0.00087  0.00045  0.00000
   26   -99538.1801   -99538.1823   -99538.1823  0.00108  0.00019  0.00000
   27   -99538.1794   -99538.1796   -99538.1796  0.00111  0.00020  0.00000
   28   -99538.1768   -99538.1801   -99538.1801  0.00064  0.00033  0.00000
   29   -99538.1760   -99538.1761   -99538.1761  0.00064  0.00005  0.00000
   30   -99538.1755   -99538.1761   -99538.1761  0.00052  0.00008  0.00000
   31   -99538.1750   -99538.1754   -99538.1754  0.00044  0.00009  0.00000
   32   -99538.1752   -99538.1751   -99538.1751  0.00025  0.00005  0.00000
   33   -99538.1751   -99538.1752   -99538.1752  0.00016  0.00009  0.00000
   34   -99538.1752   -99538.1749   -99538.1749  0.00016  0.00001  0.00000
   35   -99538.1761   -99538.1753   -99538.1753  0.00015  0.00006  0.00000
   36   -99538.1767   -99538.1762   -99538.1762  0.00010  0.00006  0.00000
   37   -99538.1768   -99538.1768   -99538.1768  0.00005  0.00001  0.00000
