 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195857.9348  -196103.0544  -196103.0544  1.92348  1.92348  0.00000
    2  -195942.0288  -196054.1966  -196054.1966  1.32503  1.72763  0.00000
    3  -195584.0929  -195754.1658  -195754.1658  2.70859  1.49408  0.00000
    4  -182463.2645  -182019.4480  -182019.4480 30.21363  1.39881  0.00000
    5  -195845.5653  -195860.5403  -195860.5403  2.40123  0.48598  0.00000
    6  -195835.5917  -195840.5738  -195840.5738  1.99099  0.16702  0.00000
    7  -195872.9752  -195876.5654  -195876.5654  1.36533  0.13309  0.00000
    8  -195892.7635  -195896.8328  -195896.8328  0.66124  0.10320  0.00000
    9  -195901.0881  -195898.4071  -195898.4071  0.38452  0.17290  0.00000
   10  -195900.6288  -195901.1256  -195901.1256  0.27938  0.04753  0.00000
   11  -195901.4588  -195901.2003  -195901.2003  0.25138  0.01573  0.00000
   12  -195901.6460  -195901.6585  -195901.6585  0.13468  0.00606  0.00000
   13  -195901.9387  -195901.7084  -195901.7084  0.07411  0.01580  0.00000
   14  -195902.2159  -195902.0164  -195902.0164  0.02402  0.01328  0.00000
   15  -195902.4126  -195902.2637  -195902.2637  0.05163  0.01171  0.00000
   16  -195902.3633  -195902.4515  -195902.4515  0.00914  0.00254  0.00000
   17  -195902.3995  -195902.3509  -195902.3509  0.00677  0.00157  0.00000
   18  -195902.4065  -195902.4147  -195902.4147  0.00433  0.00272  0.00000
   19  -195902.3567  -195902.4089  -195902.4089  0.00394  0.00047  0.00000
   20  -195902.3318  -195902.3501  -195902.3501  0.00360  0.00229  0.00000
   21  -195902.3149  -195902.3359  -195902.3359  0.00122  0.00033  0.00000
   22  -195902.2722  -195902.3140  -195902.3140  0.00091  0.00091  0.00000
   23  -195902.2559  -195902.2713  -195902.2713  0.00094  0.00038  0.00000
   24  -195902.2420  -195902.2549  -195902.2549  0.00064  0.00015  0.00000
   25  -195902.2444  -195902.2407  -195902.2407  0.00054  0.00017  0.00000
   26  -195902.2381  -195902.2452  -195902.2452  0.00042  0.00042  0.00000
   27  -195902.2410  -195902.2375  -195902.2375  0.00030  0.00013  0.00000
   28  -195902.2488  -195902.2411  -195902.2411  0.00023  0.00017  0.00000
   29  -195902.2543  -195902.2488  -195902.2488  0.00021  0.00010  0.00000
   30  -195902.2560  -195902.2544  -195902.2544  0.00014  0.00015  0.00000
   31  -195902.2592  -195902.2563  -195902.2563  0.00011  0.00004  0.00000
   32  -195902.2616  -195902.2591  -195902.2591  0.00007  0.00002  0.00000
    1  -195906.3277  -195902.2617  -195902.2617  0.02368  0.12101  0.00000
    2  -195881.8053  -195889.9665  -195889.9665  0.71694  0.48136  0.00000
    3  -195768.9487  -195753.2331  -195753.2331  2.20938  0.36059  0.00000
    4  -195903.0916  -195903.7773  -195903.7773  0.07890  0.01185  0.00000
    5  -195902.5574  -195902.9891  -195902.9891  0.04485  0.01153  0.00000
    6  -195902.6211  -195902.4959  -195902.4959  0.02137  0.00377  0.00000
    7  -195902.6007  -195902.6519  -195902.6519  0.01368  0.00265  0.00000
    8  -195902.5010  -195902.5962  -195902.5962  0.00939  0.00200  0.00000
    9  -195902.5164  -195902.4945  -195902.4945  0.00779  0.00077  0.00000
   10  -195902.5385  -195902.5212  -195902.5212  0.00258  0.00077  0.00000
   11  -195902.5491  -195902.5421  -195902.5421  0.00118  0.00042  0.00000
   12  -195902.5625  -195902.5490  -195902.5490  0.00090  0.00017  0.00000
   13  -195902.5616  -195902.5645  -195902.5645  0.00054  0.00020  0.00000
   14  -195902.5685  -195902.5607  -195902.5607  0.00048  0.00021  0.00000
   15  -195902.5683  -195902.5691  -195902.5691  0.00032  0.00003  0.00000
   16  -195902.5692  -195902.5682  -195902.5682  0.00018  0.00007  0.00000
   17  -195902.5705  -195902.5692  -195902.5692  0.00012  0.00003  0.00000
   18  -195902.5703  -195902.5706  -195902.5706  0.00008  0.00002  0.00000
    1  -195905.5237  -195902.5701  -195902.5701  0.02373  0.11826  0.00000
    2  -195884.7337  -195889.4230  -195889.4230  0.72086  0.47596  0.00000
    3  -195767.1262  -195753.9150  -195753.9150  2.22240  0.35568  0.00000
    4  -195903.1610  -195903.8867  -195903.8867  0.07578  0.01236  0.00000
    5  -195902.6571  -195903.0573  -195903.0573  0.04240  0.00769  0.00000
    6  -195902.7010  -195902.5885  -195902.5885  0.01666  0.00288  0.00000
    7  -195902.6943  -195902.7289  -195902.7289  0.01338  0.00182  0.00000
    8  -195902.6134  -195902.6924  -195902.6924  0.00921  0.00180  0.00000
    9  -195902.6198  -195902.6033  -195902.6033  0.00718  0.00048  0.00000
   10  -195902.6453  -195902.6241  -195902.6241  0.00281  0.00081  0.00000
   11  -195902.6519  -195902.6491  -195902.6491  0.00100  0.00026  0.00000
   12  -195902.6648  -195902.6518  -195902.6518  0.00085  0.00017  0.00000
   13  -195902.6652  -195902.6668  -195902.6668  0.00059  0.00026  0.00000
   14  -195902.6691  -195902.6644  -195902.6644  0.00038  0.00016  0.00000
   15  -195902.6680  -195902.6695  -195902.6695  0.00026  0.00004  0.00000
   16  -195902.6690  -195902.6677  -195902.6677  0.00020  0.00009  0.00000
   17  -195902.6705  -195902.6690  -195902.6690  0.00010  0.00002  0.00000
   18  -195902.6703  -195902.6707  -195902.6707  0.00008  0.00002  0.00000
    1  -195904.3617  -195902.6701  -195902.6701  0.02373  0.11672  0.00000
    2  -195887.8801  -195888.6229  -195888.6229  0.72152  0.48151  0.00000
    3  -195766.3220  -195755.8356  -195755.8356  2.20999  0.35615  0.00000
    4  -195903.0821  -195904.0292  -195904.0292  0.07269  0.01577  0.00000
    5  -195902.6238  -195902.9596  -195902.9596  0.02622  0.01020  0.00000
    6  -195902.6570  -195902.5607  -195902.5607  0.01989  0.00617  0.00000
    7  -195902.6184  -195902.6804  -195902.6804  0.01434  0.00241  0.00000
    8  -195902.5648  -195902.6113  -195902.6113  0.01000  0.00251  0.00000
    9  -195902.5477  -195902.5575  -195902.5575  0.00538  0.00104  0.00000
   10  -195902.5762  -195902.5483  -195902.5483  0.00273  0.00095  0.00000
   11  -195902.5651  -195902.5816  -195902.5816  0.00118  0.00014  0.00000
   12  -195902.5728  -195902.5617  -195902.5617  0.00137  0.00026  0.00000
   13  -195902.5832  -195902.5747  -195902.5747  0.00073  0.00027  0.00000
   14  -195902.5873  -195902.5840  -195902.5840  0.00033  0.00029  0.00000
   15  -195902.5890  -195902.5874  -195902.5874  0.00032  0.00009  0.00000
   16  -195902.5897  -195902.5892  -195902.5892  0.00014  0.00004  0.00000
   17  -195902.5907  -195902.5896  -195902.5896  0.00011  0.00002  0.00000
   18  -195902.5908  -195902.5909  -195902.5909  0.00009  0.00001  0.00000
    1  -195903.0913  -195902.5907  -195902.5907  0.02375  0.11675  0.00000
    2  -195890.3659  -195887.8169  -195887.8169  0.72512  0.48022  0.00000
    3  -195761.7430  -195753.1659  -195753.1659  2.23890  0.35175  0.00000
    4  -195902.9635  -195904.1347  -195904.1347  0.08795  0.01888  0.00000
    5  -195902.2877  -195902.8359  -195902.8359  0.04289  0.00674  0.00000
    6  -195902.3130  -195902.1671  -195902.1671  0.01479  0.00381  0.00000
    7  -195902.3373  -195902.3483  -195902.3483  0.01259  0.00083  0.00000
    8  -195902.2736  -195902.3367  -195902.3367  0.01050  0.00110  0.00000
    9  -195902.2729  -195902.2695  -195902.2695  0.00670  0.00158  0.00000
   10  -195902.2847  -195902.2690  -195902.2690  0.00238  0.00070  0.00000
   11  -195902.2865  -195902.2890  -195902.2890  0.00117  0.00041  0.00000
   12  -195902.3012  -195902.2849  -195902.2849  0.00139  0.00031  0.00000
   13  -195902.2990  -195902.3038  -195902.3038  0.00088  0.00016  0.00000
   14  -195902.3051  -195902.2988  -195902.2988  0.00107  0.00028  0.00000
