 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195856.3508  -196105.1268  -196105.1268  1.96582  1.96582  0.00000
    2  -195947.6700  -196055.5972  -196055.5972  1.33941  1.76265  0.00000
    3  -195625.4100  -195805.4652  -195805.4652  2.57281  1.40956  0.00000
    4  -186791.4199  -186412.4799  -186412.4799 26.06066  1.31256  0.00000
    5  -195838.1252  -195851.9406  -195851.9406  2.23691  0.36643  0.00000
    6  -195845.0825  -195838.9060  -195838.9060  1.48853  0.16112  0.00000
    7  -195882.1419  -195886.4198  -195886.4198  1.33339  0.11971  0.00000
    8  -195898.5983  -195899.4465  -195899.4465  0.73104  0.06882  0.00000
    9  -195904.3692  -195906.0535  -195906.0535  0.15501  0.03172  0.00000
   10  -195905.3399  -195904.5638  -195904.5638  0.09361  0.01994  0.00000
   11  -195905.3469  -195905.5416  -195905.5416  0.03584  0.00719  0.00000
   12  -195905.4629  -195905.3430  -195905.3430  0.01655  0.00318  0.00000
   13  -195905.5608  -195905.5026  -195905.5026  0.01046  0.00787  0.00000
   14  -195905.6005  -195905.5783  -195905.5783  0.00878  0.00357  0.00000
   15  -195905.5319  -195905.6112  -195905.6112  0.00659  0.00207  0.00000
   16  -195905.4972  -195905.5302  -195905.5302  0.00236  0.00085  0.00000
   17  -195905.4063  -195905.4971  -195905.4971  0.00162  0.00197  0.00000
   18  -195905.3850  -195905.4030  -195905.4030  0.00103  0.00075  0.00000
   19  -195905.3542  -195905.3858  -195905.3858  0.00070  0.00080  0.00000
   20  -195905.3733  -195905.3523  -195905.3523  0.00064  0.00024  0.00000
   21  -195905.3598  -195905.3746  -195905.3746  0.00051  0.00070  0.00000
   22  -195905.3622  -195905.3594  -195905.3594  0.00034  0.00016  0.00000
   23  -195905.3691  -195905.3622  -195905.3622  0.00027  0.00023  0.00000
   24  -195905.3787  -195905.3694  -195905.3694  0.00022  0.00010  0.00000
   25  -195905.3862  -195905.3786  -195905.3786  0.00012  0.00012  0.00000
   26  -195905.3844  -195905.3866  -195905.3866  0.00016  0.00008  0.00000
   27  -195905.3863  -195905.3842  -195905.3842  0.00007  0.00004  0.00000
    1  -195909.2940  -195905.3864  -195905.3864  0.02394  0.12816  0.00000
    2  -195886.3948  -195894.4649  -195894.4649  0.65801  0.42717  0.00000
    3  -195814.0181  -195799.9007  -195799.9007  1.79848  0.29315  0.00000
    4  -195906.1488  -195907.2170  -195907.2170  0.09121  0.01971  0.00000
    5  -195905.7635  -195906.0355  -195906.0355  0.02951  0.00371  0.00000
    6  -195905.7001  -195905.7303  -195905.7303  0.01555  0.00136  0.00000
    7  -195905.6686  -195905.7026  -195905.7026  0.01266  0.00116  0.00000
    8  -195905.6098  -195905.6682  -195905.6682  0.00776  0.00155  0.00000
    9  -195905.6638  -195905.6071  -195905.6071  0.00572  0.00084  0.00000
   10  -195905.6115  -195905.6732  -195905.6732  0.00373  0.00137  0.00000
   11  -195905.6222  -195905.6001  -195905.6001  0.00430  0.00068  0.00000
   12  -195905.6361  -195905.6270  -195905.6270  0.00167  0.00019  0.00000
   13  -195905.6429  -195905.6368  -195905.6368  0.00087  0.00019  0.00000
   14  -195905.6490  -195905.6433  -195905.6433  0.00046  0.00022  0.00000
   15  -195905.6500  -195905.6492  -195905.6492  0.00025  0.00006  0.00000
   16  -195905.6515  -195905.6499  -195905.6499  0.00024  0.00006  0.00000
   17  -195905.6512  -195905.6516  -195905.6516  0.00020  0.00002  0.00000
   18  -195905.6524  -195905.6512  -195905.6512  0.00011  0.00002  0.00000
   19  -195905.6525  -195905.6525  -195905.6525  0.00007  0.00003  0.00000
    1  -195908.4819  -195905.6524  -195905.6524  0.02394  0.12466  0.00000
    2  -195889.0188  -195894.0134  -195894.0134  0.65827  0.41969  0.00000
    3  -195814.0376  -195802.1440  -195802.1440  1.79381  0.28739  0.00000
    4  -195906.2090  -195907.2931  -195907.2931  0.09113  0.01972  0.00000
    5  -195905.8622  -195906.0997  -195906.0997  0.02710  0.00381  0.00000
    6  -195905.8069  -195905.8288  -195905.8288  0.01544  0.00144  0.00000
    7  -195905.7860  -195905.8079  -195905.8079  0.01256  0.00079  0.00000
    8  -195905.7247  -195905.7866  -195905.7866  0.00857  0.00160  0.00000
    9  -195905.7605  -195905.7183  -195905.7183  0.00561  0.00083  0.00000
   10  -195905.7192  -195905.7680  -195905.7680  0.00386  0.00103  0.00000
   11  -195905.7316  -195905.7110  -195905.7110  0.00421  0.00060  0.00000
   12  -195905.7424  -195905.7354  -195905.7354  0.00173  0.00017  0.00000
   13  -195905.7486  -195905.7433  -195905.7433  0.00110  0.00017  0.00000
   14  -195905.7577  -195905.7490  -195905.7490  0.00062  0.00025  0.00000
   15  -195905.7569  -195905.7585  -195905.7585  0.00022  0.00007  0.00000
   16  -195905.7591  -195905.7564  -195905.7564  0.00022  0.00003  0.00000
   17  -195905.7604  -195905.7595  -195905.7595  0.00016  0.00007  0.00000
   18  -195905.7602  -195905.7603  -195905.7603  0.00014  0.00002  0.00000
   19  -195905.7616  -195905.7602  -195905.7602  0.00013  0.00004  0.00000
   20  -195905.7623  -195905.7617  -195905.7617  0.00010  0.00002  0.00000
    1  -195907.3653  -195905.7624  -195905.7624  0.02398  0.12268  0.00000
    2  -195891.7623  -195893.2366  -195893.2366  0.65065  0.42279  0.00000
    3  -195813.4202  -195803.9115  -195803.9115  1.78195  0.28846  0.00000
    4  -195906.1497  -195907.3610  -195907.3610  0.09798  0.02120  0.00000
    5  -195905.7910  -195906.0407  -195906.0407  0.02835  0.00378  0.00000
    6  -195905.7394  -195905.7531  -195905.7531  0.01546  0.00134  0.00000
    7  -195905.7079  -195905.7391  -195905.7391  0.01268  0.00077  0.00000
    8  -195905.6476  -195905.7083  -195905.7083  0.00846  0.00143  0.00000
    9  -195905.6735  -195905.6378  -195905.6378  0.00570  0.00066  0.00000
   10  -195905.6370  -195905.6804  -195905.6804  0.00356  0.00089  0.00000
   11  -195905.6513  -195905.6304  -195905.6304  0.00411  0.00064  0.00000
   12  -195905.6620  -195905.6546  -195905.6546  0.00181  0.00018  0.00000
   13  -195905.6697  -195905.6632  -195905.6632  0.00110  0.00016  0.00000
   14  -195905.6794  -195905.6702  -195905.6702  0.00062  0.00021  0.00000
   15  -195905.6779  -195905.6803  -195905.6803  0.00025  0.00008  0.00000
   16  -195905.6809  -195905.6774  -195905.6774  0.00026  0.00004  0.00000
   17  -195905.6830  -195905.6814  -195905.6814  0.00016  0.00007  0.00000
   18  -195905.6831  -195905.6830  -195905.6830  0.00014  0.00001  0.00000
   19  -195905.6842  -195905.6831  -195905.6831  0.00013  0.00003  0.00000
   20  -195905.6849  -195905.6843  -195905.6843  0.00010  0.00002  0.00000
    1  -195906.1630  -195905.6849  -195905.6849  0.02395  0.12081  0.00000
    2  -195893.6727  -195892.3863  -195892.3863  0.65243  0.41809  0.00000
    3  -195809.6572  -195801.5165  -195801.5165  1.83630  0.27897  0.00000
    4  -195905.9132  -195907.4684  -195907.4684  0.12473  0.02642  0.00000
    5  -195905.4360  -195905.8146  -195905.8146  0.03153  0.00479  0.00000
    6  -195905.4159  -195905.3699  -195905.3699  0.01540  0.00166  0.00000
    7  -195905.3801  -195905.4245  -195905.4245  0.01242  0.00128  0.00000
    8  -195905.3451  -195905.3743  -195905.3743  0.00661  0.00137  0.00000
    9  -195905.3675  -195905.3376  -195905.3376  0.00544  0.00120  0.00000
   10  -195905.3708  -195905.3792  -195905.3792  0.00434  0.00092  0.00000
   11  -195905.3719  -195905.3668  -195905.3668  0.00120  0.00023  0.00000
   12  -195905.3832  -195905.3725  -195905.3725  0.00085  0.00022  0.00000
   13  -195905.3800  -195905.3846  -195905.3846  0.00051  0.00005  0.00000
   14  -195905.3820  -195905.3791  -195905.3791  0.00034  0.00011  0.00000
   15  -195905.3853  -195905.3826  -195905.3826  0.00023  0.00005  0.00000
   16  -195905.3855  -195905.3852  -195905.3852  0.00025  0.00007  0.00000
   17  -195905.3856  -195905.3855  -195905.3855  0.00012  0.00001  0.00000
   18  -195905.3855  -195905.3855  -195905.3855  0.00006  0.00001  0.00000
