 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195856.0246  -196104.3868  -196104.3868  1.92238  1.92238  0.00000
    2  -195946.3738  -196054.8730  -196054.8730  1.33540  1.72647  0.00000
    3  -195598.8418  -195785.3402  -195785.3402  2.73528  1.45298  0.00000
    4  -184937.2428  -184515.9422  -184515.9422 28.17489  1.35663  0.00000
    5  -195837.0598  -195854.6123  -195854.6123  2.22101  0.44970  0.00000
    6  -195811.3674  -195803.3081  -195803.3081  1.91636  0.19636  0.00000
    7  -195877.0311  -195882.6826  -195882.6826  1.35794  0.13488  0.00000
    8  -195895.7164  -195896.7129  -195896.7129  0.65863  0.07189  0.00000
    9  -195902.3032  -195902.9220  -195902.9220  0.13341  0.01747  0.00000
   10  -195903.1996  -195902.4328  -195902.4328  0.06370  0.01058  0.00000
   11  -195903.4013  -195903.3758  -195903.3758  0.02875  0.00483  0.00000
   12  -195903.4725  -195903.4355  -195903.4355  0.01098  0.00529  0.00000
   13  -195903.5245  -195903.5038  -195903.5038  0.00910  0.00482  0.00000
   14  -195903.6232  -195903.5264  -195903.5264  0.00933  0.00460  0.00000
   15  -195903.5989  -195903.6479  -195903.6479  0.00597  0.00189  0.00000
   16  -195903.5875  -195903.5927  -195903.5927  0.00331  0.00120  0.00000
   17  -195903.5289  -195903.5908  -195903.5908  0.00259  0.00125  0.00000
   18  -195903.5277  -195903.5284  -195903.5284  0.00196  0.00068  0.00000
   19  -195903.4797  -195903.5247  -195903.5247  0.00162  0.00095  0.00000
   20  -195903.4399  -195903.4813  -195903.4813  0.00118  0.00043  0.00000
   21  -195903.4334  -195903.4376  -195903.4376  0.00085  0.00032  0.00000
   22  -195903.4264  -195903.4337  -195903.4337  0.00058  0.00029  0.00000
   23  -195903.4374  -195903.4259  -195903.4259  0.00042  0.00031  0.00000
   24  -195903.4417  -195903.4373  -195903.4373  0.00021  0.00009  0.00000
   25  -195903.4427  -195903.4422  -195903.4422  0.00020  0.00011  0.00000
   26  -195903.4476  -195903.4424  -195903.4424  0.00015  0.00003  0.00000
   27  -195903.4508  -195903.4479  -195903.4479  0.00013  0.00004  0.00000
   28  -195903.4515  -195903.4508  -195903.4508  0.00011  0.00002  0.00000
   29  -195903.4501  -195903.4516  -195903.4516  0.00009  0.00007  0.00000
    1  -195907.5534  -195903.4501  -195903.4501  0.02393  0.12316  0.00000
    2  -195884.4826  -195893.0325  -195893.0325  0.65737  0.39890  0.00000
    3  -195813.5867  -195799.3290  -195799.3290  1.79919  0.27468  0.00000
    4  -195904.3226  -195905.2494  -195905.2494  0.09474  0.01658  0.00000
    5  -195903.8164  -195904.2154  -195904.2154  0.03986  0.00474  0.00000
    6  -195903.8338  -195903.7677  -195903.7677  0.01522  0.00225  0.00000
    7  -195903.7851  -195903.8517  -195903.8517  0.01304  0.00217  0.00000
    8  -195903.7230  -195903.7831  -195903.7831  0.00731  0.00157  0.00000
    9  -195903.7517  -195903.7201  -195903.7201  0.00626  0.00080  0.00000
   10  -195903.8096  -195903.7534  -195903.7534  0.00420  0.00154  0.00000
   11  -195903.7668  -195903.8210  -195903.8210  0.00338  0.00084  0.00000
   12  -195903.7715  -195903.7577  -195903.7577  0.00148  0.00025  0.00000
   13  -195903.7843  -195903.7729  -195903.7729  0.00088  0.00033  0.00000
   14  -195903.7903  -195903.7849  -195903.7849  0.00035  0.00024  0.00000
   15  -195903.7884  -195903.7904  -195903.7904  0.00027  0.00005  0.00000
   16  -195903.7920  -195903.7883  -195903.7883  0.00023  0.00012  0.00000
   17  -195903.7921  -195903.7921  -195903.7921  0.00021  0.00005  0.00000
   18  -195903.7935  -195903.7921  -195903.7921  0.00008  0.00002  0.00000
    1  -195906.7486  -195903.7937  -195903.7937  0.02396  0.11998  0.00000
    2  -195886.9745  -195892.4227  -195892.4227  0.66027  0.39517  0.00000
    3  -195813.0775  -195801.0352  -195801.0352  1.79380  0.27164  0.00000
    4  -195904.3470  -195905.3065  -195905.3065  0.08449  0.01690  0.00000
    5  -195903.9399  -195904.2414  -195904.2414  0.03104  0.00445  0.00000
    6  -195903.9275  -195903.8949  -195903.8949  0.01495  0.00220  0.00000
    7  -195903.9120  -195903.9386  -195903.9386  0.01260  0.00100  0.00000
    8  -195903.8484  -195903.9125  -195903.9125  0.00806  0.00148  0.00000
    9  -195903.8598  -195903.8411  -195903.8411  0.00686  0.00041  0.00000
   10  -195903.8707  -195903.8638  -195903.8638  0.00432  0.00077  0.00000
   11  -195903.8890  -195903.8711  -195903.8711  0.00131  0.00045  0.00000
   12  -195903.8894  -195903.8922  -195903.8922  0.00139  0.00031  0.00000
   13  -195903.8913  -195903.8886  -195903.8886  0.00064  0.00023  0.00000
   14  -195903.9003  -195903.8913  -195903.8913  0.00052  0.00024  0.00000
   15  -195903.9007  -195903.9013  -195903.9013  0.00031  0.00006  0.00000
   16  -195903.9008  -195903.9004  -195903.9004  0.00015  0.00003  0.00000
   17  -195903.9013  -195903.9007  -195903.9007  0.00011  0.00004  0.00000
   18  -195903.9013  -195903.9013  -195903.9013  0.00010  0.00002  0.00000
    1  -195905.5786  -195903.9013  -195903.9013  0.02396  0.11803  0.00000
    2  -195889.8372  -195891.5652  -195891.5652  0.64926  0.40158  0.00000
    3  -195812.8437  -195803.2731  -195803.2731  1.77067  0.27372  0.00000
    4  -195904.2787  -195905.4640  -195905.4640  0.09771  0.01993  0.00000
    5  -195903.8858  -195904.1658  -195904.1658  0.02263  0.00400  0.00000
    6  -195903.8521  -195903.8418  -195903.8418  0.01546  0.00155  0.00000
    7  -195903.8256  -195903.8573  -195903.8573  0.01246  0.00109  0.00000
    8  -195903.7773  -195903.8273  -195903.8273  0.00683  0.00136  0.00000
    9  -195903.7848  -195903.7687  -195903.7687  0.00447  0.00037  0.00000
   10  -195903.7811  -195903.7886  -195903.7886  0.00316  0.00074  0.00000
   11  -195903.7982  -195903.7794  -195903.7794  0.00174  0.00049  0.00000
   12  -195903.8057  -195903.8010  -195903.8010  0.00108  0.00023  0.00000
   13  -195903.8089  -195903.8063  -195903.8063  0.00061  0.00018  0.00000
   14  -195903.8171  -195903.8088  -195903.8088  0.00051  0.00023  0.00000
   15  -195903.8182  -195903.8179  -195903.8179  0.00028  0.00010  0.00000
   16  -195903.8184  -195903.8179  -195903.8179  0.00019  0.00011  0.00000
   17  -195903.8202  -195903.8186  -195903.8186  0.00016  0.00012  0.00000
   18  -195903.8204  -195903.8202  -195903.8202  0.00010  0.00001  0.00000
   19  -195903.8211  -195903.8204  -195903.8204  0.00007  0.00001  0.00000
    1  -195903.7270  -195903.8212  -195903.8212  0.02397  0.13069  0.00000
    2  -195893.9397  -195889.9676  -195889.9676  0.67686  0.43172  0.00000
    3  -195816.9090  -195811.1206  -195811.1206  1.62052  0.29783  0.00000
    4  -195904.0318  -195905.7677  -195905.7677  0.22862  0.02667  0.00000
    5  -195903.9155  -195903.9648  -195903.9648  0.10600  0.01046  0.00000
    6  -195903.5474  -195903.9242  -195903.9242  0.06504  0.02729  0.00000
    7  -195903.7702  -195903.4816  -195903.4816  0.03125  0.04221  0.00000
    8  -195903.5430  -195903.7926  -195903.7926  0.11150  0.02959  0.00000
    9  -195903.5139  -195903.5269  -195903.5269  0.00842  0.00297  0.00000
   10  -195903.4607  -195903.5012  -195903.5012  0.00657  0.00160  0.00000
   11  -195903.4880  -195903.4627  -195903.4627  0.00662  0.00325  0.00000
   12  -195903.4815  -195903.4937  -195903.4937  0.00309  0.00111  0.00000
   13  -195903.4877  -195903.4788  -195903.4788  0.00124  0.00024  0.00000
   14  -195903.4885  -195903.4894  -195903.4894  0.00070  0.00028  0.00000
   15  -195903.4947  -195903.4880  -195903.4880  0.00054  0.00035  0.00000
   16  -195903.4988  -195903.4958  -195903.4958  0.00045  0.00009  0.00000
   17  -195903.4993  -195903.4989  -195903.4989  0.00026  0.00012  0.00000
   18  -195903.5011  -195903.4993  -195903.4993  0.00015  0.00003  0.00000
   19  -195903.5010  -195903.5014  -195903.5014  0.00017  0.00009  0.00000
   20  -195903.5018  -195903.5008  -195903.5008  0.00016  0.00007  0.00000
   21  -195903.5021  -195903.5019  -195903.5019  0.00016  0.00005  0.00000
   22  -195903.5030  -195903.5021  -195903.5021  0.00013  0.00012  0.00000
   23  -195903.5036  -195903.5030  -195903.5030  0.00011  0.00004  0.00000
   24  -195903.5026  -195903.5037  -195903.5037  0.00010  0.00003  0.00000
   25  -195903.5031  -195903.5023  -195903.5023  0.00007  0.00003  0.00000
