 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190074.0052  -190371.8061  -190371.8061  1.93368  1.93368  0.00000
    2  -190239.1671  -190286.7333  -190286.7333  2.00316  1.73542  0.00000
    3  -189733.7710  -190033.5014  -190033.5014  4.24349  2.15660  0.00000
    4  -154058.8664  -153077.5939  -153077.5939 50.18163  2.03667  0.00000
    5  -189991.8281  -189979.7008  -189979.7008  2.96419  0.26187  0.00000
    6  -190102.8218  -190116.7764  -190116.7764  2.73384  0.17472  0.00000
    7  -190151.2050  -190155.9048  -190155.9048  1.80641  0.11692  0.00000
    8  -190184.0827  -190190.7547  -190190.7547  1.07909  0.13861  0.00000
    9  -190204.4408  -190202.2682  -190202.2682  0.21783  0.02952  0.00000
   10  -190205.2890  -190204.8376  -190204.8376  0.10888  0.01906  0.00000
   11  -190205.7136  -190205.2899  -190205.2899  0.06037  0.00534  0.00000
   12  -190206.2175  -190205.7145  -190205.7145  0.04043  0.00579  0.00000
   13  -190206.0298  -190206.2105  -190206.2105  0.03178  0.00339  0.00000
   14  -190206.8934  -190206.0710  -190206.0710  0.03003  0.01214  0.00000
   15  -190206.9234  -190206.9058  -190206.9058  0.00832  0.00313  0.00000
   16  -190206.7556  -190206.9183  -190206.9183  0.00651  0.00571  0.00000
   17  -190206.9407  -190206.7375  -190206.7375  0.03111  0.00451  0.00000
   18  -190206.8904  -190206.9527  -190206.9527  0.00873  0.00143  0.00000
   19  -190207.0515  -190206.8854  -190206.8854  0.01613  0.00607  0.00000
   20  -190206.9416  -190207.0608  -190207.0608  0.01554  0.00340  0.00000
   21  -190206.9282  -190206.9388  -190206.9388  0.00340  0.00040  0.00000
   22  -190206.8363  -190206.9303  -190206.9303  0.00267  0.00146  0.00000
   23  -190206.9100  -190206.8342  -190206.8342  0.00402  0.00230  0.00000
   24  -190206.8091  -190206.9133  -190206.9133  0.00861  0.00212  0.00000
   25  -190206.8055  -190206.8078  -190206.8078  0.00165  0.00008  0.00000
   26  -190206.8213  -190206.8055  -190206.8055  0.00184  0.00019  0.00000
   27  -190206.8235  -190206.8209  -190206.8209  0.00200  0.00004  0.00000
   28  -190206.8357  -190206.8235  -190206.8235  0.00179  0.00017  0.00000
   29  -190206.8301  -190206.8358  -190206.8358  0.00078  0.00009  0.00000
   30  -190206.8337  -190206.8303  -190206.8303  0.00098  0.00013  0.00000
   31  -190206.8335  -190206.8337  -190206.8337  0.00059  0.00010  0.00000
   32  -190206.8327  -190206.8336  -190206.8336  0.00032  0.00020  0.00000
   33  -190206.8314  -190206.8328  -190206.8328  0.00018  0.00007  0.00000
   34  -190206.8286  -190206.8316  -190206.8316  0.00020  0.00009  0.00000
   35  -190206.8288  -190206.8284  -190206.8284  0.00021  0.00005  0.00000
   36  -190206.8281  -190206.8290  -190206.8290  0.00011  0.00001  0.00000
   37  -190206.8281  -190206.8281  -190206.8281  0.00008  0.00002  0.00000
    1  -190216.0774  -190206.8281  -190206.8281  0.02368  0.07901  0.00000
    2  -190181.8089  -190204.2625  -190204.2625  0.67620  0.26971  0.00000
    3  -190141.9662  -190119.6940  -190119.6940  1.86461  0.19976  0.00000
    4  -190208.8301  -190209.2873  -190209.2873  0.05134  0.00437  0.00000
    5  -190208.2230  -190208.8933  -190208.8933  0.02457  0.00789  0.00000
    6  -190208.6242  -190208.3166  -190208.3166  0.03029  0.00315  0.00000
    7  -190208.5661  -190208.5881  -190208.5881  0.00977  0.00058  0.00000
    8  -190208.5536  -190208.5682  -190208.5682  0.00699  0.00152  0.00000
    9  -190208.5591  -190208.5546  -190208.5546  0.00163  0.00015  0.00000
   10  -190208.5685  -190208.5586  -190208.5586  0.00085  0.00019  0.00000
   11  -190208.5681  -190208.5673  -190208.5673  0.00055  0.00015  0.00000
   12  -190208.5755  -190208.5685  -190208.5685  0.00041  0.00010  0.00000
   13  -190208.5778  -190208.5750  -190208.5750  0.00021  0.00002  0.00000
   14  -190208.5777  -190208.5777  -190208.5777  0.00009  0.00002  0.00000
    1  -190213.5061  -190208.5777  -190208.5777  0.02369  0.08144  0.00000
    2  -190185.4738  -190201.5991  -190201.5991  0.61570  0.23588  0.00000
    3  -190151.0957  -190133.1081  -190133.1081  1.63932  0.17397  0.00000
    4  -190208.3071  -190209.2810  -190209.2810  0.07656  0.01230  0.00000
    5  -190207.9777  -190208.4340  -190208.4340  0.02587  0.00634  0.00000
    6  -190208.1600  -190208.0417  -190208.0417  0.01781  0.00136  0.00000
    7  -190208.0876  -190208.1433  -190208.1433  0.01079  0.00090  0.00000
    8  -190208.0302  -190208.0906  -190208.0906  0.00794  0.00082  0.00000
    9  -190208.0403  -190208.0305  -190208.0305  0.00198  0.00031  0.00000
   10  -190208.0381  -190208.0399  -190208.0399  0.00082  0.00014  0.00000
   11  -190208.0477  -190208.0386  -190208.0386  0.00120  0.00009  0.00000
   12  -190208.0538  -190208.0468  -190208.0468  0.00086  0.00011  0.00000
   13  -190208.0587  -190208.0540  -190208.0540  0.00049  0.00005  0.00000
   14  -190208.0655  -190208.0587  -190208.0587  0.00041  0.00006  0.00000
   15  -190208.0729  -190208.0653  -190208.0653  0.00026  0.00007  0.00000
   16  -190208.0722  -190208.0727  -190208.0727  0.00018  0.00001  0.00000
   17  -190208.0738  -190208.0722  -190208.0722  0.00009  0.00003  0.00000
    1  -190213.5839  -190208.0737  -190208.0737  0.02372  0.08079  0.00000
    2  -190186.5786  -190201.5878  -190201.5878  0.64596  0.25325  0.00000
    3  -190144.6881  -190127.3207  -190127.3207  1.74485  0.18425  0.00000
    4  -190208.7239  -190209.5027  -190209.5027  0.06064  0.01146  0.00000
    5  -190208.5390  -190208.8066  -190208.8066  0.02156  0.00464  0.00000
    6  -190208.5340  -190208.5685  -190208.5685  0.01356  0.00169  0.00000
    7  -190208.4773  -190208.5317  -190208.5317  0.01038  0.00090  0.00000
    8  -190208.4153  -190208.4788  -190208.4788  0.00727  0.00077  0.00000
    9  -190208.4659  -190208.4164  -190208.4164  0.00276  0.00066  0.00000
   10  -190208.4386  -190208.4623  -190208.4623  0.00214  0.00034  0.00000
   11  -190208.4586  -190208.4406  -190208.4406  0.00082  0.00018  0.00000
   12  -190208.4586  -190208.4580  -190208.4580  0.00042  0.00006  0.00000
   13  -190208.4713  -190208.4588  -190208.4588  0.00037  0.00010  0.00000
   14  -190208.4758  -190208.4710  -190208.4710  0.00025  0.00004  0.00000
   15  -190208.4756  -190208.4758  -190208.4758  0.00007  0.00002  0.00000
    1  -190213.0242  -190208.4757  -190208.4757  0.02368  0.08347  0.00000
    2  -190188.2227  -190201.0897  -190201.0897  0.65694  0.25802  0.00000
    3  -190141.8388  -190125.8386  -190125.8386  1.78004  0.18939  0.00000
    4  -190208.7756  -190209.5487  -190209.5487  0.06125  0.01021  0.00000
    5  -190208.6160  -190208.8561  -190208.8561  0.02267  0.00489  0.00000
    6  -190208.6357  -190208.6376  -190208.6376  0.01369  0.00169  0.00000
    7  -190208.5933  -190208.6345  -190208.6345  0.01056  0.00096  0.00000
    8  -190208.5436  -190208.5939  -190208.5939  0.00744  0.00079  0.00000
    9  -190208.5763  -190208.5441  -190208.5441  0.00257  0.00062  0.00000
   10  -190208.5604  -190208.5739  -190208.5739  0.00150  0.00027  0.00000
   11  -190208.5745  -190208.5616  -190208.5616  0.00088  0.00018  0.00000
   12  -190208.5733  -190208.5742  -190208.5742  0.00053  0.00010  0.00000
   13  -190208.5817  -190208.5734  -190208.5734  0.00037  0.00009  0.00000
   14  -190208.5861  -190208.5816  -190208.5816  0.00024  0.00005  0.00000
   15  -190208.5874  -190208.5860  -190208.5860  0.00009  0.00002  0.00000
    1  -190212.2241  -190208.5875  -190208.5875  0.02369  0.08635  0.00000
    2  -190190.3170  -190200.4958  -190200.4958  0.65375  0.26033  0.00000
    3  -190140.5058  -190126.3170  -190126.3170  1.78514  0.18849  0.00000
    4  -190208.8008  -190209.6081  -190209.6081  0.06091  0.01102  0.00000
    5  -190208.7318  -190208.8806  -190208.8806  0.02091  0.00390  0.00000
    6  -190208.6582  -190208.7380  -190208.7380  0.01400  0.00183  0.00000
    7  -190208.6003  -190208.6610  -190208.6610  0.01068  0.00117  0.00000
    8  -190208.5382  -190208.6003  -190208.6003  0.00707  0.00073  0.00000
    9  -190208.6088  -190208.5387  -190208.5387  0.00338  0.00082  0.00000
   10  -190208.5616  -190208.6056  -190208.6056  0.00309  0.00048  0.00000
   11  -190208.5673  -190208.5633  -190208.5633  0.00096  0.00010  0.00000
   12  -190208.5791  -190208.5676  -190208.5676  0.00102  0.00011  0.00000
   13  -190208.5910  -190208.5788  -190208.5788  0.00050  0.00011  0.00000
   14  -190208.5989  -190208.5911  -190208.5911  0.00022  0.00005  0.00000
   15  -190208.5978  -190208.5988  -190208.5988  0.00010  0.00002  0.00000
    1  -190211.1560  -190208.5978  -190208.5978  0.02365  0.08277  0.00000
    2  -190192.8403  -190200.2873  -190200.2873  0.63591  0.25026  0.00000
    3  -190143.5367  -190131.5160  -190131.5160  1.73342  0.18519  0.00000
    4  -190208.5389  -190209.4347  -190209.4347  0.07269  0.01587  0.00000
    5  -190208.3392  -190208.6400  -190208.6400  0.02532  0.00625  0.00000
    6  -190208.3819  -190208.3408  -190208.3408  0.01437  0.00171  0.00000
    7  -190208.3609  -190208.3886  -190208.3886  0.01093  0.00109  0.00000
    8  -190208.3162  -190208.3588  -190208.3588  0.00764  0.00068  0.00000
    9  -190208.3466  -190208.3176  -190208.3176  0.00477  0.00225  0.00000
   10  -190208.3148  -190208.3412  -190208.3412  0.00354  0.00097  0.00000
   11  -190208.3275  -190208.3175  -190208.3175  0.00135  0.00036  0.00000
   12  -190208.3273  -190208.3284  -190208.3284  0.00165  0.00034  0.00000
   13  -190208.3309  -190208.3266  -190208.3266  0.00087  0.00011  0.00000
   14  -190208.3401  -190208.3311  -190208.3311  0.00056  0.00011  0.00000
   15  -190208.3428  -190208.3400  -190208.3400  0.00026  0.00011  0.00000
   16  -190208.3499  -190208.3431  -190208.3431  0.00023  0.00006  0.00000
   17  -190208.3476  -190208.3499  -190208.3499  0.00015  0.00004  0.00000
   18  -190208.3497  -190208.3475  -190208.3475  0.00009  0.00003  0.00000
    1  -190211.5518  -190208.3498  -190208.3498  0.02365  0.08187  0.00000
    2  -190187.0540  -190200.3394  -190200.3394  0.66502  0.27202  0.00000
    3  -190074.2567  -190051.5969  -190051.5969  2.79623  0.22519  0.00000
    4  -190209.1384  -190211.1096  -190211.1096  0.29114  0.02595  0.00000
    5  -190208.7837  -190209.7096  -190209.7096  0.17060  0.01347  0.00000
    6  -190209.0054  -190209.0800  -190209.0800  0.03523  0.00494  0.00000
    7  -190208.9879  -190209.0041  -190209.0041  0.01778  0.00117  0.00000
    8  -190208.9028  -190208.9912  -190208.9912  0.01236  0.00261  0.00000
    9  -190208.9659  -190208.8938  -190208.8938  0.00943  0.00163  0.00000
   10  -190208.7987  -190208.9724  -190208.9724  0.00891  0.00214  0.00000
   11  -190208.8475  -190208.7900  -190208.7900  0.01551  0.00072  0.00000
   12  -190208.8914  -190208.8497  -190208.8497  0.00750  0.00088  0.00000
   13  -190208.8825  -190208.8957  -190208.8957  0.00209  0.00021  0.00000
   14  -190208.8863  -190208.8811  -190208.8811  0.00115  0.00016  0.00000
   15  -190208.8921  -190208.8866  -190208.8866  0.00055  0.00016  0.00000
   16  -190208.8945  -190208.8924  -190208.8924  0.00024  0.00002  0.00000
   17  -190208.8990  -190208.8945  -190208.8945  0.00017  0.00005  0.00000
   18  -190208.8999  -190208.8991  -190208.8991  0.00005  0.00001  0.00000
    1  -190208.0275  -190208.8998  -190208.8998  0.02366  0.09203  0.00000
    2  -190186.9343  -190198.8397  -190198.8397  0.57934  0.25733  0.00000
    3  -190063.9637  -190042.4205  -190042.4205  2.81663  0.22573  0.00000
    4  -190207.4718  -190209.0531  -190209.0531  0.16505  0.03686  0.00000
    5  -190204.5626  -190207.7020  -190207.7020  0.15547  0.04695  0.00000
    6  -190205.7214  -190203.8414  -190203.8414  0.27185  0.03747  0.00000
    7  -190206.8200  -190206.6139  -190206.6139  0.02579  0.00884  0.00000
    8  -190206.6417  -190206.8360  -190206.8360  0.02765  0.00442  0.00000
    9  -190206.3755  -190206.6333  -190206.6333  0.01164  0.01298  0.00000
   10  -190206.7526  -190206.3626  -190206.3626  0.02831  0.01343  0.00000
   11  -190206.4707  -190206.7699  -190206.7699  0.03423  0.01197  0.00000
   12  -190206.6024  -190206.4504  -190206.4504  0.01807  0.01073  0.00000
   13  -190206.4120  -190206.6220  -190206.6220  0.01687  0.01108  0.00000
   14  -190206.6046  -190206.3968  -190206.3968  0.01961  0.00684  0.00000
   15  -190206.6380  -190206.6171  -190206.6171  0.00999  0.00243  0.00000
   16  -190206.5121  -190206.6383  -190206.6383  0.01489  0.00593  0.00000
