 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190074.9567  -190372.6426  -190372.6426  1.98420  1.98420  0.00000
    2  -190240.6444  -190288.2621  -190288.2621  1.98730  1.78630  0.00000
    3  -189730.9008  -190022.7985  -190022.7985  4.31290  2.13940  0.00000
    4  -151786.0456  -150770.5861  -150770.5861 51.58797  2.01889  0.00000
    5  -189974.2731  -189959.3582  -189959.3582  3.00685  0.27415  0.00000
    6  -190099.5405  -190113.8293  -190113.8293  2.80422  0.18342  0.00000
    7  -190153.6014  -190160.4934  -190160.4934  1.79613  0.12752  0.00000
    8  -190181.1805  -190185.8178  -190185.8178  1.10159  0.17509  0.00000
    9  -190201.3627  -190200.9166  -190200.9166  0.37494  0.07406  0.00000
   10  -190203.9657  -190201.4866  -190201.4866  0.32528  0.03383  0.00000
   11  -190205.5138  -190205.3529  -190205.3529  0.14485  0.01575  0.00000
   12  -190207.0891  -190206.1448  -190206.1448  0.04868  0.01273  0.00000
   13  -190206.3120  -190207.0165  -190207.0165  0.02786  0.01565  0.00000
   14  -190207.0178  -190206.3057  -190206.3057  0.06311  0.00911  0.00000
   15  -190207.5006  -190207.0628  -190207.0628  0.03227  0.00691  0.00000
   16  -190207.3240  -190207.5039  -190207.5039  0.01677  0.00668  0.00000
   17  -190207.0595  -190207.3706  -190207.3706  0.02740  0.01113  0.00000
   18  -190207.2707  -190207.0178  -190207.0178  0.03548  0.00670  0.00000
   19  -190207.4329  -190207.2961  -190207.2961  0.00815  0.00315  0.00000
   20  -190207.1402  -190207.4330  -190207.4330  0.00827  0.00732  0.00000
   21  -190207.1805  -190207.1289  -190207.1289  0.02784  0.00124  0.00000
   22  -190207.4451  -190207.1827  -190207.1827  0.02250  0.00693  0.00000
   23  -190207.4080  -190207.4514  -190207.4514  0.01208  0.00162  0.00000
   24  -190207.2878  -190207.4087  -190207.4087  0.00776  0.00289  0.00000
   25  -190207.3549  -190207.2865  -190207.2865  0.00726  0.00185  0.00000
   26  -190207.3191  -190207.3570  -190207.3570  0.00293  0.00106  0.00000
   27  -190207.3225  -190207.3171  -190207.3171  0.00278  0.00063  0.00000
   28  -190207.3227  -190207.3239  -190207.3239  0.00104  0.00009  0.00000
   29  -190207.3124  -190207.3229  -190207.3229  0.00105  0.00036  0.00000
   30  -190207.3189  -190207.3126  -190207.3126  0.00072  0.00015  0.00000
   31  -190207.3195  -190207.3186  -190207.3186  0.00008  0.00002  0.00000
    1  -190216.4743  -190207.3195  -190207.3195  0.02368  0.07595  0.00000
    2  -190183.1044  -190204.7979  -190204.7979  0.66146  0.25736  0.00000
    3  -190146.1076  -190124.5932  -190124.5932  1.80560  0.18972  0.00000
    4  -190209.4439  -190209.9422  -190209.9422  0.04410  0.00561  0.00000
    5  -190208.9634  -190209.5112  -190209.5112  0.01859  0.00632  0.00000
    6  -190209.2356  -190209.0432  -190209.0432  0.02197  0.00256  0.00000
    7  -190209.1682  -190209.2028  -190209.2028  0.00850  0.00062  0.00000
    8  -190209.1698  -190209.1716  -190209.1716  0.00562  0.00141  0.00000
    9  -190209.1717  -190209.1697  -190209.1697  0.00156  0.00018  0.00000
   10  -190209.1965  -190209.1712  -190209.1712  0.00095  0.00027  0.00000
   11  -190209.1838  -190209.1939  -190209.1939  0.00112  0.00010  0.00000
   12  -190209.1943  -190209.1851  -190209.1851  0.00052  0.00010  0.00000
   13  -190209.1958  -190209.1938  -190209.1938  0.00025  0.00005  0.00000
   14  -190209.1983  -190209.1960  -190209.1960  0.00016  0.00003  0.00000
   15  -190209.1990  -190209.1982  -190209.1982  0.00006  0.00001  0.00000
    1  -190214.1071  -190209.1990  -190209.1990  0.02369  0.08014  0.00000
    2  -190185.7732  -190202.0067  -190202.0067  0.62112  0.23551  0.00000
    3  -190150.9692  -190132.7991  -190132.7991  1.64874  0.17623  0.00000
    4  -190208.8817  -190209.8456  -190209.8456  0.07773  0.01312  0.00000
    5  -190208.5761  -190209.0282  -190209.0282  0.02697  0.00619  0.00000
    6  -190208.7529  -190208.6480  -190208.6480  0.01702  0.00117  0.00000
    7  -190208.6795  -190208.7353  -190208.7353  0.01101  0.00081  0.00000
