 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190076.8303  -190371.9157  -190371.9157  1.92382  1.92382  0.00000
    2  -190240.8578  -190288.4033  -190288.4033  1.96598  1.72574  0.00000
    3  -189731.2679  -190022.1108  -190022.1108  4.40877  2.13593  0.00000
    4  -151988.8387  -150972.5023  -150972.5023 51.46618  2.01773  0.00000
    5  -189941.2225  -189921.1981  -189921.1981  3.00079  0.31513  0.00000
    6  -190104.3425  -190118.4177  -190118.4177  2.78046  0.16353  0.00000
    7  -190147.3182  -190154.9986  -190154.9986  1.88987  0.14167  0.00000
    8  -190181.4302  -190185.6031  -190185.6031  1.08112  0.14368  0.00000
    9  -190200.1251  -190201.9124  -190201.9124  0.33332  0.08355  0.00000
   10  -190204.1804  -190199.4090  -190199.4090  0.34792  0.06305  0.00000
   11  -190203.6599  -190205.4349  -190205.4349  0.16126  0.03743  0.00000
   12  -190204.6861  -190203.6156  -190203.6156  0.13300  0.01470  0.00000
   13  -190205.3413  -190204.9264  -190204.9264  0.04552  0.00591  0.00000
   14  -190205.9560  -190205.2931  -190205.2931  0.05141  0.00898  0.00000
   15  -190206.1964  -190206.0335  -190206.0335  0.01516  0.00488  0.00000
   16  -190206.4649  -190206.1942  -190206.1942  0.01442  0.00622  0.00000
   17  -190205.9910  -190206.4659  -190206.4659  0.01589  0.00772  0.00000
   18  -190206.2777  -190205.9958  -190205.9958  0.02063  0.00491  0.00000
   19  -190206.2971  -190206.2707  -190206.2707  0.00458  0.00230  0.00000
   20  -190206.0631  -190206.3047  -190206.3047  0.01094  0.00472  0.00000
   21  -190206.1496  -190206.0575  -190206.0575  0.01133  0.00323  0.00000
   22  -190206.1236  -190206.1564  -190206.1564  0.00494  0.00054  0.00000
   23  -190206.0979  -190206.1269  -190206.1269  0.00781  0.00047  0.00000
   24  -190206.0195  -190206.0973  -190206.0973  0.00667  0.00083  0.00000
   25  -190206.0130  -190206.0211  -190206.0211  0.00440  0.00041  0.00000
   26  -190205.9665  -190206.0124  -190206.0124  0.00266  0.00127  0.00000
   27  -190205.9978  -190205.9647  -190205.9647  0.00303  0.00063  0.00000
   28  -190206.0042  -190205.9984  -190205.9984  0.00039  0.00007  0.00000
   29  -190206.0045  -190206.0042  -190206.0042  0.00017  0.00013  0.00000
   30  -190206.0046  -190206.0042  -190206.0042  0.00048  0.00001  0.00000
   31  -190206.0074  -190206.0047  -190206.0047  0.00040  0.00002  0.00000
   32  -190206.0089  -190206.0073  -190206.0073  0.00030  0.00003  0.00000
   33  -190206.0069  -190206.0089  -190206.0089  0.00011  0.00002  0.00000
   34  -190206.0061  -190206.0071  -190206.0071  0.00006  0.00001  0.00000
    1  -190215.3501  -190206.0061  -190206.0061  0.02368  0.08119  0.00000
    2  -190180.9981  -190203.5275  -190203.5275  0.68137  0.26896  0.00000
    3  -190141.2767  -190119.0284  -190119.0284  1.86643  0.19575  0.00000
    4  -190208.0463  -190208.4595  -190208.4595  0.04385  0.00412  0.00000
    5  -190207.5997  -190208.0947  -190208.0947  0.02068  0.00611  0.00000
    6  -190207.8749  -190207.6710  -190207.6710  0.02065  0.00221  0.00000
    7  -190207.8171  -190207.8487  -190207.8487  0.01061  0.00062  0.00000
    8  -190207.7920  -190207.8202  -190207.8202  0.00774  0.00138  0.00000
    9  -190207.8000  -190207.7931  -190207.7931  0.00129  0.00029  0.00000
   10  -190207.8108  -190207.7998  -190207.7998  0.00092  0.00022  0.00000
   11  -190207.8067  -190207.8095  -190207.8095  0.00083  0.00012  0.00000
