 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190152.6667  -190371.8061  -190371.8061  1.93319  1.93319  0.00000
    2  -190232.0188  -190327.9504  -190327.9504  1.25189  1.73707  0.00000
    3  -190047.1956  -190139.1936  -190139.1936  2.10867  0.71040  0.00000
    4  -188608.2533  -188462.9971  -188462.9971 11.36599  0.58338  0.00000
    5  -190155.2402  -190151.4846  -190151.4846  1.47249  0.12400  0.00000
    6  -190179.8986  -190185.0935  -190185.0935  1.24182  0.17194  0.00000
    7  -190199.2028  -190198.6723  -190198.6723  0.39143  0.05231  0.00000
    8  -190203.8562  -190202.3948  -190202.3948  0.13277  0.03391  0.00000
    9  -190206.2278  -190204.7754  -190204.7754  0.10532  0.01904  0.00000
   10  -190207.7256  -190206.2320  -190206.2320  0.05073  0.02423  0.00000
   11  -190207.6794  -190207.8878  -190207.8878  0.02696  0.01045  0.00000
   12  -190208.6888  -190207.7149  -190207.7149  0.03292  0.01677  0.00000
   13  -190208.1763  -190208.6725  -190208.6725  0.01366  0.00476  0.00000
   14  -190208.5774  -190208.2026  -190208.2026  0.01036  0.00497  0.00000
   15  -190208.2162  -190208.5515  -190208.5515  0.00812  0.00348  0.00000
   16  -190208.1472  -190208.2296  -190208.2296  0.00327  0.00120  0.00000
   17  -190208.0693  -190208.1481  -190208.1481  0.00263  0.00128  0.00000
   18  -190208.0331  -190208.0717  -190208.0717  0.00282  0.00064  0.00000
   19  -190208.0475  -190208.0339  -190208.0339  0.00221  0.00048  0.00000
   20  -190208.0305  -190208.0466  -190208.0466  0.00199  0.00026  0.00000
   21  -190208.0426  -190208.0313  -190208.0313  0.00138  0.00073  0.00000
   22  -190208.0535  -190208.0421  -190208.0421  0.00040  0.00026  0.00000
   23  -190208.0628  -190208.0535  -190208.0535  0.00063  0.00038  0.00000
   24  -190208.0673  -190208.0628  -190208.0628  0.00034  0.00004  0.00000
   25  -190208.0698  -190208.0672  -190208.0672  0.00026  0.00006  0.00000
   26  -190208.0727  -190208.0698  -190208.0698  0.00018  0.00004  0.00000
   27  -190208.0736  -190208.0726  -190208.0726  0.00009  0.00003  0.00000
    1  -190213.5836  -190208.0736  -190208.0736  0.02368  0.08079  0.00000
    2  -190186.5777  -190201.5866  -190201.5866  0.64597  0.25327  0.00000
    3  -190144.6863  -190127.3186  -190127.3186  1.74486  0.18426  0.00000
    4  -190208.7238  -190209.5026  -190209.5026  0.06068  0.01145  0.00000
    5  -190208.5389  -190208.8065  -190208.8065  0.02159  0.00464  0.00000
    6  -190208.5340  -190208.5684  -190208.5684  0.01354  0.00170  0.00000
    7  -190208.4775  -190208.5317  -190208.5317  0.01036  0.00091  0.00000
    8  -190208.4154  -190208.4789  -190208.4789  0.00727  0.00078  0.00000
    9  -190208.4659  -190208.4165  -190208.4165  0.00276  0.00066  0.00000
   10  -190208.4387  -190208.4623  -190208.4623  0.00214  0.00034  0.00000
   11  -190208.4586  -190208.4406  -190208.4406  0.00082  0.00018  0.00000
   12  -190208.4587  -190208.4580  -190208.4580  0.00042  0.00006  0.00000
   13  -190208.4713  -190208.4588  -190208.4588  0.00037  0.00010  0.00000
   14  -190208.4758  -190208.4710  -190208.4710  0.00025  0.00004  0.00000
   15  -190208.4756  -190208.4758  -190208.4758  0.00007  0.00002  0.00000
    1  -190213.0242  -190208.4757  -190208.4757  0.02368  0.08347  0.00000
    2  -190188.2227  -190201.0897  -190201.0897  0.65694  0.25802  0.00000
    3  -190141.8388  -190125.8386  -190125.8386  1.78004  0.18939  0.00000
    4  -190208.7756  -190209.5487  -190209.5487  0.06125  0.01021  0.00000
    5  -190208.6160  -190208.8561  -190208.8561  0.02267  0.00489  0.00000
    6  -190208.6357  -190208.6376  -190208.6376  0.01369  0.00169  0.00000
