 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190152.8345  -190372.6426  -190372.6426  1.98431  1.98431  0.00000
    2  -190232.8031  -190328.8515  -190328.8515  1.24888  1.78624  0.00000
    3  -190040.4250  -190138.1829  -190138.1829  2.13441  0.74708  0.00000
    4  -188333.7838  -188174.7556  -188174.7556 12.22991  0.62100  0.00000
    5  -190154.2903  -190150.6079  -190150.6079  1.52907  0.12966  0.00000
    6  -190179.5304  -190185.0499  -190185.0499  1.29675  0.16133  0.00000
    7  -190198.3432  -190198.4455  -190198.4455  0.50110  0.06064  0.00000
    8  -190204.4818  -190202.9168  -190202.9168  0.17148  0.03399  0.00000
    9  -190206.6727  -190205.6210  -190205.6210  0.09088  0.01025  0.00000
   10  -190207.6294  -190206.7242  -190206.7242  0.05742  0.01941  0.00000
   11  -190209.5753  -190207.7859  -190207.7859  0.03924  0.03028  0.00000
   12  -190209.0689  -190209.5281  -190209.5281  0.02394  0.00406  0.00000
   13  -190209.1482  -190209.0980  -190209.0980  0.01012  0.00289  0.00000
   14  -190208.8986  -190209.1460  -190209.1460  0.00535  0.00275  0.00000
   15  -190208.7283  -190208.9048  -190208.9048  0.00572  0.00366  0.00000
   16  -190208.6817  -190208.7363  -190208.7363  0.00387  0.00118  0.00000
   17  -190208.6498  -190208.6818  -190208.6818  0.00331  0.00044  0.00000
   18  -190208.6485  -190208.6518  -190208.6518  0.00223  0.00045  0.00000
   19  -190208.6193  -190208.6471  -190208.6471  0.00250  0.00081  0.00000
   20  -190208.6540  -190208.6203  -190208.6203  0.00085  0.00036  0.00000
   21  -190208.6413  -190208.6537  -190208.6537  0.00068  0.00024  0.00000
   22  -190208.6606  -190208.6413  -190208.6413  0.00046  0.00019  0.00000
   23  -190208.6690  -190208.6605  -190208.6605  0.00026  0.00015  0.00000
   24  -190208.6665  -190208.6685  -190208.6685  0.00022  0.00002  0.00000
   25  -190208.6675  -190208.6668  -190208.6668  0.00014  0.00006  0.00000
   26  -190208.6654  -190208.6675  -190208.6675  0.00011  0.00013  0.00000
   27  -190208.6651  -190208.6654  -190208.6654  0.00009  0.00005  0.00000
    1  -190214.1538  -190208.6651  -190208.6651  0.02369  0.08065  0.00000
    2  -190187.0887  -190202.0619  -190202.0619  0.64518  0.25273  0.00000
    3  -190145.2590  -190127.8718  -190127.8718  1.74312  0.18520  0.00000
    4  -190209.2833  -190210.0839  -190210.0839  0.06078  0.01231  0.00000
    5  -190209.0832  -190209.3882  -190209.3882  0.02079  0.00485  0.00000
    6  -190209.1079  -190209.1202  -190209.1202  0.01357  0.00137  0.00000
    7  -190209.0517  -190209.1042  -190209.1042  0.01045  0.00070  0.00000
    8  -190209.0029  -190209.0532  -190209.0532  0.00703  0.00060  0.00000
    9  -190209.0521  -190209.0038  -190209.0038  0.00369  0.00127  0.00000
   10  -190209.0131  -190209.0465  -190209.0465  0.00244  0.00060  0.00000
   11  -190209.0203  -190209.0169  -190209.0169  0.00106  0.00018  0.00000
   12  -190209.0268  -190209.0200  -190209.0200  0.00124  0.00018  0.00000
   13  -190209.0374  -190209.0267  -190209.0267  0.00076  0.00010  0.00000
   14  -190209.0456  -190209.0372  -190209.0372  0.00047  0.00006  0.00000
   15  -190209.0474  -190209.0453  -190209.0453  0.00027  0.00005  0.00000
   16  -190209.0561  -190209.0476  -190209.0476  0.00029  0.00008  0.00000
   17  -190209.0546  -190209.0559  -190209.0559  0.00020  0.00002  0.00000
   18  -190209.0568  -190209.0546  -190209.0546  0.00011  0.00002  0.00000
   19  -190209.0565  -190209.0567  -190209.0567  0.00008  0.00001  0.00000
    1  -190213.5909  -190209.0565  -190209.0565  0.02371  0.08314  0.00000
    2  -190188.7511  -190201.5627  -190201.5627  0.65609  0.25827  0.00000
    3  -190142.5659  -190126.5546  -190126.5546  1.77619  0.18960  0.00000
    4  -190209.3571  -190210.1502  -190210.1502  0.06129  0.01058  0.00000
    5  -190209.1977  -190209.4565  -190209.4565  0.02191  0.00490  0.00000
    6  -190209.2242  -190209.2246  -190209.2246  0.01373  0.00080  0.00000
    7  -190209.1752  -190209.2222  -190209.2222  0.01067  0.00074  0.00000
    8  -190209.1345  -190209.1762  -190209.1762  0.00718  0.00071  0.00000
    9  -190209.1666  -190209.1349  -190209.1349  0.00285  0.00063  0.00000
   10  -190209.1468  -190209.1635  -190209.1635  0.00147  0.00026  0.00000
   11  -190209.1528  -190209.1486  -190209.1486  0.00104  0.00007  0.00000
   12  -190209.1592  -190209.1526  -190209.1526  0.00102  0.00012  0.00000
   13  -190209.1650  -190209.1590  -190209.1590  0.00061  0.00007  0.00000
   14  -190209.1711  -190209.1650  -190209.1650  0.00042  0.00007  0.00000
   15  -190209.1752  -190209.1710  -190209.1710  0.00025  0.00007  0.00000
   16  -190209.1777  -190209.1752  -190209.1752  0.00018  0.00002  0.00000
   17  -190209.1765  -190209.1776  -190209.1776  0.00014  0.00001  0.00000
   18  -190209.1778  -190209.1766  -190209.1766  0.00011  0.00002  0.00000
   19  -190209.1780  -190209.1777  -190209.1777  0.00006  0.00000  0.00000
    1  -190212.7596  -190209.1780  -190209.1780  0.02372  0.08292  0.00000
    2  -190191.1044  -190201.1168  -190201.1168  0.64696  0.25478  0.00000
    3  -190142.7805  -190128.7505  -190128.7505  1.75900  0.18636  0.00000
    4  -190209.3869  -190210.2330  -190210.2330  0.06349  0.01139  0.00000
    5  -190209.2644  -190209.4917  -190209.4917  0.02186  0.00474  0.00000
    6  -190209.2449  -190209.2785  -190209.2785  0.01381  0.00078  0.00000
    7  -190209.1831  -190209.2467  -190209.2467  0.01090  0.00088  0.00000
    8  -190209.1321  -190209.1835  -190209.1835  0.00708  0.00068  0.00000
    9  -190209.1756  -190209.1327  -190209.1327  0.00323  0.00068  0.00000
   10  -190209.1475  -190209.1719  -190209.1719  0.00191  0.00030  0.00000
   11  -190209.1542  -190209.1495  -190209.1495  0.00112  0.00009  0.00000
   12  -190209.1635  -190209.1543  -190209.1543  0.00108  0.00012  0.00000
   13  -190209.1722  -190209.1631  -190209.1631  0.00065  0.00009  0.00000
   14  -190209.1812  -190209.1721  -190209.1721  0.00041  0.00008  0.00000
   15  -190209.1835  -190209.1810  -190209.1810  0.00019  0.00005  0.00000
   16  -190209.1879  -190209.1836  -190209.1836  0.00018  0.00004  0.00000
   17  -190209.1868  -190209.1879  -190209.1879  0.00012  0.00001  0.00000
   18  -190209.1887  -190209.1867  -190209.1867  0.00008  0.00003  0.00000
    1  -190211.7306  -190209.1887  -190209.1887  0.02368  0.08289  0.00000
    2  -190193.6064  -190200.7533  -190200.7533  0.63740  0.25060  0.00000
    3  -190145.3952  -190133.6856  -190133.6856  1.71970  0.18539  0.00000
    4  -190209.0781  -190209.9879  -190209.9879  0.07211  0.01636  0.00000
    5  -190208.9160  -190209.2055  -190209.2055  0.02590  0.00567  0.00000
    6  -190208.9351  -190208.9300  -190208.9300  0.01412  0.00081  0.00000
    7  -190208.9133  -190208.9357  -190208.9357  0.01140  0.00089  0.00000
    8  -190208.8755  -190208.9114  -190208.9114  0.00704  0.00050  0.00000
    9  -190208.9204  -190208.8755  -190208.8755  0.00379  0.00074  0.00000
   10  -190208.8915  -190208.9166  -190208.9166  0.00217  0.00045  0.00000
   11  -190208.8976  -190208.8943  -190208.8943  0.00103  0.00021  0.00000
   12  -190208.8999  -190208.8967  -190208.8967  0.00068  0.00010  0.00000
   13  -190208.9046  -190208.9001  -190208.9001  0.00047  0.00010  0.00000
   14  -190208.9087  -190208.9047  -190208.9047  0.00032  0.00006  0.00000
   15  -190208.9093  -190208.9087  -190208.9087  0.00021  0.00004  0.00000
   16  -190208.9104  -190208.9094  -190208.9094  0.00009  0.00002  0.00000
