 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -190153.0610  -190371.9157  -190371.9157  1.92337  1.92337  0.00000
    2  -190233.1553  -190327.9034  -190327.9034  1.24989  1.72770  0.00000
    3  -190007.9134  -190129.7301  -190129.7301  2.45895  0.91976  0.00000
    4  -187050.2293  -186838.1927  -186838.1927 15.70177  0.81105  0.00000
    5  -190139.2331  -190134.4911  -190134.4911  1.59263  0.16134  0.00000
    6  -190175.1418  -190181.1291  -190181.1291  1.37886  0.14797  0.00000
    7  -190194.0923  -190194.7826  -190194.7826  0.67731  0.08413  0.00000
    8  -190202.8173  -190201.6655  -190201.6655  0.24253  0.03909  0.00000
    9  -190205.3060  -190204.4053  -190204.4053  0.09621  0.01153  0.00000
   10  -190206.0963  -190205.3698  -190205.3698  0.05635  0.00853  0.00000
   11  -190207.6017  -190206.1604  -190206.1604  0.03961  0.03000  0.00000
   12  -190208.0116  -190207.6617  -190207.6617  0.01478  0.00604  0.00000
   13  -190207.6981  -190207.9955  -190207.9955  0.01418  0.00279  0.00000
   14  -190207.5767  -190207.7109  -190207.7109  0.00790  0.00385  0.00000
   15  -190207.5547  -190207.5826  -190207.5826  0.00370  0.00093  0.00000
   16  -190207.3653  -190207.5524  -190207.5524  0.00431  0.00176  0.00000
   17  -190207.2839  -190207.3721  -190207.3721  0.00322  0.00136  0.00000
   18  -190207.2572  -190207.2849  -190207.2849  0.00212  0.00075  0.00000
   19  -190207.2749  -190207.2580  -190207.2580  0.00095  0.00014  0.00000
   20  -190207.2923  -190207.2743  -190207.2743  0.00116  0.00049  0.00000
   21  -190207.2871  -190207.2918  -190207.2918  0.00050  0.00006  0.00000
   22  -190207.3058  -190207.2878  -190207.2878  0.00058  0.00025  0.00000
   23  -190207.3167  -190207.3052  -190207.3052  0.00029  0.00010  0.00000
   24  -190207.3216  -190207.3166  -190207.3166  0.00016  0.00008  0.00000
   25  -190207.3190  -190207.3214  -190207.3214  0.00014  0.00002  0.00000
   26  -190207.3202  -190207.3191  -190207.3191  0.00006  0.00002  0.00000
    1  -190212.8418  -190207.3202  -190207.3202  0.02368  0.08071  0.00000
    2  -190185.8587  -190200.9021  -190200.9021  0.64654  0.25372  0.00000
    3  -190143.8146  -190126.4170  -190126.4170  1.74368  0.18491  0.00000
    4  -190207.9921  -190208.7629  -190208.7629  0.06340  0.01060  0.00000
    5  -190207.8084  -190208.0654  -190208.0654  0.02318  0.00436  0.00000
    6  -190207.7985  -190207.8365  -190207.8365  0.01379  0.00093  0.00000
    7  -190207.7429  -190207.7964  -190207.7964  0.01073  0.00060  0.00000
    8  -190207.6678  -190207.7444  -190207.7444  0.00787  0.00112  0.00000
    9  -190207.7068  -190207.6688  -190207.6688  0.00227  0.00053  0.00000
   10  -190207.6908  -190207.7044  -190207.7044  0.00198  0.00026  0.00000
   11  -190207.7142  -190207.6920  -190207.6920  0.00075  0.00022  0.00000
   12  -190207.7162  -190207.7137  -190207.7137  0.00051  0.00003  0.00000
   13  -190207.7263  -190207.7163  -190207.7163  0.00037  0.00009  0.00000
   14  -190207.7305  -190207.7261  -190207.7261  0.00018  0.00005  0.00000
   15  -190207.7305  -190207.7305  -190207.7305  0.00009  0.00002  0.00000
    1  -190212.2857  -190207.7306  -190207.7306  0.02370  0.08336  0.00000
    2  -190187.4896  -190200.3965  -190200.3965  0.65806  0.25881  0.00000
    3  -190140.8232  -190124.7847  -190124.7847  1.78092  0.19017  0.00000
    4  -190208.0413  -190208.8053  -190208.8053  0.06365  0.00998  0.00000
    5  -190207.8812  -190208.1128  -190208.1128  0.02385  0.00467  0.00000
    6  -190207.8957  -190207.9011  -190207.9011  0.01390  0.00093  0.00000
    7  -190207.8548  -190207.8948  -190207.8948  0.01086  0.00062  0.00000
    8  -190207.7974  -190207.8555  -190207.8555  0.00795  0.00110  0.00000
    9  -190207.8257  -190207.7979  -190207.7979  0.00229  0.00055  0.00000
   10  -190207.8144  -190207.8240  -190207.8240  0.00152  0.00023  0.00000
   11  -190207.8320  -190207.8152  -190207.8152  0.00081  0.00024  0.00000
   12  -190207.8290  -190207.8317  -190207.8317  0.00049  0.00007  0.00000
   13  -190207.8374  -190207.8291  -190207.8291  0.00046  0.00011  0.00000
   14  -190207.8418  -190207.8373  -190207.8373  0.00024  0.00007  0.00000
   15  -190207.8427  -190207.8418  -190207.8418  0.00009  0.00003  0.00000
    1  -190211.4860  -190207.8427  -190207.8427  0.02369  0.08623  0.00000
    2  -190189.5537  -190199.7953  -190199.7953  0.65510  0.26129  0.00000
    3  -190139.3308  -190125.0672  -190125.0672  1.78781  0.18866  0.00000
    4  -190208.0685  -190208.8699  -190208.8699  0.06354  0.01082  0.00000
    5  -190207.9888  -190208.1392  -190208.1392  0.02226  0.00382  0.00000
    6  -190207.9196  -190207.9946  -190207.9946  0.01411  0.00105  0.00000
    7  -190207.8659  -190207.9220  -190207.9220  0.01085  0.00075  0.00000
    8  -190207.7949  -190207.8656  -190207.8656  0.00758  0.00108  0.00000
    9  -190207.8455  -190207.7953  -190207.7953  0.00274  0.00055  0.00000
   10  -190207.8168  -190207.8435  -190207.8435  0.00242  0.00028  0.00000
   11  -190207.8245  -190207.8178  -190207.8178  0.00094  0.00010  0.00000
   12  -190207.8371  -190207.8246  -190207.8246  0.00093  0.00013  0.00000
   13  -190207.8479  -190207.8368  -190207.8368  0.00044  0.00011  0.00000
   14  -190207.8550  -190207.8479  -190207.8479  0.00025  0.00007  0.00000
   15  -190207.8549  -190207.8550  -190207.8550  0.00012  0.00002  0.00000
