 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195889.9291  -196126.7453  -196126.7453******************  0.00000
    2  -195955.5303  -196072.7303  -196072.7303  1.32317*********  0.00000
    3  -195580.7324  -195818.7583  -195818.7583  3.03929*********  0.00000
    4  -183206.2917  -182718.4894  -182718.4894 32.12081*********  0.00000
    5  -195386.9179  -195331.5652  -195331.5652  5.74859*********  0.00000
    6  -195870.3599  -195880.5509  -195880.5509  2.22169*********  0.00000
    7  -195890.5501  -195896.2790  -195896.2790  1.52169686.62520  0.00000
    8  -195903.2917  -195907.4061  -195907.4061  0.92991341.60849  0.00000
    9  -195913.4627  -195914.2550  -195914.2550  0.10654 49.32312  0.00000
   10  -195914.0406  -195913.2671  -195913.2671  0.08107 33.22414  0.00000
   11  -195914.6864  -195914.4109  -195914.4109  0.02242 44.01458  0.00000
   12  -195914.7554  -195914.8106  -195914.8106  0.01253 39.50357  0.00000
   13  -195914.8276  -195914.6521  -195914.6521  0.01225 62.71267  0.00000
   14  -195914.6351  -195914.9001  -195914.9001  0.00852  4.86223  0.00000
   15  -195914.7380  -195914.5576  -195914.5576  0.01409 73.64713  0.00000
   16  -195914.7596  -195914.8610  -195914.8610  0.00573 22.04000  0.00000
   17  -195914.6569  -195914.6530  -195914.6530  0.00272  2.18835  0.00000
   18  -195914.7345  -195914.7643  -195914.7643  0.00140 13.29839  0.00000
   19  -195914.6163  -195914.6673  -195914.6673  0.00159 18.35729  0.00000
   20  -195914.5784  -195914.5949  -195914.5949  0.00108  7.90357  0.00000
   21  -195914.6124  -195914.6187  -195914.6187  0.00080  2.39573  0.00000
   22  -195914.6180  -195914.6211  -195914.6211  0.00067  4.08353  0.00000
   23  -195914.6937  -195914.6877  -195914.6877  0.00181  2.50388  0.00000
   24  -195914.6420  -195914.6497  -195914.6497  0.00134  2.75327  0.00000
   25  -195914.6087  -195914.6016  -195914.6016  0.00048  1.55693  0.00000
   26  -195914.6968  -195914.6964  -195914.6964  0.00091  0.83364  0.00000
   27  -195914.6380  -195914.6383  -195914.6383  0.00078  0.83909  0.00000
   28  -195914.5991  -195914.5991  -195914.5991  0.00094  0.16620  0.00000
   29  -195914.5603  -195914.5604  -195914.5604  0.00145  0.14905  0.00000
   30  -195914.5664  -195914.5624  -195914.5624  0.00143  0.81959  0.00000
   31  -195914.6141  -195914.6109  -195914.6109  0.00073  1.23126  0.00000
   32  -195914.5982  -195914.6001  -195914.6001  0.00136  0.36657  0.00000
   33  -195914.6637  -195914.6639  -195914.6639  0.00050  0.38543  0.00000
   34  -195914.5664  -195914.5664  -195914.5664  0.00145  0.09041  0.00000
   35  -195914.5908  -195914.5909  -195914.5909  0.00092  0.21494  0.00000
   36  -195914.5719  -195914.5713  -195914.5713  0.00118  0.12918  0.00000
   37  -195914.5751  -195914.5739  -195914.5739  0.00096  0.48896  0.00000
   38  -195914.6169  -195914.6174  -195914.6174  0.00057  0.38765  0.00000
   39  -195914.6516  -195914.6506  -195914.6506  0.00066  0.12745  0.00000
   40  -195914.6501  -195914.6503  -195914.6503  0.00043  0.08969  0.00000
   41  -195914.5830  -195914.5829  -195914.5829  0.00082  0.28421  0.00000
   42  -195914.5810  -195914.5808  -195914.5808  0.00064  0.14552  0.00000
   43  -195914.5609  -195914.5623  -195914.5623  0.00086  0.14876  0.00000
   44  -195914.5963  -195914.5931  -195914.5931  0.00074  0.24614  0.00000
   45  -195914.6533  -195914.6550  -195914.6550  0.00059  0.20508  0.00000
   46  -195914.5775  -195914.5770  -195914.5770  0.00066  0.16397  0.00000
   47  -195914.5895  -195914.5896  -195914.5896  0.00044  0.11400  0.00000
   48  -195914.5987  -195914.5994  -195914.5994  0.00065  0.09968  0.00000
   49  -195914.6502  -195914.6493  -195914.6493  0.00070  0.14788  0.00000
   50  -195914.6139  -195914.6149  -195914.6149  0.00032  0.13967  0.00000
   51  -195914.6144  -195914.6144  -195914.6144  0.00030  0.04706  0.00000
   52  -195914.6070  -195914.6072  -195914.6072  0.00065  0.10658  0.00000
   53  -195914.6235  -195914.6235  -195914.6235  0.00052  0.06106  0.00000
   54  -195914.6363  -195914.6357  -195914.6357  0.00059  0.04954  0.00000
   55  -195914.6166  -195914.6170  -195914.6170  0.00048  0.54037  0.00000
