 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195889.9291  -196126.7453  -196126.7453******************  0.00000
    2  -195955.5304  -196072.7306  -196072.7306  1.32317*********  0.00000
    3  -195580.6927  -195818.7484  -195818.7484  3.03927*********  0.00000
    4  -183206.3586  -182718.5531  -182718.5531 32.12125*********  0.00000
    5  -195385.9274  -195330.4828  -195330.4828  5.75556*********  0.00000
    6  -195870.3853  -195880.5797  -195880.5797  2.22191*********  0.00000
    7  -195890.7288  -195896.4681  -195896.4681  1.52168688.79792  0.00000
    8  -195903.3278  -195907.4174  -195907.4174  0.92947337.24549  0.00000
    9  -195913.3980  -195914.2129  -195914.2129  0.10460 51.79783  0.00000
   10  -195914.1375  -195913.3677  -195913.3677  0.08136 33.20926  0.00000
   11  -195914.7279  -195914.4449  -195914.4449  0.02252 44.37217  0.00000
   12  -195914.8416  -195914.8981  -195914.8981  0.01245 38.49355  0.00000
   13  -195914.8985  -195914.7231  -195914.7231  0.01220 62.46966  0.00000
   14  -195914.6063  -195914.8695  -195914.8695  0.00849  4.83555  0.00000
   15  -195914.7091  -195914.5283  -195914.5283  0.01398 73.64371  0.00000
   16  -195914.7683  -195914.8816  -195914.8816  0.00582 21.95360  0.00000
   17  -195914.6309  -195914.6260  -195914.6260  0.00232  5.79702  0.00000
   18  -195914.7303  -195914.7587  -195914.7587  0.00140 12.17387  0.00000
   19  -195914.6017  -195914.6466  -195914.6466  0.00131 17.46260  0.00000
   20  -195914.5969  -195914.6099  -195914.6099  0.00070  6.76708  0.00000
   21  -195914.5965  -195914.5972  -195914.5972  0.00086  2.99375  0.00000
   22  -195914.6831  -195914.7008  -195914.7008  0.00176  4.84383  0.00000
   23  -195914.6683  -195914.6637  -195914.6637  0.00143  1.18450  0.00000
   24  -195914.7050  -195914.7006  -195914.7006  0.00164  1.84323  0.00000
   25  -195914.6589  -195914.6609  -195914.6609  0.00097  1.68768  0.00000
   26  -195914.6418  -195914.6419  -195914.6419  0.00059  1.26700  0.00000
   27  -195914.5531  -195914.5501  -195914.5501  0.00144  0.41481  0.00000
   28  -195914.6091  -195914.6107  -195914.6107  0.00071  1.28094  0.00000
   29  -195914.6879  -195914.6863  -195914.6863  0.00162  0.84841  0.00000
