 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -196274.3163  -195871.0450  -195871.0450  1.99999  1.99999  0.00000
    2  -196120.3692  -195819.3953  -195819.3953  3.25113  1.79998  0.00000
    3  -189293.9864  -187124.7744  -187124.7744 31.24658 10.89318  0.00000
    4  -181210.2313  -180136.4405  -180136.4405 31.86584  3.68137  0.00000
    5  -192148.5359  -192202.4344  -192202.4344 17.40915  8.10925  0.00000
    6  -195256.9147  -195304.7321  -195304.7321  6.84724  0.77659  0.00000
    7  -195558.8825  -195589.3690  -195589.3690  4.38453  1.44221  0.00000
    8  -195691.9029  -195667.6341  -195667.6341  1.44000  0.29787  0.00000
    9  -195716.9191  -195721.5408  -195721.5408  0.61192  0.09279  0.00000
   10  -195727.4524  -195726.2576  -195726.2576  0.47220  0.27444  0.00000
   11  -195732.4121  -195730.1410  -195730.1410  0.38764  0.06547  0.00000
   12  -195734.3393  -195733.0454  -195733.0454  0.18699  0.03031  0.00000
   13  -195734.5355  -195734.1595  -195734.1595  0.12744  0.00614  0.00000
   14  -195736.1306  -195734.6046  -195734.6046  0.09946  0.02064  0.00000
   15  -195735.7721  -195735.9646  -195735.9646  0.04271  0.02325  0.00000
   16  -195736.1053  -195735.8702  -195735.8702  0.02625  0.00450  0.00000
   17  -195735.9816  -195736.0751  -195736.0751  0.01024  0.00708  0.00000
   18  -195735.9048  -195736.0004  -195736.0004  0.00653  0.00274  0.00000
   19  -195735.9610  -195735.9242  -195735.9242  0.00577  0.00088  0.00000
   20  -195735.8649  -195735.9487  -195735.9487  0.00485  0.00172  0.00000
   21  -195735.8703  -195735.8750  -195735.8750  0.00153  0.00051  0.00000
   22  -195735.8699  -195735.8713  -195735.8713  0.00133  0.00045  0.00000
   23  -195735.8810  -195735.8702  -195735.8702  0.00065  0.00064  0.00000
   24  -195735.8856  -195735.8802  -195735.8802  0.00034  0.00013  0.00000
   25  -195735.8889  -195735.8851  -195735.8851  0.00016  0.00006  0.00000
   26  -195735.8877  -195735.8884  -195735.8884  0.00014  0.00004  0.00000
   27  -195735.8912  -195735.8880  -195735.8880  0.00009  0.00006  0.00000
    1  -195742.0619  -195735.8907  -195735.8907  0.02367  0.08336  0.00000
    2  -195709.9394  -195728.2015  -195728.2015  0.69624  0.27270  0.00000
    3  -195662.8761  -195642.1936  -195642.1936  2.01903  0.20213  0.00000
    4  -195736.2055  -195736.8671  -195736.8671  0.04469  0.01441  0.00000
    5  -195736.3087  -195736.5008  -195736.5008  0.01807  0.00365  0.00000
    6  -195736.3445  -195736.3657  -195736.3657  0.01294  0.00100  0.00000
    7  -195736.3010  -195736.3421  -195736.3421  0.01041  0.00132  0.00000
    8  -195736.2343  -195736.2996  -195736.2996  0.00571  0.00068  0.00000
    9  -195736.2710  -195736.2480  -195736.2480  0.00549  0.00032  0.00000
   10  -195736.2850  -195736.2637  -195736.2637  0.00394  0.00076  0.00000
   11  -195736.2806  -195736.2805  -195736.2805  0.00099  0.00013  0.00000
   12  -195736.2906  -195736.2824  -195736.2824  0.00059  0.00011  0.00000
   13  -195736.2947  -195736.2884  -195736.2884  0.00051  0.00009  0.00000
   14  -195736.3015  -195736.2946  -195736.2946  0.00023  0.00008  0.00000
   15  -195736.2978  -195736.3008  -195736.3008  0.00014  0.00003  0.00000
   16  -195736.3011  -195736.2982  -195736.2982  0.00015  0.00004  0.00000
   17  -195736.3004  -195736.3009  -195736.3009  0.00003  0.00001  0.00000
    1  -195741.3927  -195736.3004  -195736.3004  0.02368  0.08206  0.00000
    2  -195711.5049  -195727.2653  -195727.2653  0.71063  0.27937  0.00000
    3  -195658.0027  -195638.6683  -195638.6683  2.06939  0.20889  0.00000
    4  -195736.2747  -195736.9793  -195736.9793  0.04594  0.01406  0.00000
    5  -195736.3626  -195736.5848  -195736.5848  0.01966  0.00364  0.00000
    6  -195736.4710  -195736.4413  -195736.4413  0.01333  0.00152  0.00000
    7  -195736.4361  -195736.4497  -195736.4497  0.01047  0.00107  0.00000
    8  -195736.3647  -195736.4312  -195736.4312  0.00646  0.00097  0.00000
    9  -195736.3941  -195736.3810  -195736.3810  0.00593  0.00029  0.00000
   10  -195736.4047  -195736.3885  -195736.3885  0.00380  0.00067  0.00000
   11  -195736.4107  -195736.4026  -195736.4026  0.00088  0.00019  0.00000
   12  -195736.4098  -195736.4080  -195736.4080  0.00063  0.00005  0.00000
   13  -195736.4118  -195736.4097  -195736.4097  0.00047  0.00010  0.00000
   14  -195736.4196  -195736.4123  -195736.4123  0.00034  0.00013  0.00000
   15  -195736.4184  -195736.4183  -195736.4183  0.00019  0.00002  0.00000
   16  -195736.4182  -195736.4186  -195736.4186  0.00007  0.00002  0.00000
    1  -195740.4468  -195736.4182  -195736.4182  0.02369  0.08134  0.00000
    2  -195714.1501  -195726.7971  -195726.7971  0.70230  0.27716  0.00000
    3  -195658.3436  -195641.2291  -195641.2291  2.05236  0.20798  0.00000
    4  -195736.2163  -195737.0058  -195737.0058  0.05126  0.01503  0.00000
    5  -195736.2923  -195736.5520  -195736.5520  0.02056  0.00412  0.00000
    6  -195736.4385  -195736.3828  -195736.3828  0.01334  0.00242  0.00000
    7  -195736.4001  -195736.4065  -195736.4065  0.01035  0.00061  0.00000
    8  -195736.3215  -195736.3961  -195736.3961  0.00791  0.00133  0.00000
    9  -195736.3441  -195736.3371  -195736.3371  0.00619  0.00033  0.00000
   10  -195736.3504  -195736.3390  -195736.3390  0.00399  0.00057  0.00000
   11  -195736.3636  -195736.3496  -195736.3496  0.00141  0.00025  0.00000
   12  -195736.3645  -195736.3594  -195736.3594  0.00061  0.00010  0.00000
   13  -195736.3618  -195736.3638  -195736.3638  0.00043  0.00005  0.00000
   14  -195736.3710  -195736.3629  -195736.3629  0.00043  0.00015  0.00000
   15  -195736.3719  -195736.3700  -195736.3700  0.00024  0.00005  0.00000
   16  -195736.3712  -195736.3720  -195736.3720  0.00012  0.00002  0.00000
   17  -195736.3725  -195736.3712  -195736.3712  0.00009  0.00004  0.00000
    1  -195739.6958  -195736.3725  -195736.3725  0.02373  0.09049  0.00000
    2  -195715.8687  -195726.1918  -195726.1918  0.69513  0.27648  0.00000
    3  -195651.0509  -195635.1332  -195635.1332  2.12820  0.21266  0.00000
    4  -195735.5915  -195736.7461  -195736.7461  0.09021  0.02308  0.00000
    5  -195735.5699  -195736.1625  -195736.1625  0.03492  0.01386  0.00000
    6  -195736.0849  -195735.8324  -195735.8324  0.01925  0.00508  0.00000
    7  -195735.9474  -195735.9941  -195735.9941  0.01137  0.00216  0.00000
    8  -195736.0087  -195735.9718  -195735.9718  0.00774  0.00122  0.00000
    9  -195735.9747  -195735.9892  -195735.9892  0.00437  0.00096  0.00000
   10  -195735.9782  -195735.9815  -195735.9815  0.00289  0.00034  0.00000
   11  -195735.9806  -195735.9783  -195735.9783  0.00165  0.00034  0.00000
   12  -195735.9754  -195735.9777  -195735.9777  0.00090  0.00005  0.00000
   13  -195735.9742  -195735.9760  -195735.9760  0.00069  0.00019  0.00000
   14  -195735.9722  -195735.9741  -195735.9741  0.00045  0.00005  0.00000
   15  -195735.9720  -195735.9729  -195735.9729  0.00022  0.00006  0.00000
   16  -195735.9732  -195735.9721  -195735.9721  0.00017  0.00004  0.00000
   17  -195735.9730  -195735.9731  -195735.9731  0.00014  0.00005  0.00000
   18  -195735.9738  -195735.9731  -195735.9731  0.00007  0.00001  0.00000
