 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195856.4263  -196103.2210  -196103.2210  1.94600  1.94600  0.00000
    2  -195941.6089  -196053.8109  -196053.8109  1.34233  1.74849  0.00000
    3  -195609.4045  -195768.5679  -195768.5679  2.50353  1.44730  0.00000
    4  -184689.4365  -184293.6412  -184293.6412 27.71904  1.35173  0.00000
    5  -195851.8353  -195864.7010  -195864.7010  2.37963  0.43036  0.00000
    6  -195845.7307  -195853.7136  -195853.7136  2.01356  0.19919  0.00000
    7  -195875.7407  -195875.4571  -195875.4571  1.27303  0.10853  0.00000
    8  -195894.0586  -195900.2138  -195900.2138  0.73642  0.13943  0.00000
    9  -195901.4856  -195898.7224  -195898.7224  0.26683  0.04252  0.00000
   10  -195902.8453  -195902.5078  -195902.5078  0.07086  0.00656  0.00000
   11  -195903.1640  -195903.0021  -195903.0021  0.02736  0.00594  0.00000
   12  -195903.2497  -195903.2316  -195903.2316  0.02108  0.00226  0.00000
   13  -195903.4633  -195903.2727  -195903.2727  0.01392  0.00971  0.00000
   14  -195903.5701  -195903.5102  -195903.5102  0.00769  0.00360  0.00000
   15  -195903.5249  -195903.5840  -195903.5840  0.00585  0.00162  0.00000
   16  -195903.5699  -195903.5228  -195903.5228  0.00388  0.00117  0.00000
   17  -195903.5082  -195903.5789  -195903.5789  0.00302  0.00082  0.00000
   18  -195903.4845  -195903.5036  -195903.5036  0.00185  0.00026  0.00000
   19  -195903.4634  -195903.4825  -195903.4825  0.00159  0.00045  0.00000
   20  -195903.4159  -195903.4644  -195903.4644  0.00176  0.00074  0.00000
   21  -195903.4148  -195903.4134  -195903.4134  0.00112  0.00022  0.00000
   22  -195903.3926  -195903.4156  -195903.4156  0.00090  0.00037  0.00000
   23  -195903.3992  -195903.3909  -195903.3909  0.00044  0.00018  0.00000
   24  -195903.3972  -195903.3993  -195903.3993  0.00040  0.00010  0.00000
   25  -195903.4083  -195903.3978  -195903.3978  0.00041  0.00011  0.00000
   26  -195903.4139  -195903.4082  -195903.4082  0.00022  0.00009  0.00000
   27  -195903.4168  -195903.4146  -195903.4146  0.00019  0.00004  0.00000
   28  -195903.4211  -195903.4165  -195903.4165  0.00019  0.00004  0.00000
   29  -195903.4234  -195903.4213  -195903.4213  0.00014  0.00003  0.00000
   30  -195903.4242  -195903.4236  -195903.4236  0.00009  0.00001  0.00000
    1  -195907.4025  -195903.4242  -195903.4242  0.02370  0.12156  0.00000
    2  -195883.0052  -195890.8561  -195890.8561  0.71610  0.49083  0.00000
    3  -195769.3274  -195753.8609  -195753.8609  2.20628  0.36780  0.00000
    4  -195904.1591  -195904.8540  -195904.8540  0.05895  0.01221  0.00000
    5  -195903.7757  -195904.0609  -195904.0609  0.03235  0.00395  0.00000
    6  -195903.7219  -195903.7371  -195903.7371  0.01532  0.00159  0.00000
    7  -195903.6994  -195903.7280  -195903.7280  0.01260  0.00164  0.00000
    8  -195903.6362  -195903.6984  -195903.6984  0.00856  0.00144  0.00000
    9  -195903.6804  -195903.6329  -195903.6329  0.00705  0.00064  0.00000
   10  -195903.6351  -195903.6887  -195903.6887  0.00407  0.00095  0.00000
   11  -195903.6439  -195903.6249  -195903.6249  0.00463  0.00081  0.00000
   12  -195903.6577  -195903.6490  -195903.6490  0.00170  0.00022  0.00000
   13  -195903.6662  -195903.6584  -195903.6584  0.00105  0.00023  0.00000
   14  -195903.6721  -195903.6666  -195903.6666  0.00051  0.00019  0.00000
   15  -195903.6731  -195903.6723  -195903.6723  0.00022  0.00005  0.00000
   16  -195903.6745  -195903.6731  -195903.6731  0.00021  0.00006  0.00000
   17  -195903.6753  -195903.6745  -195903.6745  0.00020  0.00003  0.00000
   18  -195903.6746  -195903.6755  -195903.6755  0.00015  0.00007  0.00000
   19  -195903.6766  -195903.6743  -195903.6743  0.00013  0.00004  0.00000
   20  -195903.6766  -195903.6768  -195903.6768  0.00007  0.00001  0.00000
    1  -195906.5543  -195903.6766  -195903.6766  0.02369  0.11891  0.00000
    2  -195886.1994  -195890.4823  -195890.4823  0.71413  0.48322  0.00000
    3  -195769.7429  -195756.9296  -195756.9296  2.20029  0.36018  0.00000
    4  -195904.2501  -195905.0191  -195905.0191  0.06459  0.01335  0.00000
    5  -195903.8719  -195904.1486  -195904.1486  0.03123  0.00421  0.00000
    6  -195903.8249  -195903.8278  -195903.8278  0.01530  0.00171  0.00000
    7  -195903.8070  -195903.8296  -195903.8296  0.01255  0.00139  0.00000
    8  -195903.7444  -195903.8067  -195903.8067  0.00900  0.00141  0.00000
    9  -195903.7750  -195903.7371  -195903.7371  0.00692  0.00066  0.00000
   10  -195903.7385  -195903.7826  -195903.7826  0.00462  0.00074  0.00000
   11  -195903.7508  -195903.7307  -195903.7307  0.00453  0.00073  0.00000
   12  -195903.7609  -195903.7552  -195903.7552  0.00160  0.00019  0.00000
   13  -195903.7681  -195903.7617  -195903.7617  0.00112  0.00020  0.00000
   14  -195903.7762  -195903.7686  -195903.7686  0.00064  0.00022  0.00000
   15  -195903.7750  -195903.7769  -195903.7769  0.00024  0.00007  0.00000
   16  -195903.7773  -195903.7745  -195903.7745  0.00027  0.00003  0.00000
   17  -195903.7790  -195903.7777  -195903.7777  0.00016  0.00008  0.00000
   18  -195903.7790  -195903.7790  -195903.7790  0.00014  0.00001  0.00000
   19  -195903.7800  -195903.7790  -195903.7790  0.00013  0.00003  0.00000
   20  -195903.7802  -195903.7801  -195903.7801  0.00009  0.00002  0.00000
    1  -195905.4334  -195903.7802  -195903.7802  0.02369  0.11743  0.00000
    2  -195889.2410  -195889.6925  -195889.6925  0.72470  0.48749  0.00000
    3  -195768.1787  -195757.9536  -195757.9536  2.19663  0.36084  0.00000
    4  -195904.2275  -195905.1684  -195905.1684  0.07483  0.01576  0.00000
    5  -195903.8245  -195904.1155  -195904.1155  0.03179  0.00420  0.00000
    6  -195903.7674  -195903.7758  -195903.7758  0.01547  0.00156  0.00000
    7  -195903.7369  -195903.7673  -195903.7673  0.01267  0.00150  0.00000
    8  -195903.6782  -195903.7367  -195903.7367  0.00885  0.00136  0.00000
    9  -195903.7167  -195903.6678  -195903.6678  0.00683  0.00086  0.00000
   10  -195903.6680  -195903.7265  -195903.7265  0.00380  0.00100  0.00000
   11  -195903.6781  -195903.6584  -195903.6584  0.00462  0.00068  0.00000
   12  -195903.6883  -195903.6818  -195903.6818  0.00158  0.00016  0.00000
   13  -195903.6967  -195903.6895  -195903.6895  0.00106  0.00018  0.00000
   14  -195903.7044  -195903.6975  -195903.6975  0.00059  0.00019  0.00000
   15  -195903.7058  -195903.7052  -195903.7052  0.00021  0.00005  0.00000
   16  -195903.7076  -195903.7056  -195903.7056  0.00021  0.00003  0.00000
   17  -195903.7079  -195903.7078  -195903.7078  0.00019  0.00005  0.00000
   18  -195903.7082  -195903.7077  -195903.7077  0.00016  0.00003  0.00000
   19  -195903.7102  -195903.7083  -195903.7083  0.00015  0.00006  0.00000
   20  -195903.7109  -195903.7104  -195903.7104  0.00010  0.00002  0.00000
   21  -195903.7114  -195903.7110  -195903.7110  0.00006  0.00002  0.00000
    1  -195904.2311  -195903.7114  -195903.7114  0.02369  0.11689  0.00000
    2  -195891.5357  -195888.9112  -195888.9112  0.72613  0.48325  0.00000
    3  -195762.6764  -195754.1798  -195754.1798  2.24878  0.35374  0.00000
    4  -195904.0465  -195905.2409  -195905.2409  0.08840  0.01918  0.00000
    5  -195903.4126  -195903.9228  -195903.9228  0.03612  0.00600  0.00000
    6  -195903.4575  -195903.3066  -195903.3066  0.01476  0.00261  0.00000
    7  -195903.4398  -195903.4915  -195903.4915  0.01229  0.00209  0.00000
    8  -195903.4045  -195903.4300  -195903.4300  0.00712  0.00164  0.00000
    9  -195903.4113  -195903.4010  -195903.4010  0.00446  0.00140  0.00000
   10  -195903.4255  -195903.4189  -195903.4189  0.00383  0.00090  0.00000
   11  -195903.4296  -195903.4235  -195903.4235  0.00101  0.00031  0.00000
   12  -195903.4404  -195903.4304  -195903.4304  0.00079  0.00015  0.00000
   13  -195903.4393  -195903.4420  -195903.4420  0.00054  0.00010  0.00000
   14  -195903.4421  -195903.4387  -195903.4387  0.00032  0.00017  0.00000
   15  -195903.4432  -195903.4424  -195903.4424  0.00012  0.00007  0.00000
   16  -195903.4430  -195903.4430  -195903.4430  0.00021  0.00006  0.00000
   17  -195903.4437  -195903.4432  -195903.4432  0.00010  0.00001  0.00000
