 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195932.3157  -196192.4187  -196192.4187  1.92686  1.92686  0.00000
    2  -195925.5406  -196165.8091  -196165.8091  0.22867  1.73416  0.00000
    3  -195849.8679  -195880.7476  -195880.7476  1.85660  0.89646  0.00000
    4  -195730.7432  -195688.6155  -195688.6155  4.11645  0.56167  0.00000
    5  -195892.8661  -195883.4400  -195883.4400  0.84367  0.12369  0.00000
    6  -195902.5992  -195906.3953  -195906.3953  0.68319  0.21749  0.00000
    7  -195904.6849  -195903.5949  -195903.5949  0.34264  0.06192  0.00000
    8  -195907.1538  -195905.9828  -195905.9828  0.14038  0.03598  0.00000
    9  -195907.8665  -195907.6711  -195907.6711  0.04399  0.00944  0.00000
   10  -195908.3540  -195907.9154  -195907.9154  0.02094  0.00809  0.00000
   11  -195908.3978  -195908.4179  -195908.4179  0.01497  0.00431  0.00000
   12  -195908.6878  -195908.3930  -195908.3930  0.01419  0.00708  0.00000
   13  -195908.6355  -195908.7225  -195908.7225  0.00787  0.00389  0.00000
   14  -195908.7683  -195908.6286  -195908.6286  0.00681  0.00579  0.00000
   15  -195908.6844  -195908.7853  -195908.7853  0.00416  0.00124  0.00000
   16  -195908.6728  -195908.6757  -195908.6757  0.00280  0.00093  0.00000
   17  -195908.6833  -195908.6718  -195908.6718  0.00122  0.00046  0.00000
   18  -195908.6802  -195908.6845  -195908.6845  0.00081  0.00021  0.00000
   19  -195908.6827  -195908.6796  -195908.6796  0.00063  0.00019  0.00000
   20  -195908.6791  -195908.6836  -195908.6836  0.00052  0.00011  0.00000
   21  -195908.6739  -195908.6787  -195908.6787  0.00034  0.00019  0.00000
   22  -195908.6757  -195908.6731  -195908.6731  0.00027  0.00008  0.00000
   23  -195908.6756  -195908.6762  -195908.6762  0.00018  0.00009  0.00000
   24  -195908.6782  -195908.6754  -195908.6754  0.00016  0.00003  0.00000
   25  -195908.6775  -195908.6785  -195908.6785  0.00015  0.00010  0.00000
   26  -195908.6780  -195908.6775  -195908.6775  0.00012  0.00002  0.00000
   27  -195908.6787  -195908.6780  -195908.6780  0.00009  0.00005  0.00000
    1  -195911.9017  -195908.6788  -195908.6788  0.02373  0.09948  0.00000
    2  -195895.1698  -195899.2818  -195899.2818  0.63601  0.32776  0.00000
    3  -195841.0043  -195833.1723  -195833.1723  1.51561  0.23999  0.00000
    4  -195909.2509  -195908.9394  -195908.9394  0.02087  0.00612  0.00000
    5  -195909.1273  -195909.3273  -195909.3273  0.02040  0.00448  0.00000
    6  -195908.9653  -195909.0874  -195909.0874  0.01372  0.00404  0.00000
    7  -195908.9421  -195908.9572  -195908.9572  0.01001  0.00068  0.00000
    8  -195908.9183  -195908.9414  -195908.9414  0.00764  0.00107  0.00000
    9  -195908.9457  -195908.9222  -195908.9222  0.00243  0.00098  0.00000
   10  -195908.9518  -195908.9499  -195908.9499  0.00116  0.00028  0.00000
   11  -195908.9680  -195908.9518  -195908.9518  0.00090  0.00064  0.00000
   12  -195908.9649  -195908.9696  -195908.9696  0.00063  0.00025  0.00000
   13  -195908.9631  -195908.9643  -195908.9643  0.00023  0.00005  0.00000
   14  -195908.9643  -195908.9624  -195908.9624  0.00024  0.00006  0.00000
   15  -195908.9648  -195908.9647  -195908.9647  0.00010  0.00004  0.00000
    1  -195911.2257  -195908.9646  -195908.9646  0.02368  0.09717  0.00000
    2  -195897.2318  -195898.9093  -195898.9093  0.63368  0.32291  0.00000
    3  -195840.0040  -195833.8291  -195833.8291  1.50720  0.23610  0.00000
    4  -195909.2633  -195909.0389  -195909.0389  0.02056  0.00582  0.00000
    5  -195909.0961  -195909.3208  -195909.3208  0.01724  0.00412  0.00000
    6  -195909.0230  -195909.0484  -195909.0484  0.01350  0.00398  0.00000
    7  -195909.0118  -195909.0236  -195909.0236  0.01010  0.00054  0.00000
    8  -195908.9865  -195909.0107  -195909.0107  0.00772  0.00163  0.00000
    9  -195909.0483  -195908.9851  -195908.9851  0.00326  0.00150  0.00000
   10  -195909.0226  -195909.0622  -195909.0622  0.00201  0.00061  0.00000
   11  -195909.0309  -195909.0136  -195909.0136  0.00149  0.00076  0.00000
   12  -195909.0326  -195909.0344  -195909.0344  0.00065  0.00007  0.00000
   13  -195909.0312  -195909.0320  -195909.0320  0.00032  0.00004  0.00000
   14  -195909.0312  -195909.0309  -195909.0309  0.00028  0.00007  0.00000
   15  -195909.0331  -195909.0312  -195909.0312  0.00025  0.00004  0.00000
   16  -195909.0334  -195909.0332  -195909.0332  0.00013  0.00003  0.00000
   17  -195909.0338  -195909.0332  -195909.0332  0.00011  0.00001  0.00000
   18  -195909.0341  -195909.0340  -195909.0340  0.00006  0.00004  0.00000
    1  -195910.2272  -195909.0341  -195909.0341  0.02367  0.09618  0.00000
    2  -195899.6005  -195898.2751  -195898.2751  0.64241  0.32578  0.00000
