 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195856.6096  -196103.7796  -196103.7796  1.98191  1.98191  0.00000
    2  -195942.4485  -196054.4858  -196054.4858  1.33766  1.78352  0.00000
    3  -195603.0402  -195766.6997  -195766.6997  2.57635  1.44297  0.00000
    4  -183933.0001  -183519.7445  -183519.7445 28.67127  1.34753  0.00000
    5  -195849.8090  -195862.8978  -195862.8978  2.45760  0.44122  0.00000
    6  -195843.6354  -195850.8868  -195850.8868  2.07474  0.18489  0.00000
    7  -195874.2981  -195875.2774  -195875.2774  1.35011  0.11060  0.00000
    8  -195894.1768  -195899.4684  -195899.4684  0.77822  0.11769  0.00000
    9  -195902.9156  -195900.6646  -195900.6646  0.18318  0.03907  0.00000
   10  -195903.6610  -195903.6954  -195903.6954  0.05710  0.00585  0.00000
   11  -195903.9434  -195903.7708  -195903.7708  0.02932  0.00352  0.00000
   12  -195904.0758  -195903.9957  -195903.9957  0.01905  0.00468  0.00000
   13  -195904.2422  -195904.1138  -195904.1138  0.01092  0.00975  0.00000
   14  -195904.3159  -195904.2633  -195904.2633  0.00812  0.00200  0.00000
   15  -195904.2893  -195904.3270  -195904.3270  0.00357  0.00113  0.00000
   16  -195904.1582  -195904.2880  -195904.2880  0.00314  0.00358  0.00000
   17  -195904.1311  -195904.1553  -195904.1553  0.00094  0.00086  0.00000
   18  -195904.1194  -195904.1308  -195904.1308  0.00075  0.00037  0.00000
   19  -195904.1161  -195904.1183  -195904.1183  0.00064  0.00049  0.00000
   20  -195904.1270  -195904.1164  -195904.1164  0.00047  0.00057  0.00000
   21  -195904.1189  -195904.1276  -195904.1276  0.00033  0.00017  0.00000
   22  -195904.1263  -195904.1180  -195904.1180  0.00028  0.00052  0.00000
   23  -195904.1273  -195904.1268  -195904.1268  0.00017  0.00003  0.00000
   24  -195904.1290  -195904.1271  -195904.1271  0.00013  0.00020  0.00000
   25  -195904.1313  -195904.1292  -195904.1292  0.00013  0.00011  0.00000
   26  -195904.1314  -195904.1314  -195904.1314  0.00010  0.00003  0.00000
    1  -195908.0411  -195904.1313  -195904.1313  0.02368  0.12449  0.00000
    2  -195883.8081  -195891.5321  -195891.5321  0.71612  0.50051  0.00000
    3  -195770.2876  -195754.8463  -195754.8463  2.19237  0.37350  0.00000
    4  -195904.8776  -195905.6250  -195905.6250  0.06214  0.01338  0.00000
    5  -195904.5312  -195904.7843  -195904.7843  0.03064  0.00344  0.00000
    6  -195904.4477  -195904.5015  -195904.5015  0.01564  0.00167  0.00000
    7  -195904.4218  -195904.4478  -195904.4478  0.01270  0.00078  0.00000
    8  -195904.3549  -195904.4212  -195904.4212  0.00863  0.00151  0.00000
    9  -195904.3783  -195904.3522  -195904.3522  0.00542  0.00134  0.00000
   10  -195904.3564  -195904.3835  -195904.3835  0.00185  0.00090  0.00000
   11  -195904.3753  -195904.3508  -195904.3508  0.00224  0.00035  0.00000
   12  -195904.3863  -195904.3794  -195904.3794  0.00076  0.00037  0.00000
   13  -195904.3889  -195904.3867  -195904.3867  0.00030  0.00008  0.00000
   14  -195904.3880  -195904.3890  -195904.3890  0.00024  0.00004  0.00000
   15  -195904.3888  -195904.3879  -195904.3879  0.00022  0.00010  0.00000
   16  -195904.3898  -195904.3885  -195904.3885  0.00017  0.00002  0.00000
   17  -195904.3903  -195904.3901  -195904.3901  0.00013  0.00001  0.00000
   18  -195904.3924  -195904.3903  -195904.3903  0.00011  0.00005  0.00000
   19  -195904.3914  -195904.3924  -195904.3924  0.00009  0.00002  0.00000
    1  -195907.2231  -195904.3913  -195904.3913  0.02361  0.12172  0.00000
    2  -195886.8759  -195891.0811  -195891.0811  0.71524  0.49363  0.00000
    3  -195769.6249  -195756.7401  -195756.7401  2.19985  0.36643  0.00000
    4  -195904.9683  -195905.7894  -195905.7894  0.06825  0.01451  0.00000
    5  -195904.6080  -195904.8738  -195904.8738  0.03000  0.00398  0.00000
    6  -195904.5435  -195904.5700  -195904.5700  0.01549  0.00168  0.00000
    7  -195904.5241  -195904.5438  -195904.5438  0.01265  0.00067  0.00000
    8  -195904.4609  -195904.5241  -195904.5241  0.00903  0.00145  0.00000
    9  -195904.5157  -195904.4542  -195904.4542  0.00538  0.00129  0.00000
   10  -195904.4568  -195904.5266  -195904.5266  0.00400  0.00136  0.00000
   11  -195904.4683  -195904.4453  -195904.4453  0.00402  0.00057  0.00000
   12  -195904.4776  -195904.4726  -195904.4726  0.00131  0.00012  0.00000
   13  -195904.4817  -195904.4783  -195904.4783  0.00096  0.00015  0.00000
   14  -195904.4902  -195904.4819  -195904.4819  0.00068  0.00027  0.00000
   15  -195904.4903  -195904.4909  -195904.4909  0.00017  0.00007  0.00000
   16  -195904.4917  -195904.4900  -195904.4900  0.00018  0.00002  0.00000
   17  -195904.4924  -195904.4919  -195904.4919  0.00011  0.00003  0.00000
   18  -195904.4924  -195904.4923  -195904.4923  0.00009  0.00003  0.00000
    1  -195906.1015  -195904.4924  -195904.4924  0.02371  0.12027  0.00000
    2  -195890.0222  -195890.3092  -195890.3092  0.72511  0.49719  0.00000
    3  -195769.4166  -195759.3419  -195759.3419  2.17394  0.36756  0.00000
    4  -195904.9127  -195905.8395  -195905.8395  0.07421  0.01587  0.00000
    5  -195904.5136  -195904.8149  -195904.8149  0.02983  0.00456  0.00000
    6  -195904.4727  -195904.4668  -195904.4668  0.01534  0.00164  0.00000
    7  -195904.4481  -195904.4749  -195904.4749  0.01265  0.00068  0.00000
    8  -195904.3879  -195904.4486  -195904.4486  0.00891  0.00130  0.00000
    9  -195904.4045  -195904.3777  -195904.3777  0.00547  0.00053  0.00000
   10  -195904.3738  -195904.4100  -195904.4100  0.00395  0.00076  0.00000
   11  -195904.3915  -195904.3684  -195904.3684  0.00382  0.00070  0.00000
   12  -195904.3996  -195904.3953  -195904.3953  0.00169  0.00018  0.00000
   13  -195904.4058  -195904.4005  -195904.4005  0.00112  0.00016  0.00000
   14  -195904.4162  -195904.4062  -195904.4062  0.00073  0.00021  0.00000
   15  -195904.4145  -195904.4175  -195904.4175  0.00027  0.00006  0.00000
   16  -195904.4170  -195904.4139  -195904.4139  0.00025  0.00004  0.00000
   17  -195904.4199  -195904.4174  -195904.4174  0.00014  0.00008  0.00000
   18  -195904.4199  -195904.4201  -195904.4201  0.00010  0.00001  0.00000
    1  -195904.9037  -195904.4198  -195904.4198  0.02370  0.11934  0.00000
    2  -195892.2472  -195889.5025  -195889.5025  0.72671  0.49328  0.00000
    3  -195762.5801  -195754.1371  -195754.1371  2.24571  0.36048  0.00000
    4  -195904.6952  -195905.9116  -195905.9116  0.08940  0.01976  0.00000
    5  -195904.1280  -195904.5854  -195904.5854  0.03338  0.00550  0.00000
    6  -195904.1491  -195904.0416  -195904.0416  0.01485  0.00238  0.00000
    7  -195904.1346  -195904.1696  -195904.1696  0.01213  0.00112  0.00000
    8  -195904.1056  -195904.1307  -195904.1307  0.00670  0.00126  0.00000
    9  -195904.1064  -195904.0981  -195904.0981  0.00555  0.00110  0.00000
   10  -195904.1563  -195904.1143  -195904.1143  0.00401  0.00141  0.00000
   11  -195904.1138  -195904.1613  -195904.1613  0.00256  0.00071  0.00000
   12  -195904.1223  -195904.1055  -195904.1055  0.00207  0.00022  0.00000
   13  -195904.1327  -195904.1252  -195904.1252  0.00083  0.00021  0.00000
   14  -195904.1370  -195904.1337  -195904.1337  0.00031  0.00019  0.00000
   15  -195904.1366  -195904.1374  -195904.1374  0.00020  0.00006  0.00000
   16  -195904.1376  -195904.1362  -195904.1362  0.00018  0.00005  0.00000
   17  -195904.1380  -195904.1378  -195904.1378  0.00014  0.00003  0.00000
   18  -195904.1389  -195904.1378  -195904.1378  0.00010  0.00002  0.00000
