 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195935.8405  -196193.2462  -196193.2462  1.98157  1.98157  0.00000
    2  -195925.8402  -196166.9377  -196166.9377  0.29470  1.78330  0.00000
    3  -195851.6789  -195888.9301  -195888.9301  2.10563  0.59656  0.00000
    4  -195704.2990  -195657.0498  -195657.0498  3.73835  0.41585  0.00000
    5  -195872.1360  -195861.5679  -195861.5679  1.34742  0.19987  0.00000
    6  -195903.8944  -195905.6159  -195905.6159  0.81504  0.10641  0.00000
    7  -195907.8263  -195907.5466  -195907.5466  0.15212  0.02072  0.00000
    8  -195908.5879  -195908.1528  -195908.1528  0.06936  0.02996  0.00000
    9  -195908.8954  -195908.6252  -195908.6252  0.03076  0.00967  0.00000
   10  -195909.1983  -195909.0068  -195909.0068  0.02346  0.00918  0.00000
   11  -195909.6473  -195909.1502  -195909.1502  0.03062  0.01003  0.00000
   12  -195909.6041  -195909.7306  -195909.7306  0.01157  0.00290  0.00000
   13  -195909.7954  -195909.6003  -195909.6003  0.00919  0.00605  0.00000
   14  -195909.8336  -195909.7939  -195909.7939  0.01402  0.00295  0.00000
   15  -195909.7909  -195909.8474  -195909.8474  0.00739  0.00147  0.00000
   16  -195909.7479  -195909.7982  -195909.7982  0.00250  0.00113  0.00000
   17  -195909.7514  -195909.7521  -195909.7521  0.00340  0.00065  0.00000
   18  -195909.7457  -195909.7455  -195909.7455  0.00075  0.00035  0.00000
   19  -195909.7372  -195909.7471  -195909.7471  0.00041  0.00013  0.00000
   20  -195909.7308  -195909.7367  -195909.7367  0.00033  0.00021  0.00000
   21  -195909.7289  -195909.7308  -195909.7308  0.00021  0.00009  0.00000
   22  -195909.7308  -195909.7291  -195909.7291  0.00020  0.00007  0.00000
   23  -195909.7323  -195909.7304  -195909.7304  0.00016  0.00008  0.00000
   24  -195909.7325  -195909.7330  -195909.7330  0.00017  0.00005  0.00000
   25  -195909.7343  -195909.7323  -195909.7323  0.00013  0.00006  0.00000
   26  -195909.7350  -195909.7343  -195909.7343  0.00010  0.00005  0.00000
