 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195825.0002  -195961.8665  -195961.8665  1.98285  1.98285  0.00000
    2  -196083.2994  -195893.1994  -195893.1994  1.66128  1.78288  0.00000
    3  -195486.9325  -195738.9933  -195738.9933  4.68830  1.82697  0.00000
    4  -124347.8142  -123310.9072  -123310.9072 66.41263  1.72007  0.00000
    5  -185639.9074  -185275.6319  -185275.6319 26.76728  1.10386  0.00000
    6  -195780.3332  -195817.3227  -195817.3227  3.05417  0.18152  0.00000
    7  -195846.1027  -195862.8513  -195862.8513  2.29048  0.10257  0.00000
    8  -195825.2596  -195877.6470  -195877.6470  1.79257  0.28098  0.00000
    9  -195896.6916  -195862.8222  -195862.8222  0.51716  0.13459  0.00000
   10  -195892.7410  -195900.0975  -195900.0975  0.16754  0.03289  0.00000
   11  -195891.1143  -195893.7825  -195893.7825  0.03982  0.01151  0.00000
   12  -195890.7041  -195891.1544  -195891.1544  0.02431  0.00392  0.00000
   13  -195891.0235  -195890.6884  -195890.6884  0.02949  0.00148  0.00000
   14  -195890.4106  -195891.1113  -195891.1113  0.01801  0.00443  0.00000
