 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195856.6096  -196103.7796  -196103.7796  1.98191  1.98191  0.00000
    2  -195942.4485  -196054.4858  -196054.4858  1.33766  1.78352  0.00000
    3  -195603.0402  -195766.6997  -195766.6997  2.57635  1.44297  0.00000
    4  -183932.9991  -183519.7435  -183519.7435 28.67127  1.34753  0.00000
    5  -195849.8090  -195862.8978  -195862.8978  2.45760  0.44122  0.00000
    6  -195843.6354  -195850.8868  -195850.8868  2.07474  0.18489  0.00000
    7  -195874.2981  -195875.2774  -195875.2774  1.35011  0.11060  0.00000
    8  -195894.1769  -195899.4684  -195899.4684  0.77822  0.11769  0.00000
    9  -195902.9156  -195900.6646  -195900.6646  0.18318  0.03907  0.00000
   10  -195903.6610  -195903.6953  -195903.6953  0.05710  0.00585  0.00000
   11  -195903.9434  -195903.7708  -195903.7708  0.02932  0.00352  0.00000
   12  -195904.0758  -195903.9957  -195903.9957  0.01905  0.00468  0.00000
   13  -195904.2422  -195904.1138  -195904.1138  0.01092  0.00975  0.00000
   14  -195904.3159  -195904.2633  -195904.2633  0.00812  0.00200  0.00000
   15  -195904.2893  -195904.3270  -195904.3270  0.00357  0.00113  0.00000
   16  -195904.1582  -195904.2880  -195904.2880  0.00314  0.00358  0.00000
   17  -195904.1311  -195904.1553  -195904.1553  0.00094  0.00086  0.00000
   18  -195904.1194  -195904.1308  -195904.1308  0.00075  0.00037  0.00000
   19  -195904.1161  -195904.1183  -195904.1183  0.00064  0.00049  0.00000
   20  -195904.1270  -195904.1164  -195904.1164  0.00047  0.00057  0.00000
   21  -195904.1189  -195904.1276  -195904.1276  0.00033  0.00017  0.00000
   22  -195904.1265  -195904.1181  -195904.1181  0.00028  0.00052  0.00000
   23  -195904.1274  -195904.1270  -195904.1270  0.00017  0.00003  0.00000
   24  -195904.1292  -195904.1272  -195904.1272  0.00013  0.00021  0.00000
   25  -195904.1314  -195904.1294  -195904.1294  0.00013  0.00011  0.00000
   26  -195904.1315  -195904.1315  -195904.1315  0.00010  0.00003  0.00000
    1  -195907.5363  -195904.1314  -195904.1314  0.01894  0.10107  0.00000
    2  -195889.0902  -195896.8493  -195896.8493  0.57728  0.39099  0.00000
    3  -195818.4146  -195806.4601  -195806.4601  1.75739  0.29119  0.00000
    4  -195904.7324  -195905.1992  -195905.1992  0.04095  0.00865  0.00000
    5  -195904.4785  -195904.6649  -195904.6649  0.02115  0.00349  0.00000
    6  -195904.4386  -195904.4511  -195904.4511  0.01201  0.00163  0.00000
    7  -195904.4357  -195904.4445  -195904.4445  0.00984  0.00050  0.00000
    8  -195904.3837  -195904.4352  -195904.4352  0.00732  0.00129  0.00000
    9  -195904.4104  -195904.3816  -195904.3816  0.00440  0.00052  0.00000
   10  -195904.3863  -195904.4154  -195904.4154  0.00310  0.00056  0.00000
   11  -195904.3975  -195904.3810  -195904.3810  0.00317  0.00053  0.00000
   12  -195904.4054  -195904.4013  -195904.4013  0.00123  0.00016  0.00000
   13  -195904.4084  -195904.4055  -195904.4055  0.00086  0.00014  0.00000
   14  -195904.4151  -195904.4085  -195904.4085  0.00057  0.00023  0.00000
   15  -195904.4131  -195904.4155  -195904.4155  0.00018  0.00005  0.00000
   16  -195904.4149  -195904.4126  -195904.4126  0.00020  0.00003  0.00000
   17  -195904.4163  -195904.4153  -195904.4153  0.00011  0.00006  0.00000
   18  -195904.4161  -195904.4163  -195904.4163  0.00006  0.00001  0.00000
    1  -195906.8452  -195904.4160  -195904.4160  0.01899  0.09941  0.00000
    2  -195891.3184  -195896.4326  -195896.4326  0.57487  0.39315  0.00000
    3  -195819.3533  -195809.2935  -195809.2935  1.72907  0.29112  0.00000
    4  -195904.8058  -195905.3555  -195905.3555  0.04642  0.00988  0.00000
    5  -195904.5309  -195904.7308  -195904.7308  0.02018  0.00354  0.00000
    6  -195904.5037  -195904.5009  -195904.5009  0.01182  0.00182  0.00000
    7  -195904.4931  -195904.5102  -195904.5102  0.00974  0.00047  0.00000
    8  -195904.4347  -195904.4927  -195904.4927  0.00724  0.00111  0.00000
