 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195767.3912  -195370.5595  -195370.5595  1.97845  1.97845  0.00000
    2  -195737.4524  -195396.9954  -195396.9954  0.26993  1.77973  0.00000
    3  -195290.5373  -195367.1773  -195367.1773  1.91002  0.56103  0.00000
    4  -194893.3694  -194840.8469  -194840.8469  5.96732  0.32554  0.00000
    5  -195423.9947  -195409.1560  -195409.1560  1.47966  0.39084  0.00000
    6  -195417.4081  -195448.3655  -195448.3655  0.89583  0.51596  0.00000
    7  -195457.7091  -195467.0632  -195467.0632  0.28405  0.40409  0.00000
    8  -195473.5936  -195471.0544  -195471.0544  0.19352  0.08297  0.00000
    9  -195471.8771  -195473.2593  -195473.2593  0.15318  2.63585  0.00000
   10  -195469.3136  -195469.3476  -195469.3476  1.05723  0.11463  0.00000
   11  -195469.7119  -195468.6330  -195468.6330  1.09095  1.38251  0.00000
   12  -195471.0800  -195472.5474  -195472.5474  0.65810  0.38042  0.00000
   13  -195475.9111  -195474.0421  -195474.0421  0.37846  0.99308  0.00000
   14  -195471.7747  -195472.3244  -195472.3244  0.78999  0.60465  0.00000
   15  -195471.5615  -195471.8304  -195471.8304  0.39463  0.13953  0.00000
   16  -195472.1082  -195472.9587  -195472.9587  0.31709  0.15102  0.00000
   17  -195475.4303  -195475.6440  -195475.6440  0.10525  0.21532  0.00000
   18  -195473.4672  -195475.5604  -195475.5604  0.17864  0.84550  0.00000
   19  -195476.0827  -195473.7669  -195473.7669  0.59310  0.47941  0.00000
   20  -195476.7445  -195475.8615  -195475.8615  0.05799  0.23401  0.00000
   21  -195475.1568  -195475.5950  -195475.5950  0.09276  0.02305  0.00000
   22  -195475.8479  -195475.8230  -195475.8230  0.06043  0.02297  0.00000
   23  -195476.0127  -195475.8791  -195475.8791  0.04573  0.09174  0.00000
   24  -195476.0650  -195476.0211  -195476.0211  0.04494  0.02902  0.00000
   25  -195475.8640  -195476.0733  -195476.0733  0.02727  0.07597  0.00000
   26  -195476.0117  -195475.9313  -195475.9313  0.04947  0.18118  0.00000
   27  -195476.5063  -195476.3157  -195476.3157  0.02134  0.09410  0.00000
   28  -195476.1854  -195476.1348  -195476.1348  0.01826  0.02251  0.00000
   29  -195475.9307  -195476.1309  -195476.1309  0.02401  0.06053  0.00000
   30  -195476.3446  -195476.2940  -195476.2940  0.02200  0.01961  0.00000
   31  -195476.2655  -195476.2385  -195476.2385  0.00924  0.01982  0.00000
   32  -195476.1789  -195476.2177  -195476.2177  0.00693  0.00707  0.00000
   33  -195476.2509  -195476.2124  -195476.2124  0.00383  0.00461  0.00000
   34  -195476.1783  -195476.2106  -195476.2106  0.00395  0.01523  0.00000
   35  -195476.2732  -195476.1994  -195476.1994  0.00434  0.01582  0.00000
   36  -195476.1495  -195476.2071  -195476.2071  0.00376  0.00479  0.00000
   37  -195476.1796  -195476.1992  -195476.1992  0.00166  0.01236  0.00000
   38  -195476.1616  -195476.1913  -195476.1913  0.00341  0.00660  0.00000
