 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195852.3731  -196107.2620  -196107.2620  1.81591  1.81591  0.00000
    2  -195942.0088  -196058.2111  -196058.2111  1.33427  1.62754  0.00000
    3  -195598.8785  -195746.1975  -195746.1975  2.48604  1.40023  0.00000
    4  -184755.2942  -184359.6940  -184359.6940 27.38613  1.30525  0.00000
    5  -195841.0752  -195855.7467  -195855.7467  2.52107  0.51629  0.00000
    6  -195849.4307  -195858.0606  -195858.0606  2.07258  0.24883  0.00000
    7  -195875.0875  -195876.3269  -195876.3269  1.32980  0.11387  0.00000
    8  -195892.1005  -195898.3148  -195898.3148  0.80775  0.15150  0.00000
    9  -195901.6161  -195898.3841  -195898.3841  0.26699  0.05071  0.00000
   10  -195902.8211  -195902.6326  -195902.6326  0.05226  0.00599  0.00000
   11  -195903.1289  -195902.9225  -195902.9225  0.02068  0.00883  0.00000
   12  -195903.3504  -195903.2225  -195903.2225  0.00982  0.00731  0.00000
   13  -195903.5603  -195903.3782  -195903.3782  0.01518  0.00657  0.00000
   14  -195903.4495  -195903.5975  -195903.5975  0.00705  0.00125  0.00000
   15  -195903.5369  -195903.4345  -195903.4345  0.00605  0.00269  0.00000
   16  -195903.4949  -195903.5513  -195903.5513  0.00284  0.00158  0.00000
   17  -195903.4536  -195903.4950  -195903.4950  0.00213  0.00108  0.00000
   18  -195903.4031  -195903.4484  -195903.4484  0.00259  0.00158  0.00000
   19  -195903.3566  -195903.4055  -195903.4055  0.00121  0.00066  0.00000
   20  -195903.3627  -195903.3537  -195903.3537  0.00086  0.00020  0.00000
   21  -195903.3423  -195903.3640  -195903.3640  0.00081  0.00052  0.00000
   22  -195903.3337  -195903.3412  -195903.3412  0.00061  0.00052  0.00000
   23  -195903.3427  -195903.3328  -195903.3328  0.00043  0.00018  0.00000
   24  -195903.3513  -195903.3439  -195903.3439  0.00039  0.00034  0.00000
   25  -195903.3556  -195903.3508  -195903.3508  0.00018  0.00011  0.00000
   26  -195903.3591  -195903.3562  -195903.3562  0.00024  0.00013  0.00000
   27  -195903.3629  -195903.3588  -195903.3588  0.00009  0.00004  0.00000
    1  -195907.3728  -195903.3631  -195903.3631  0.02367  0.11776  0.00000
    2  -195883.1427  -195891.2290  -195891.2290  0.70710  0.45985  0.00000
    3  -195773.7740  -195758.4179  -195758.4179  2.15931  0.34153  0.00000
    4  -195904.0876  -195904.7518  -195904.7518  0.05608  0.01153  0.00000
    5  -195903.7064  -195903.9951  -195903.9951  0.03059  0.00425  0.00000
    6  -195903.6775  -195903.6707  -195903.6707  0.01492  0.00168  0.00000
    7  -195903.6543  -195903.6863  -195903.6863  0.01238  0.00154  0.00000
    8  -195903.5947  -195903.6536  -195903.6536  0.00805  0.00130  0.00000
    9  -195903.6195  -195903.5918  -195903.5918  0.00689  0.00030  0.00000
   10  -195903.5911  -195903.6236  -195903.6236  0.00478  0.00090  0.00000
   11  -195903.6072  -195903.5853  -195903.5853  0.00316  0.00090  0.00000
   12  -195903.6188  -195903.6132  -195903.6132  0.00178  0.00033  0.00000
   13  -195903.6257  -195903.6187  -195903.6187  0.00093  0.00024  0.00000
   14  -195903.6323  -195903.6260  -195903.6260  0.00049  0.00017  0.00000
   15  -195903.6304  -195903.6325  -195903.6325  0.00025  0.00003  0.00000
   16  -195903.6330  -195903.6300  -195903.6300  0.00030  0.00004  0.00000
   17  -195903.6356  -195903.6334  -195903.6334  0.00020  0.00010  0.00000
   18  -195903.6356  -195903.6356  -195903.6356  0.00011  0.00001  0.00000
   19  -195903.6365  -195903.6356  -195903.6356  0.00009  0.00003  0.00000
    1  -195906.5706  -195903.6366  -195903.6366  0.02371  0.11505  0.00000
    2  -195886.0568  -195890.6803  -195890.6803  0.71022  0.45606  0.00000
    3  -195772.2226  -195759.2907  -195759.2907  2.17398  0.33648  0.00000
    4  -195904.1940  -195904.9453  -195904.9453  0.06204  0.01287  0.00000
    5  -195903.8142  -195904.0968  -195904.0968  0.03002  0.00440  0.00000
    6  -195903.7891  -195903.7711  -195903.7711  0.01497  0.00190  0.00000
    7  -195903.7742  -195903.7974  -195903.7974  0.01239  0.00130  0.00000
    8  -195903.7130  -195903.7741  -195903.7741  0.00863  0.00125  0.00000
    9  -195903.7259  -195903.7060  -195903.7060  0.00683  0.00033  0.00000
   10  -195903.7035  -195903.7302  -195903.7302  0.00500  0.00083  0.00000
   11  -195903.7223  -195903.6990  -195903.6990  0.00326  0.00077  0.00000
   12  -195903.7306  -195903.7271  -195903.7271  0.00163  0.00024  0.00000
   13  -195903.7362  -195903.7309  -195903.7309  0.00102  0.00020  0.00000
   14  -195903.7456  -195903.7366  -195903.7366  0.00065  0.00021  0.00000
   15  -195903.7447  -195903.7464  -195903.7464  0.00031  0.00004  0.00000
   16  -195903.7460  -195903.7443  -195903.7443  0.00022  0.00003  0.00000
   17  -195903.7486  -195903.7461  -195903.7461  0.00018  0.00010  0.00000
   18  -195903.7484  -195903.7487  -195903.7487  0.00008  0.00001  0.00000
    1  -195905.4704  -195903.7483  -195903.7483  0.02374  0.11463  0.00000
    2  -195888.9900  -195889.9266  -195889.9266  0.71766  0.45889  0.00000
    3  -195770.5234  -195760.0323  -195760.0323  2.17965  0.33549  0.00000
    4  -195904.1772  -195905.1179  -195905.1179  0.07523  0.01560  0.00000
    5  -195903.7594  -195904.0691  -195904.0691  0.03182  0.00438  0.00000
    6  -195903.7248  -195903.7080  -195903.7080  0.01523  0.00166  0.00000
    7  -195903.6991  -195903.7295  -195903.7295  0.01261  0.00141  0.00000
    8  -195903.6438  -195903.6988  -195903.6988  0.00861  0.00118  0.00000
    9  -195903.6579  -195903.6339  -195903.6339  0.00677  0.00035  0.00000
   10  -195903.6268  -195903.6636  -195903.6636  0.00480  0.00075  0.00000
   11  -195903.6445  -195903.6211  -195903.6211  0.00379  0.00078  0.00000
   12  -195903.6532  -195903.6485  -195903.6485  0.00165  0.00022  0.00000
   13  -195903.6610  -195903.6542  -195903.6542  0.00106  0.00019  0.00000
   14  -195903.6692  -195903.6616  -195903.6616  0.00060  0.00016  0.00000
   15  -195903.6680  -195903.6701  -195903.6701  0.00028  0.00005  0.00000
   16  -195903.6703  -195903.6675  -195903.6675  0.00029  0.00004  0.00000
   17  -195903.6736  -195903.6707  -195903.6707  0.00020  0.00010  0.00000
   18  -195903.6736  -195903.6738  -195903.6738  0.00010  0.00001  0.00000
   19  -195903.6741  -195903.6736  -195903.6736  0.00009  0.00002  0.00000
    1  -195904.2780  -195903.6741  -195903.6741  0.02374  0.11423  0.00000
    2  -195891.4826  -195889.1255  -195889.1255  0.71999  0.45952  0.00000
    3  -195767.5241  -195759.2691  -195759.2691  2.18308  0.33546  0.00000
    4  -195903.9304  -195904.9601  -195904.9601  0.08152  0.01662  0.00000
    5  -195903.2423  -195903.8215  -195903.8215  0.03218  0.00758  0.00000
    6  -195903.3851  -195903.1231  -195903.1231  0.02035  0.00430  0.00000
    7  -195903.3844  -195903.4423  -195903.4423  0.01169  0.00152  0.00000
    8  -195903.3573  -195903.3714  -195903.3714  0.00728  0.00144  0.00000
