 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195854.9262  -196105.8194  -196105.8194  1.83315  1.83315  0.00000
    2  -195940.4381  -196056.0736  -196056.0736  1.34048  1.64311  0.00000
    3  -195604.8090  -195766.5852  -195766.5852  2.51546  1.45349  0.00000
    4  -184227.4099  -183820.8441  -183820.8441 28.27492  1.35789  0.00000
    5  -195849.6296  -195862.5842  -195862.5842  2.40602  0.43480  0.00000
    6  -195843.5409  -195851.4176  -195851.4176  2.02695  0.19393  0.00000
    7  -195873.0441  -195872.6110  -195872.6110  1.31569  0.10253  0.00000
    8  -195891.7295  -195898.8337  -195898.8337  0.79352  0.15829  0.00000
    9  -195900.2774  -195896.9293  -195896.9293  0.27257  0.04848  0.00000
   10  -195901.8671  -195901.4347  -195901.4347  0.09572  0.01008  0.00000
   11  -195902.1768  -195902.0934  -195902.0934  0.03083  0.00642  0.00000
   12  -195902.2702  -195902.2428  -195902.2428  0.02028  0.00470  0.00000
   13  -195902.4863  -195902.3041  -195902.3041  0.01220  0.00575  0.00000
   14  -195902.6092  -195902.5226  -195902.5226  0.00821  0.00541  0.00000
   15  -195902.6022  -195902.6279  -195902.6279  0.00606  0.00204  0.00000
   16  -195902.5554  -195902.6058  -195902.6058  0.00229  0.00100  0.00000
   17  -195902.5268  -195902.5534  -195902.5534  0.00148  0.00117  0.00000
   18  -195902.5245  -195902.5282  -195902.5282  0.00154  0.00053  0.00000
   19  -195902.4843  -195902.5223  -195902.5223  0.00121  0.00108  0.00000
   20  -195902.4636  -195902.4836  -195902.4836  0.00098  0.00068  0.00000
   21  -195902.4502  -195902.4638  -195902.4638  0.00053  0.00051  0.00000
   22  -195902.4505  -195902.4494  -195902.4494  0.00038  0.00022  0.00000
   23  -195902.4557  -195902.4506  -195902.4506  0.00033  0.00047  0.00000
   24  -195902.4673  -195902.4554  -195902.4554  0.00017  0.00020  0.00000
   25  -195902.4621  -195902.4677  -195902.4677  0.00019  0.00024  0.00000
   26  -195902.4663  -195902.4620  -195902.4620  0.00010  0.00005  0.00000
   27  -195902.4685  -195902.4664  -195902.4664  0.00005  0.00002  0.00000
    1  -195906.4084  -195902.4686  -195902.4686  0.02368  0.12265  0.00000
    2  -195882.3386  -195889.9915  -195889.9915  0.71529  0.49412  0.00000
    3  -195770.0493  -195754.8317  -195754.8317  2.17477  0.37013  0.00000
    4  -195903.2267  -195903.9152  -195903.9152  0.05791  0.01216  0.00000
    5  -195902.8253  -195903.1306  -195903.1306  0.03179  0.00418  0.00000
    6  -195902.7846  -195902.7840  -195902.7840  0.01510  0.00181  0.00000
    7  -195902.7652  -195902.7936  -195902.7936  0.01246  0.00142  0.00000
    8  -195902.6978  -195902.7644  -195902.7644  0.00847  0.00139  0.00000
    9  -195902.7252  -195902.6942  -195902.6942  0.00689  0.00041  0.00000
   10  -195902.6949  -195902.7306  -195902.7306  0.00476  0.00078  0.00000
   11  -195902.7091  -195902.6881  -195902.6881  0.00390  0.00087  0.00000
   12  -195902.7220  -195902.7147  -195902.7147  0.00169  0.00026  0.00000
   13  -195902.7298  -195902.7223  -195902.7223  0.00099  0.00024  0.00000
   14  -195902.7373  -195902.7301  -195902.7301  0.00057  0.00020  0.00000
   15  -195902.7357  -195902.7377  -195902.7377  0.00024  0.00006  0.00000
   16  -195902.7379  -195902.7353  -195902.7353  0.00030  0.00004  0.00000
   17  -195902.7406  -195902.7384  -195902.7384  0.00020  0.00011  0.00000
   18  -195902.7405  -195902.7406  -195902.7406  0.00014  0.00001  0.00000
   19  -195902.7416  -195902.7405  -195902.7405  0.00011  0.00004  0.00000
   20  -195902.7413  -195902.7416  -195902.7416  0.00007  0.00002  0.00000
    1  -195905.5983  -195902.7413  -195902.7413  0.02369  0.11994  0.00000
    2  -195885.3432  -195889.5334  -195889.5334  0.71450  0.48726  0.00000
    3  -195769.0897  -195756.3712  -195756.3712  2.18445  0.36325  0.00000
    4  -195903.3158  -195904.0743  -195904.0743  0.06375  0.01325  0.00000
    5  -195902.9148  -195903.2170  -195903.2170  0.03117  0.00463  0.00000
    6  -195902.8848  -195902.8667  -195902.8667  0.01508  0.00207  0.00000
    7  -195902.8726  -195902.8933  -195902.8933  0.01244  0.00121  0.00000
    8  -195902.8085  -195902.8725  -195902.8725  0.00895  0.00138  0.00000
    9  -195902.8240  -195902.8010  -195902.8010  0.00682  0.00046  0.00000
   10  -195902.8002  -195902.8290  -195902.8290  0.00500  0.00075  0.00000
   11  -195902.8190  -195902.7953  -195902.7953  0.00363  0.00079  0.00000
   12  -195902.8277  -195902.8240  -195902.8240  0.00161  0.00023  0.00000
   13  -195902.8333  -195902.8281  -195902.8281  0.00104  0.00021  0.00000
