 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195855.8386  -196105.1732  -196105.1732  1.81591  1.81591  0.00000
    2  -195940.5334  -196055.8695  -196055.8695  1.33265  1.62735  0.00000
    3  -195609.3738  -195768.3179  -195768.3179  2.50390  1.44640  0.00000
    4  -184745.2064  -184349.7651  -184349.7651 27.62262  1.35092  0.00000
    5  -195851.2254  -195863.9677  -195863.9677  2.38691  0.43007  0.00000
    6  -195844.5530  -195852.4558  -195852.4558  2.01705  0.19628  0.00000
    7  -195873.7551  -195873.0472  -195873.0472  1.29832  0.10076  0.00000
    8  -195891.8267  -195899.2186  -195899.2186  0.78905  0.16057  0.00000
    9  -195900.3281  -195896.6784  -195896.6784  0.29477  0.05188  0.00000
   10  -195901.9537  -195901.5467  -195901.5467  0.09790  0.00927  0.00000
   11  -195902.3152  -195902.1850  -195902.1850  0.03307  0.00638  0.00000
   12  -195902.4327  -195902.3890  -195902.3890  0.02131  0.00540  0.00000
   13  -195902.6577  -195902.4702  -195902.4702  0.01203  0.00680  0.00000
   14  -195902.7838  -195902.6969  -195902.6969  0.00738  0.00468  0.00000
   15  -195902.7358  -195902.8014  -195902.8014  0.00602  0.00156  0.00000
   16  -195902.7526  -195902.7311  -195902.7311  0.00358  0.00230  0.00000
   17  -195902.7187  -195902.7611  -195902.7611  0.00240  0.00087  0.00000
   18  -195902.6436  -195902.7151  -195902.7151  0.00155  0.00114  0.00000
   19  -195902.6119  -195902.6405  -195902.6405  0.00090  0.00080  0.00000
   20  -195902.6199  -195902.6110  -195902.6110  0.00069  0.00009  0.00000
   21  -195902.6140  -195902.6207  -195902.6207  0.00053  0.00059  0.00000
   22  -195902.6201  -195902.6138  -195902.6138  0.00035  0.00030  0.00000
   23  -195902.6207  -195902.6205  -195902.6205  0.00019  0.00004  0.00000
   24  -195902.6238  -195902.6205  -195902.6205  0.00016  0.00017  0.00000
   25  -195902.6229  -195902.6242  -195902.6242  0.00017  0.00010  0.00000
   26  -195902.6260  -195902.6225  -195902.6225  0.00012  0.00016  0.00000
   27  -195902.6261  -195902.6261  -195902.6261  0.00006  0.00001  0.00000
    1  -195906.5607  -195902.6261  -195902.6261  0.02367  0.12247  0.00000
    2  -195882.5960  -195890.1942  -195890.1942  0.71469  0.49306  0.00000
    3  -195770.8667  -195755.7326  -195755.7326  2.16606  0.36937  0.00000
    4  -195903.3949  -195904.0788  -195904.0788  0.05771  0.01205  0.00000
    5  -195902.9802  -195903.2977  -195903.2977  0.03173  0.00433  0.00000
    6  -195902.9478  -195902.9363  -195902.9363  0.01500  0.00193  0.00000
    7  -195902.9296  -195902.9586  -195902.9586  0.01243  0.00144  0.00000
    8  -195902.8635  -195902.9290  -195902.9290  0.00836  0.00137  0.00000
    9  -195902.8852  -195902.8597  -195902.8597  0.00695  0.00029  0.00000
   10  -195902.8610  -195902.8895  -195902.8895  0.00496  0.00083  0.00000
   11  -195902.8778  -195902.8556  -195902.8556  0.00332  0.00091  0.00000
   12  -195902.8895  -195902.8839  -195902.8839  0.00171  0.00031  0.00000
   13  -195902.8962  -195902.8894  -195902.8894  0.00098  0.00025  0.00000
   14  -195902.9042  -195902.8965  -195902.8965  0.00057  0.00021  0.00000
   15  -195902.9025  -195902.9047  -195902.9047  0.00028  0.00004  0.00000
   16  -195902.9043  -195902.9021  -195902.9021  0.00027  0.00004  0.00000
   17  -195902.9075  -195902.9046  -195902.9046  0.00020  0.00013  0.00000
   18  -195902.9073  -195902.9075  -195902.9075  0.00009  0.00001  0.00000
    1  -195905.7604  -195902.9072  -195902.9072  0.02374  0.11975  0.00000
    2  -195885.5474  -195889.7161  -195889.7161  0.71419  0.48639  0.00000
    3  -195769.5637  -195756.8862  -195756.8862  2.17933  0.36272  0.00000
    4  -195903.4823  -195904.2341  -195904.2341  0.06316  0.01311  0.00000
    5  -195903.0728  -195903.3823  -195903.3823  0.03102  0.00471  0.00000
    6  -195903.0485  -195903.0227  -195903.0227  0.01504  0.00218  0.00000
    7  -195903.0382  -195903.0585  -195903.0585  0.01244  0.00122  0.00000
    8  -195902.9752  -195903.0383  -195903.0383  0.00888  0.00136  0.00000
    9  -195902.9874  -195902.9677  -195902.9677  0.00689  0.00042  0.00000
   10  -195902.9674  -195902.9918  -195902.9918  0.00510  0.00079  0.00000
   11  -195902.9876  -195902.9632  -195902.9632  0.00327  0.00080  0.00000
   12  -195902.9955  -195902.9926  -195902.9926  0.00165  0.00024  0.00000
   13  -195903.0004  -195902.9958  -195902.9958  0.00103  0.00021  0.00000
   14  -195903.0104  -195903.0006  -195903.0006  0.00070  0.00025  0.00000
   15  -195903.0097  -195903.0115  -195903.0115  0.00033  0.00005  0.00000
   16  -195903.0108  -195903.0094  -195903.0094  0.00019  0.00004  0.00000
   17  -195903.0128  -195903.0109  -195903.0109  0.00016  0.00009  0.00000
   18  -195903.0125  -195903.0129  -195903.0129  0.00007  0.00001  0.00000
    1  -195904.6450  -195903.0125  -195903.0125  0.02373  0.11829  0.00000
    2  -195888.5142  -195888.9116  -195888.9116  0.72464  0.49047  0.00000
    3  -195767.4279  -195757.2421  -195757.2421  2.18515  0.36298  0.00000
    4  -195903.4647  -195904.3996  -195904.3996  0.07429  0.01574  0.00000
    5  -195903.0276  -195903.3532  -195903.3532  0.03250  0.00464  0.00000
    6  -195902.9901  -195902.9722  -195902.9722  0.01526  0.00175  0.00000
    7  -195902.9655  -195902.9951  -195902.9951  0.01263  0.00137  0.00000
    8  -195902.9083  -195902.9653  -195902.9653  0.00874  0.00123  0.00000
    9  -195902.9228  -195902.8979  -195902.8979  0.00681  0.00043  0.00000
   10  -195902.8923  -195902.9287  -195902.9287  0.00485  0.00072  0.00000
   11  -195902.9106  -195902.8865  -195902.8865  0.00387  0.00083  0.00000
   12  -195902.9195  -195902.9148  -195902.9148  0.00165  0.00022  0.00000
   13  -195902.9272  -195902.9205  -195902.9205  0.00107  0.00020  0.00000
   14  -195902.9359  -195902.9279  -195902.9279  0.00063  0.00019  0.00000
   15  -195902.9347  -195902.9369  -195902.9369  0.00028  0.00006  0.00000
   16  -195902.9369  -195902.9342  -195902.9342  0.00028  0.00004  0.00000
   17  -195902.9402  -195902.9373  -195902.9373  0.00020  0.00011  0.00000
   18  -195902.9402  -195902.9404  -195902.9404  0.00009  0.00001  0.00000
    1  -195903.4442  -195902.9401  -195902.9401  0.02375  0.11755  0.00000
    2  -195890.9839  -195888.1206  -195888.1206  0.72620  0.48634  0.00000
    3  -195764.3048  -195756.3007  -195756.3007  2.19344  0.35855  0.00000
    4  -195903.2244  -195904.2598  -195904.2598  0.07830  0.01681  0.00000
    5  -195902.5211  -195903.1082  -195903.1082  0.03233  0.00690  0.00000
    6  -195902.6598  -195902.3948  -195902.3948  0.01851  0.00401  0.00000
    7  -195902.6660  -195902.7218  -195902.7218  0.01173  0.00150  0.00000
    8  -195902.6339  -195902.6537  -195902.6537  0.00740  0.00138  0.00000
