 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195857.0559  -196102.7418  -196102.7418  1.93420  1.93420  0.00000
    2  -195942.4611  -196053.5639  -196053.5639  1.33282  1.73746  0.00000
    3  -195568.6968  -195749.3928  -195749.3928  2.78881  1.53204  0.00000
    4  -180388.4772  -179904.3602  -179904.3602 32.41034  1.43674  0.00000
    5  -195842.8168  -195858.7489  -195858.7489  2.43568  0.50263  0.00000
    6  -195829.9102  -195833.3355  -195833.3355  2.01332  0.15768  0.00000
    7  -195872.2581  -195876.7302  -195876.7302  1.41136  0.13948  0.00000
    8  -195893.6159  -195896.0735  -195896.0735  0.69027  0.10746  0.00000
    9  -195899.7786  -195900.3716  -195900.3716  0.30983  0.13066  0.00000
   10  -195901.1628  -195899.6438  -195899.6438  0.17372  0.02135  0.00000
   11  -195901.7126  -195901.7773  -195901.7773  0.13735  0.01081  0.00000
   12  -195902.2176  -195901.7729  -195901.7729  0.04888  0.00549  0.00000
   13  -195902.1795  -195902.3319  -195902.3319  0.02203  0.00684  0.00000
   14  -195902.2002  -195902.1496  -195902.1496  0.01763  0.00163  0.00000
   15  -195902.2978  -195902.2229  -195902.2229  0.01295  0.00593  0.00000
   16  -195902.3213  -195902.3214  -195902.3214  0.00586  0.00207  0.00000
   17  -195902.3475  -195902.3268  -195902.3268  0.00377  0.00146  0.00000
   18  -195902.2922  -195902.3523  -195902.3523  0.00338  0.00076  0.00000
   19  -195902.2820  -195902.2876  -195902.2876  0.00152  0.00094  0.00000
   20  -195902.2644  -195902.2860  -195902.2860  0.00172  0.00023  0.00000
   21  -195902.2375  -195902.2623  -195902.2623  0.00074  0.00056  0.00000
   22  -195902.2310  -195902.2366  -195902.2366  0.00066  0.00034  0.00000
   23  -195902.2195  -195902.2308  -195902.2308  0.00065  0.00017  0.00000
   24  -195902.2240  -195902.2185  -195902.2185  0.00040  0.00018  0.00000
   25  -195902.2171  -195902.2245  -195902.2245  0.00033  0.00039  0.00000
   26  -195902.2223  -195902.2160  -195902.2160  0.00028  0.00008  0.00000
   27  -195902.2302  -195902.2228  -195902.2228  0.00015  0.00008  0.00000
   28  -195902.2298  -195902.2304  -195902.2304  0.00011  0.00002  0.00000
   29  -195902.2346  -195902.2296  -195902.2296  0.00013  0.00005  0.00000
   30  -195902.2345  -195902.2349  -195902.2349  0.00005  0.00002  0.00000
    1  -195906.2690  -195902.2344  -195902.2344  0.02367  0.12129  0.00000
    2  -195881.8632  -195889.8894  -195889.8894  0.71560  0.48438  0.00000
    3  -195768.9604  -195753.3711  -195753.3711  2.20638  0.36297  0.00000
    4  -195903.0471  -195903.7315  -195903.7315  0.07284  0.01191  0.00000
    5  -195902.5508  -195902.9469  -195902.9469  0.04145  0.00614  0.00000
    6  -195902.5807  -195902.4961  -195902.4961  0.01471  0.00256  0.00000
    7  -195902.5624  -195902.6038  -195902.6038  0.01324  0.00177  0.00000
    8  -195902.4735  -195902.5603  -195902.5603  0.00891  0.00167  0.00000
    9  -195902.4844  -195902.4676  -195902.4676  0.00691  0.00044  0.00000
   10  -195902.5138  -195902.4874  -195902.4874  0.00310  0.00084  0.00000
   11  -195902.5125  -195902.5188  -195902.5188  0.00105  0.00033  0.00000
   12  -195902.5216  -195902.5107  -195902.5107  0.00109  0.00013  0.00000
   13  -195902.5294  -195902.5233  -195902.5233  0.00068  0.00040  0.00000
   14  -195902.5356  -195902.5294  -195902.5294  0.00048  0.00019  0.00000
   15  -195902.5324  -195902.5358  -195902.5358  0.00034  0.00012  0.00000
   16  -195902.5337  -195902.5323  -195902.5323  0.00027  0.00012  0.00000
   17  -195902.5353  -195902.5334  -195902.5334  0.00011  0.00002  0.00000
   18  -195902.5359  -195902.5356  -195902.5356  0.00010  0.00002  0.00000
    1  -195905.4646  -195902.5359  -195902.5359  0.02359  0.11859  0.00000
    2  -195884.7959  -195889.3611  -195889.3611  0.71917  0.47864  0.00000
    3  -195767.2988  -195754.1977  -195754.1977  2.21942  0.35750  0.00000
    4  -195903.1218  -195903.8568  -195903.8568  0.07114  0.01260  0.00000
