 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195889.8675  -196129.0898  -196129.0898******************  0.00000
    2  -195955.0474  -196075.5288  -196075.5288  1.30610*********  0.00000
    3  -195571.4867  -195812.8229  -195812.8229  3.45351*********  0.00000
    4  -182386.1394  -181875.0129  -181875.0129 32.99962*********  0.00000
    5  -195349.1949  -195291.7463  -195291.7463  5.93372*********  0.00000
    6  -195867.7466  -195878.7914  -195878.7914  2.22681*********  0.00000
    7  -195884.0273  -195894.8949  -195894.8949  1.55994993.80169  0.00000
    8  -195877.5320  -195891.6429  -195891.6429  1.55747*********  0.00000
    9  -195873.4469  -195856.8267  -195856.8267  3.12966*********  0.00000
   10  -195909.8281  -195910.9794  -195910.9794  0.18792661.12979  0.00000
   11  -195903.9428  -195902.0995  -195902.0995  1.41595739.44311  0.00000
   12  -195912.5170  -195912.3352  -195912.3352  0.05485 63.10852  0.00000
   13  -195913.1073  -195912.8091  -195912.8091  0.03748189.15065  0.00000
   14  -195913.4572  -195913.1434  -195913.1434  0.08445 56.39583  0.00000
   15  -195913.2069  -195913.4727  -195913.4727  0.05574 22.03457  0.00000
   16  -195913.5859  -195913.1992  -195913.1992  0.03062143.80235  0.00000
   17  -195913.6135  -195913.6137  -195913.6137  0.01357 28.98893  0.00000
   18  -195913.6781  -195913.7349  -195913.7349  0.00757 21.90833  0.00000
   19  -195913.7153  -195913.6965  -195913.6965  0.00737 24.38693  0.00000
   20  -195913.7357  -195913.7928  -195913.7928  0.00533 21.32777  0.00000
   21  -195913.4443  -195913.4979  -195913.4979  0.00423 33.93550  0.00000
   22  -195913.5632  -195913.5887  -195913.5887  0.00153  5.55622  0.00000
   23  -195913.4667  -195913.5108  -195913.5108  0.00204 19.45935  0.00000
   24  -195913.4675  -195913.4880  -195913.4880  0.00127  7.51420  0.00000
   25  -195913.4631  -195913.4753  -195913.4753  0.00153  5.61842  0.00000
   26  -195913.3991  -195913.4183  -195913.4183  0.00132  5.34333  0.00000
   27  -195913.3698  -195913.3547  -195913.3547  0.00182  0.92062  0.00000
   28  -195913.3934  -195913.3994  -195913.3994  0.00093  1.40438  0.00000
   29  -195913.3697  -195913.3642  -195913.3642  0.00066  1.43993  0.00000
   30  -195913.3477  -195913.3441  -195913.3441  0.00050  1.57132  0.00000
   31  -195913.3737  -195913.3758  -195913.3758  0.00058  0.26610  0.00000
   32  -195913.3635  -195913.3631  -195913.3631  0.00059  0.55436  0.00000
   33  -195913.4005  -195913.3994  -195913.3994  0.00051  0.60226  0.00000
   34  -195913.4651  -195913.4651  -195913.4651  0.00110  0.08947  0.00000
   35  -195913.4359  -195913.4367  -195913.4367  0.00090  0.09445  0.00000
   36  -195913.3660  -195913.3627  -195913.3627  0.00073  0.91373  0.00000
   37  -195913.4194  -195913.4183  -195913.4183  0.00078  0.15595  0.00000
   38  -195913.3623  -195913.3629  -195913.3629  0.00050  0.27451  0.00000
   39  -195913.4116  -195913.4082  -195913.4082  0.00072  0.96775  0.00000
   40  -195913.4302  -195913.4309  -195913.4309  0.00151  0.39107  0.00000
   41  -195913.3861  -195913.3857  -195913.3857  0.00057  0.11132  0.00000
   42  -195913.3439  -195913.3427  -195913.3427  0.00087  0.19910  0.00000
   43  -195913.3664  -195913.3674  -195913.3674  0.00064  0.35213  0.00000
   44  -195913.4562  -195913.4549  -195913.4549  0.00097  0.19582  0.00000
   45  -195913.5398  -195913.5401  -195913.5401  0.00182  0.05468  0.00000
   46  -195913.5469  -195913.5468  -195913.5468  0.00178  0.13233  0.00000
   47  -195913.4200  -195913.4188  -195913.4188  0.00044  0.32898  0.00000
   48  -195913.4300  -195913.4306  -195913.4306  0.00090  0.12856  0.00000
   49  -195913.5018  -195913.5008  -195913.5008  0.00121  0.10026  0.00000
   50  -195913.4555  -195913.4578  -195913.4578  0.00116  0.36764  0.00000
   51  -195913.4703  -195913.4693  -195913.4693  0.00120  0.10392  0.00000
   52  -195913.4280  -195913.4280  -195913.4280  0.00066  0.30971  0.00000
   53  -195913.4065  -195913.4062  -195913.4062  0.00040  0.24827  0.00000
   54  -195913.4222  -195913.4219  -195913.4219  0.00059  0.16614  0.00000
   55  -195913.4126  -195913.4120  -195913.4120  0.00057  0.08208  0.00000
   56  -195913.4223  -195913.4222  -195913.4222  0.00073  0.05017  0.00000
   57  -195913.4492  -195913.4485  -195913.4485  0.00051  0.23560  0.00000
   58  -195913.3742  -195913.3740  -195913.3740  0.00080  0.27670  0.00000
   59  -195913.4245  -195913.4234  -195913.4234  0.00023  0.15485  0.00000
   60  -195913.4514  -195913.4514  -195913.4514  0.00050  0.15420  0.00000
   61  -195913.4370  -195913.4370  -195913.4370  0.00047  0.21391  0.00000
