 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195890.5689  -196126.2686  -196126.2686******************  0.00000
    2  -195956.0297  -196072.4585  -196072.4585  1.31351*********  0.00000
    3  -195558.7691  -195807.5322  -195807.5322  3.54813*********  0.00000
    4  -181044.7308  -180499.7165  -180499.7165 34.55327*********  0.00000
    5  -195287.3273  -195224.3827  -195224.3827  6.30879*********  0.00000
    6  -195866.9929  -195878.6464  -195878.6464  2.27179*********  0.00000
    7  -195886.0749  -195894.7965  -195894.7965  1.58761909.53037  0.00000
    8  -195889.1636  -195904.1918  -195904.1918  0.83909965.93588  0.00000
    9  -195888.1925  -195870.3707  -195870.3707  2.65837*********  0.00000
   10  -195897.4902  -195896.8836  -195896.8836  0.94031*********  0.00000
   11  -195911.9144  -195910.5003  -195910.5003  0.09655113.30708  0.00000
   12  -195912.9029  -195912.6676  -195912.6676  0.08518 90.20719  0.00000
   13  -195913.6069  -195913.1063  -195913.1063  0.10286 32.90802  0.00000
   14  -195913.4467  -195913.6432  -195913.6432  0.01793 50.72457  0.00000
   15  -195913.6246  -195913.4436  -195913.4436  0.02014 29.05643  0.00000
   16  -195913.3752  -195913.6071  -195913.6071  0.01085 26.95337  0.00000
   17  -195913.6731  -195913.4928  -195913.4928  0.01840 35.62131  0.00000
   18  -195913.6131  -195913.6434  -195913.6434  0.00685 61.12634  0.00000
   19  -195913.5094  -195913.5432  -195913.5432  0.00524 42.71368  0.00000
   20  -195913.5071  -195913.5676  -195913.5676  0.00275 20.66681  0.00000
   21  -195913.4995  -195913.5438  -195913.5438  0.00173 19.63745  0.00000
   22  -195913.3878  -195913.3700  -195913.3700  0.00211  4.52883  0.00000
   23  -195913.4408  -195913.4716  -195913.4716  0.00124 10.49964  0.00000
   24  -195913.3919  -195913.4160  -195913.4160  0.00104 11.95379  0.00000
   25  -195913.3355  -195913.3362  -195913.3362  0.00063  2.48529  0.00000
   26  -195913.4653  -195913.4557  -195913.4557  0.00170  4.20578  0.00000
   27  -195913.4013  -195913.4077  -195913.4077  0.00074  4.87522  0.00000
   28  -195913.3985  -195913.3972  -195913.3972  0.00105  0.40314  0.00000
   29  -195913.3360  -195913.3353  -195913.3353  0.00065  1.90664  0.00000
   30  -195913.4677  -195913.4688  -195913.4688  0.00116  1.16319  0.00000
   31  -195913.4195  -195913.4176  -195913.4176  0.00037  0.95125  0.00000
   32  -195913.4032  -195913.4024  -195913.4024  0.00059  0.42066  0.00000
   33  -195913.4041  -195913.4029  -195913.4029  0.00046  0.73211  0.00000
   34  -195913.4325  -195913.4331  -195913.4331  0.00078  0.12429  0.00000
   35  -195913.4677  -195913.4671  -195913.4671  0.00099  0.25177  0.00000
   36  -195913.4384  -195913.4392  -195913.4392  0.00111  0.13994  0.00000
   37  -195913.4691  -195913.4715  -195913.4715  0.00123  0.59276  0.00000
   38  -195913.5187  -195913.5168  -195913.5168  0.00147  0.19139  0.00000
   39  -195913.5156  -195913.5150  -195913.5150  0.00151  0.34101  0.00000
   40  -195913.5249  -195913.5269  -195913.5269  0.00187  1.36235  0.00000
   41  -195913.3466  -195913.3449  -195913.3449  0.00061  0.71750  0.00000
   42  -195913.4779  -195913.4782  -195913.4782  0.00108  0.22808  0.00000
   43  -195913.5718  -195913.5720  -195913.5720  0.00217  0.33686  0.00000
   44  -195913.5108  -195913.5090  -195913.5090  0.00126  0.17357  0.00000
   45  -195913.5289  -195913.5286  -195913.5286  0.00203  0.15567  0.00000
   46  -195913.5790  -195913.5777  -195913.5777  0.00191  1.10426  0.00000
   47  -195913.5127  -195913.5119  -195913.5119  0.00158  0.74307  0.00000
   48  -195913.4775  -195913.4820  -195913.4820  0.00086  0.44578  0.00000
   49  -195913.4841  -195913.4800  -195913.4800  0.00102  0.59580  0.00000
   50  -195913.3760  -195913.3757  -195913.3757  0.00103  0.35321  0.00000
   51  -195913.5072  -195913.5075  -195913.5075  0.00104  0.53970  0.00000
   52  -195913.4475  -195913.4478  -195913.4478  0.00050  0.21359  0.00000
   53  -195913.4895  -195913.4888  -195913.4888  0.00145  0.07088  0.00000
   54  -195913.4695  -195913.4679  -195913.4679  0.00117  0.47602  0.00000
   55  -195913.4663  -195913.4678  -195913.4678  0.00030  0.31237  0.00000
   56  -195913.4110  -195913.4123  -195913.4123  0.00111  0.13219  0.00000
   57  -195913.4108  -195913.4091  -195913.4091  0.00087  0.34294  0.00000
   58  -195913.4383  -195913.4380  -195913.4380  0.00080  0.17429  0.00000
   59  -195913.4399  -195913.4390  -195913.4390  0.00078  0.62709  0.00000
   60  -195913.4966  -195913.4966  -195913.4966  0.00147  0.33167  0.00000
   61  -195913.3859  -195913.3860  -195913.3860  0.00111  0.35746  0.00000
   62  -195913.3794  -195913.3792  -195913.3792  0.00058  0.12678  0.00000
   63  -195913.3628  -195913.3633  -195913.3633  0.00064  0.18624  0.00000
   64  -195913.3875  -195913.3839  -195913.3839  0.00055  0.44454  0.00000
   65  -195913.4090  -195913.4123  -195913.4123  0.00053  0.24033  0.00000
   66  -195913.4162  -195913.4161  -195913.4161  0.00046  0.03648  0.00000
   67  -195913.3668  -195913.3668  -195913.3668  0.00074  0.02994  0.00000
   68  -195913.3734  -195913.3737  -195913.3737  0.00071  0.16798  0.00000
   69  -195913.3283  -195913.3277  -195913.3277  0.00121  0.04346  0.00000
   70  -195913.3405  -195913.3382  -195913.3382  0.00102  0.57443  0.00000
   71  -195913.4131  -195913.4140  -195913.4140  0.00103  0.41450  0.00000
   72  -195913.3935  -195913.3942  -195913.3942  0.00039  0.17097  0.00000
   73  -195913.3834  -195913.3835  -195913.3835  0.00049  0.17635  0.00000
   74  -195913.3829  -195913.3828  -195913.3828  0.00045  0.10657  0.00000
   75  -195913.4183  -195913.4187  -195913.4187  0.00073  0.02729  0.00000
   76  -195913.3573  -195913.3576  -195913.3576  0.00088  0.24266  0.00000
   77  -195913.3837  -195913.3825  -195913.3825  0.00025  0.18765  0.00000
   78  -195913.3933  -195913.3936  -195913.3936  0.00036  0.11157  0.00000
   79  -195913.3778  -195913.3774  -195913.3774  0.00027  0.08280  0.00000
   80  -195913.3986  -195913.3990  -195913.3990  0.00027  0.05984  0.00000
   81  -195913.3703  -195913.3717  -195913.3717  0.00070  0.07874  0.00000
   82  -195913.3740  -195913.3726  -195913.3726  0.00057  0.16077  0.00000
   83  -195913.4469  -195913.4468  -195913.4468  0.00092  0.11799  0.00000
   84  -195913.3912  -195913.3911  -195913.3911  0.00020  0.07552  0.00000
   85  -195913.4564  -195913.4565  -195913.4565  0.00083  0.04439  0.00000
   86  -195913.4559  -195913.4568  -195913.4568  0.00097  0.02254  0.00000
   87  -195913.4536  -195913.4530  -195913.4530  0.00106  0.07123  0.00000
   88  -195913.4285  -195913.4289  -195913.4289  0.00054  0.33686  0.00000
   89  -195913.4612  -195913.4610  -195913.4610  0.00040  0.23387  0.00000
   90  -195913.4251  -195913.4269  -195913.4269  0.00081  0.24883  0.00000
   91  -195913.4182  -195913.4174  -195913.4174  0.00071  0.18271  0.00000
