 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195889.8675  -196129.0898  -196129.0898******************  0.00000
    2  -195955.0465  -196075.5276  -196075.5276  1.30610*********  0.00000
    3  -195571.2407  -195812.7298  -195812.7298  3.45330*********  0.00000
    4  -182392.5895  -181880.7327  -181880.7327 32.99804*********  0.00000
    5  -195363.9742  -195307.6498  -195307.6498  5.83509*********  0.00000
    6  -195867.4510  -195878.4580  -195878.4580  2.22525*********  0.00000
    7  -195884.0286  -195894.8124  -195894.8124  1.55890983.87876  0.00000
    8  -195878.0179  -195892.0270  -195892.0270  1.53838*********  0.00000
    9  -195874.4966  -195858.1040  -195858.1040  3.08787*********  0.00000
   10  -195910.0079  -195911.0035  -195911.0035  0.18527608.72275  0.00000
   11  -195905.1257  -195903.4769  -195903.4769  1.31263683.29865  0.00000
   12  -195912.6246  -195912.4458  -195912.4458  0.05529 63.09078  0.00000
   13  -195913.0931  -195912.6502  -195912.6502  0.03987179.77071  0.00000
   14  -195913.6457  -195913.3326  -195913.3326  0.09896 50.20877  0.00000
   15  -195913.3861  -195913.7553  -195913.7553  0.06376 28.83620  0.00000
   16  -195913.6269  -195913.3160  -195913.3160  0.01446 64.18747  0.00000
   17  -195913.6955  -195913.8062  -195913.8062  0.01323 20.02014  0.00000
   18  -195913.5245  -195913.5160  -195913.5160  0.00752 43.28209  0.00000
   19  -195913.6579  -195913.5992  -195913.5992  0.00549 23.30437  0.00000
   20  -195913.6592  -195913.7077  -195913.7077  0.00609 34.64084  0.00000
   21  -195913.5824  -195913.5928  -195913.5928  0.00278  8.54074  0.00000
   22  -195913.6604  -195913.6947  -195913.6947  0.00273  6.96288  0.00000
   23  -195913.5816  -195913.6270  -195913.6270  0.00213 23.64205  0.00000
   24  -195913.5310  -195913.5672  -195913.5672  0.00108 14.07303  0.00000
   25  -195913.4562  -195913.4343  -195913.4343  0.00170  3.56837  0.00000
   26  -195913.4541  -195913.4735  -195913.4735  0.00093  6.37785  0.00000
