 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -196275.9767  -195870.9864  -195870.9864  1.99999  1.99999  0.00000
    2  -196112.5850  -195816.3722  -195816.3722  3.31090  1.79998  0.00000
    3  -189078.1962  -186808.8464  -186808.8464 31.80832 10.24924  0.00000
    4  -180156.4500  -179007.8522  -179007.8522 32.84215  4.52967  0.00000
    5  -191212.7212  -191260.0395  -191260.0395 19.65119  8.84951  0.00000
    6  -195198.0215  -195247.4329  -195247.4329  7.31956  0.70436  0.00000
    7  -195541.9330  -195575.9604  -195575.9604  4.54254  1.21662  0.00000
    8  -195692.0561  -195660.5010  -195660.5010  1.60861  0.19933  0.00000
    9  -195723.0516  -195730.0621  -195730.0621  0.46493  0.17685  0.00000
   10  -195733.4177  -195729.5972  -195729.5972  0.28942  0.10196  0.00000
   11  -195735.4019  -195734.8109  -195734.8109  0.15819  0.06159  0.00000
   12  -195736.6282  -195735.9167  -195735.9167  0.11476  0.02220  0.00000
   13  -195737.0650  -195736.5439  -195736.5439  0.06870  0.01123  0.00000
   14  -195738.4528  -195737.1691  -195737.1691  0.05478  0.01927  0.00000
   15  -195738.5107  -195738.4060  -195738.4060  0.02136  0.00686  0.00000
   16  -195738.6696  -195738.5190  -195738.5190  0.01614  0.00441  0.00000
   17  -195738.6377  -195738.6582  -195738.6582  0.00723  0.00610  0.00000
   18  -195738.5467  -195738.6309  -195738.6309  0.00548  0.00232  0.00000
   19  -195738.5819  -195738.5705  -195738.5705  0.00624  0.00544  0.00000
   20  -195738.5246  -195738.5714  -195738.5714  0.00363  0.00061  0.00000
   21  -195738.4720  -195738.5289  -195738.5289  0.00242  0.00066  0.00000
   22  -195738.4698  -195738.4772  -195738.4772  0.00097  0.00017  0.00000
   23  -195738.4581  -195738.4701  -195738.4701  0.00073  0.00039  0.00000
   24  -195738.4779  -195738.4603  -195738.4603  0.00103  0.00018  0.00000
   25  -195738.4765  -195738.4759  -195738.4759  0.00065  0.00029  0.00000
   26  -195738.4775  -195738.4769  -195738.4769  0.00068  0.00011  0.00000
   27  -195738.4860  -195738.4777  -195738.4777  0.00042  0.00034  0.00000
   28  -195738.4850  -195738.4850  -195738.4850  0.00035  0.00025  0.00000
   29  -195738.4852  -195738.4854  -195738.4854  0.00024  0.00010  0.00000
   30  -195738.4829  -195738.4851  -195738.4851  0.00013  0.00005  0.00000
   31  -195738.4803  -195738.4832  -195738.4832  0.00008  0.00004  0.00000
    1  -195744.5038  -195738.4805  -195738.4805  0.02368  0.08506  0.00000
    2  -195712.5128  -195730.6419  -195730.6419  0.69976  0.27351  0.00000
    3  -195663.7746  -195642.9323  -195642.9323  2.03408  0.20327  0.00000
    4  -195738.8354  -195739.5292  -195739.5292  0.04381  0.01383  0.00000
    5  -195738.8880  -195739.1008  -195739.1008  0.01780  0.00312  0.00000
    6  -195738.9227  -195738.9455  -195738.9455  0.01339  0.00126  0.00000
    7  -195738.9005  -195738.9178  -195738.9178  0.01011  0.00050  0.00000
    8  -195738.8120  -195738.8948  -195738.8948  0.00625  0.00093  0.00000
    9  -195738.8456  -195738.8295  -195738.8295  0.00573  0.00032  0.00000
   10  -195738.8563  -195738.8391  -195738.8391  0.00318  0.00043  0.00000
   11  -195738.8667  -195738.8556  -195738.8556  0.00122  0.00027  0.00000
   12  -195738.8710  -195738.8635  -195738.8635  0.00090  0.00009  0.00000
   13  -195738.8705  -195738.8701  -195738.8701  0.00053  0.00006  0.00000
   14  -195738.8830  -195738.8714  -195738.8714  0.00040  0.00012  0.00000
   15  -195738.8819  -195738.8814  -195738.8814  0.00025  0.00004  0.00000
   16  -195738.8814  -195738.8822  -195738.8822  0.00006  0.00002  0.00000
    1  -195743.9292  -195738.8814  -195738.8814  0.02368  0.08184  0.00000
    2  -195714.1834  -195729.8939  -195729.8939  0.71382  0.27983  0.00000
    3  -195658.8444  -195639.4254  -195639.4254  2.08402  0.20950  0.00000
    4  -195738.8842  -195739.6050  -195739.6050  0.04665  0.01432  0.00000
    5  -195738.9486  -195739.1666  -195739.1666  0.01946  0.00332  0.00000
    6  -195739.0372  -195739.0174  -195739.0174  0.01370  0.00148  0.00000
    7  -195739.0022  -195739.0212  -195739.0212  0.01045  0.00059  0.00000
    8  -195738.9389  -195738.9987  -195738.9987  0.00591  0.00087  0.00000
    9  -195738.9695  -195738.9518  -195738.9518  0.00563  0.00031  0.00000
   10  -195738.9764  -195738.9635  -195738.9635  0.00333  0.00052  0.00000
   11  -195738.9846  -195738.9761  -195738.9761  0.00104  0.00022  0.00000
   12  -195738.9846  -195738.9818  -195738.9818  0.00086  0.00006  0.00000
   13  -195738.9862  -195738.9845  -195738.9845  0.00057  0.00008  0.00000
   14  -195738.9939  -195738.9866  -195738.9866  0.00034  0.00010  0.00000
   15  -195738.9922  -195738.9929  -195738.9929  0.00021  0.00003  0.00000
   16  -195738.9922  -195738.9925  -195738.9925  0.00005  0.00001  0.00000
    1  -195743.0293  -195738.9921  -195738.9921  0.02368  0.08106  0.00000
    2  -195716.7454  -195729.4948  -195729.4948  0.70475  0.27723  0.00000
    3  -195659.0773  -195641.7684  -195641.7684  2.06724  0.20818  0.00000
    4  -195738.8739  -195739.6573  -195739.6573  0.04894  0.01474  0.00000
    5  -195738.9509  -195739.1742  -195739.1742  0.01924  0.00312  0.00000
    6  -195739.0305  -195739.0155  -195739.0155  0.01366  0.00157  0.00000
    7  -195738.9903  -195739.0129  -195739.0129  0.01050  0.00065  0.00000
    8  -195738.9144  -195738.9868  -195738.9868  0.00655  0.00109  0.00000
    9  -195738.9404  -195738.9272  -195738.9272  0.00573  0.00032  0.00000
   10  -195738.9518  -195738.9355  -195738.9355  0.00333  0.00049  0.00000
   11  -195738.9624  -195738.9515  -195738.9515  0.00119  0.00023  0.00000
   12  -195738.9641  -195738.9592  -195738.9592  0.00085  0.00008  0.00000
   13  -195738.9650  -195738.9639  -195738.9639  0.00051  0.00007  0.00000
   14  -195738.9748  -195738.9656  -195738.9656  0.00042  0.00011  0.00000
   15  -195738.9744  -195738.9738  -195738.9738  0.00025  0.00004  0.00000
   16  -195738.9739  -195738.9746  -195738.9746  0.00006  0.00002  0.00000
    1  -195741.9415  -195738.9739  -195738.9739  0.02369  0.08155  0.00000
    2  -195718.7009  -195728.8813  -195728.8813  0.69955  0.27749  0.00000
    3  -195654.3150  -195638.3854  -195638.3854  2.13350  0.21253  0.00000
    4  -195738.4630  -195739.4824  -195739.4824  0.07194  0.01887  0.00000
    5  -195738.3348  -195738.8788  -195738.8788  0.02803  0.00767  0.00000
    6  -195738.7737  -195738.5196  -195738.5196  0.01502  0.00375  0.00000
    7  -195738.6416  -195738.6883  -195738.6883  0.01091  0.00122  0.00000
    8  -195738.6644  -195738.6503  -195738.6503  0.00667  0.00085  0.00000
    9  -195738.6520  -195738.6562  -195738.6562  0.00147  0.00023  0.00000
   10  -195738.6559  -195738.6539  -195738.6539  0.00139  0.00023  0.00000
   11  -195738.6622  -195738.6569  -195738.6569  0.00083  0.00025  0.00000
   12  -195738.6609  -195738.6605  -195738.6605  0.00064  0.00011  0.00000
   13  -195738.6630  -195738.6613  -195738.6613  0.00047  0.00009  0.00000
   14  -195738.6605  -195738.6628  -195738.6628  0.00033  0.00003  0.00000
   15  -195738.6623  -195738.6612  -195738.6612  0.00024  0.00005  0.00000
   16  -195738.6623  -195738.6621  -195738.6621  0.00005  0.00002  0.00000
