 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -196275.8042  -195870.8775  -195870.8775  1.99999  1.99999  0.00000
    2  -196121.8767  -195819.6613  -195819.6613  3.24212  1.79998  0.00000
    3  -189282.0605  -187139.9702  -187139.9702 31.13788 10.23006  0.00000
    4  -180421.0398  -179264.7767  -179264.7767 31.81565  4.41293  0.00000
    5  -191339.3320  -191388.8220  -191388.8220 19.40273  8.84225  0.00000
    6  -195232.5516  -195282.1733  -195282.1733  6.88367  0.78557  0.00000
    7  -195560.0689  -195592.4894  -195592.4894  4.39902  1.44254  0.00000
    8  -195684.4078  -195657.8066  -195657.8066  1.60377  0.28629  0.00000
    9  -195717.7053  -195722.1899  -195722.1899  0.57398  0.09060  0.00000
   10  -195727.1604  -195725.9365  -195725.9365  0.43220  0.24172  0.00000
   11  -195731.6926  -195729.6746  -195729.6746  0.33247  0.05549  0.00000
   12  -195733.3238  -195732.1565  -195732.1565  0.17279  0.02081  0.00000
   13  -195733.6945  -195733.2278  -195733.2278  0.12707  0.00758  0.00000
   14  -195735.4282  -195733.7723  -195733.7723  0.09279  0.01855  0.00000
   15  -195734.8284  -195735.2378  -195735.2378  0.04495  0.02499  0.00000
   16  -195735.2432  -195734.9444  -195734.9444  0.03302  0.00491  0.00000
   17  -195735.1252  -195735.2054  -195735.2054  0.00884  0.00639  0.00000
   18  -195734.9326  -195735.1354  -195735.1354  0.00462  0.00389  0.00000
   19  -195735.0655  -195734.9736  -195734.9736  0.00507  0.00097  0.00000
   20  -195735.0108  -195735.0418  -195735.0418  0.00360  0.00047  0.00000
   21  -195734.9701  -195735.0137  -195735.0137  0.00236  0.00119  0.00000
   22  -195734.9766  -195734.9746  -195734.9746  0.00094  0.00022  0.00000
   23  -195734.9832  -195734.9761  -195734.9761  0.00053  0.00042  0.00000
   24  -195734.9965  -195734.9827  -195734.9827  0.00038  0.00040  0.00000
   25  -195734.9893  -195734.9942  -195734.9942  0.00035  0.00013  0.00000
   26  -195734.9936  -195734.9906  -195734.9906  0.00034  0.00008  0.00000
   27  -195734.9948  -195734.9936  -195734.9936  0.00017  0.00004  0.00000
   28  -195734.9961  -195734.9945  -195734.9945  0.00017  0.00008  0.00000
   29  -195734.9954  -195734.9961  -195734.9961  0.00006  0.00003  0.00000
    1  -195741.1804  -195734.9954  -195734.9954  0.02367  0.08326  0.00000
    2  -195709.0489  -195727.3605  -195727.3605  0.69810  0.27328  0.00000
    3  -195661.3665  -195640.6041  -195640.6041  2.02515  0.20267  0.00000
    4  -195735.3471  -195736.0042  -195736.0042  0.04275  0.01396  0.00000
    5  -195735.4582  -195735.6265  -195735.6265  0.01764  0.00306  0.00000
    6  -195735.4536  -195735.5043  -195735.5043  0.01351  0.00110  0.00000
    7  -195735.4014  -195735.4584  -195735.4584  0.01025  0.00062  0.00000
    8  -195735.3518  -195735.4033  -195735.4033  0.00525  0.00057  0.00000
    9  -195735.3995  -195735.3617  -195735.3617  0.00411  0.00042  0.00000
   10  -195735.3940  -195735.3884  -195735.3884  0.00252  0.00045  0.00000
   11  -195735.4026  -195735.3949  -195735.3949  0.00076  0.00010  0.00000
   12  -195735.4068  -195735.4013  -195735.4013  0.00059  0.00006  0.00000
   13  -195735.4170  -195735.4069  -195735.4069  0.00039  0.00015  0.00000
   14  -195735.4186  -195735.4157  -195735.4157  0.00013  0.00003  0.00000
   15  -195735.4170  -195735.4181  -195735.4181  0.00014  0.00002  0.00000
   16  -195735.4182  -195735.4173  -195735.4173  0.00008  0.00002  0.00000
    1  -195740.5176  -195735.4181  -195735.4181  0.02364  0.08200  0.00000
    2  -195710.5705  -195726.4065  -195726.4065  0.71394  0.28029  0.00000
    3  -195656.0144  -195636.5601  -195636.5601  2.08242  0.20980  0.00000
    4  -195735.4052  -195736.1055  -195736.1055  0.04608  0.01384  0.00000
    5  -195735.4997  -195735.7006  -195735.7006  0.01920  0.00321  0.00000
    6  -195735.5769  -195735.5681  -195735.5681  0.01377  0.00122  0.00000
    7  -195735.5331  -195735.5632  -195735.5632  0.01041  0.00062  0.00000
    8  -195735.4822  -195735.5318  -195735.5318  0.00534  0.00068  0.00000
    9  -195735.5153  -195735.4933  -195735.4933  0.00516  0.00033  0.00000
   10  -195735.5168  -195735.5079  -195735.5079  0.00315  0.00051  0.00000
   11  -195735.5260  -195735.5178  -195735.5178  0.00109  0.00023  0.00000
   12  -195735.5259  -195735.5229  -195735.5229  0.00066  0.00006  0.00000
   13  -195735.5287  -195735.5258  -195735.5258  0.00043  0.00008  0.00000
   14  -195735.5359  -195735.5288  -195735.5288  0.00029  0.00010  0.00000
   15  -195735.5338  -195735.5350  -195735.5350  0.00019  0.00003  0.00000
   16  -195735.5340  -195735.5341  -195735.5341  0.00004  0.00001  0.00000
    1  -195739.5698  -195735.5339  -195735.5339  0.02368  0.08158  0.00000
    2  -195713.1409  -195725.9052  -195725.9052  0.70634  0.27853  0.00000
    3  -195655.8927  -195638.5930  -195638.5930  2.07164  0.20887  0.00000
    4  -195735.3414  -195736.1262  -195736.1262  0.05037  0.01500  0.00000
    5  -195735.4314  -195735.6636  -195735.6636  0.01988  0.00337  0.00000
    6  -195735.5373  -195735.5089  -195735.5089  0.01379  0.00182  0.00000
    7  -195735.5094  -195735.5155  -195735.5155  0.01044  0.00065  0.00000
    8  -195735.4305  -195735.5043  -195735.5043  0.00746  0.00123  0.00000
    9  -195735.4554  -195735.4457  -195735.4457  0.00605  0.00038  0.00000
   10  -195735.4589  -195735.4498  -195735.4498  0.00360  0.00044  0.00000
   11  -195735.4729  -195735.4592  -195735.4592  0.00160  0.00027  0.00000
   12  -195735.4744  -195735.4689  -195735.4689  0.00073  0.00010  0.00000
   13  -195735.4724  -195735.4738  -195735.4738  0.00047  0.00006  0.00000
   14  -195735.4812  -195735.4733  -195735.4733  0.00048  0.00011  0.00000
   15  -195735.4824  -195735.4803  -195735.4803  0.00026  0.00007  0.00000
   16  -195735.4814  -195735.4826  -195735.4826  0.00010  0.00003  0.00000
    1  -195738.9231  -195735.4814  -195735.4814  0.02373  0.09673  0.00000
    2  -195714.8392  -195725.2040  -195725.2040  0.69932  0.27779  0.00000
    3  -195647.3983  -195631.2531  -195631.2531  2.15396  0.21453  0.00000
    4  -195734.6988  -195735.9224  -195735.9224  0.10138  0.02477  0.00000
    5  -195734.7508  -195735.3025  -195735.3025  0.03684  0.01389  0.00000
    6  -195735.1527  -195734.9948  -195734.9948  0.01589  0.00428  0.00000
    7  -195735.1022  -195735.1060  -195735.1060  0.01142  0.00179  0.00000
    8  -195735.1082  -195735.1081  -195735.1081  0.00734  0.00127  0.00000
    9  -195735.1278  -195735.1106  -195735.1106  0.00579  0.00037  0.00000
   10  -195735.0999  -195735.1204  -195735.1204  0.00372  0.00045  0.00000
   11  -195735.1091  -195735.1050  -195735.1050  0.00259  0.00057  0.00000
   12  -195735.1044  -195735.1042  -195735.1042  0.00139  0.00029  0.00000
   13  -195735.1020  -195735.1056  -195735.1056  0.00131  0.00022  0.00000
   14  -195735.1004  -195735.1019  -195735.1019  0.00103  0.00010  0.00000
   15  -195735.0947  -195735.1006  -195735.1006  0.00085  0.00017  0.00000
   16  -195735.1031  -195735.0960  -195735.0960  0.00059  0.00012  0.00000
   17  -195735.0958  -195735.1010  -195735.1010  0.00043  0.00010  0.00000
   18  -195735.0971  -195735.0970  -195735.0970  0.00026  0.00002  0.00000
   19  -195735.0967  -195735.0970  -195735.0970  0.00016  0.00002  0.00000
   20  -195735.0965  -195735.0967  -195735.0967  0.00010  0.00002  0.00000
