 iscf   Eharris(eV)      E_KS(eV)   FreeEng(eV)    dHmax    dDmax   Ef(eV)
    1  -195930.3577  -196194.9829  -196194.9829  1.91638  1.91638  0.00000
    2  -195923.4572  -196167.9536  -196167.9536  0.22801  1.72452  0.00000
    3  -195850.5077  -195880.7031  -195880.7031  2.03692  0.88799  0.00000
    4  -195757.9005  -195716.9439  -195716.9439  3.74350  0.59526  0.00000
    5  -195893.3009  -195884.5270  -195884.5270  0.84124  0.12464  0.00000
    6  -195896.7676  -195904.8015  -195904.8015  0.79174  0.86796  0.00000
    7  -195890.5026  -195883.4921  -195883.4921  2.04729  0.87115  0.00000
    8  -195904.3809  -195903.6655  -195903.6655  0.54902  0.01567  0.00000
    9  -195906.4019  -195904.9718  -195904.9718  0.46232  0.05658  0.00000
   10  -195906.8744  -195907.2197  -195907.2197  0.06708  0.02561  0.00000
   11  -195901.8418  -195906.8221  -195906.8221  0.15629  1.02345  0.00000
   12  -195884.5003  -195879.0735  -195879.0735  2.44572  0.98972  0.00000
   13  -195906.5485  -195906.2784  -195906.2784  0.08969  0.02873  0.00000
   14  -195906.6600  -195906.6532  -195906.6532  0.11065  0.00132  0.00000
   15  -195906.9103  -195906.6620  -195906.6620  0.11844  0.03068  0.00000
   16  -195906.9197  -195906.9491  -195906.9491  0.22321  0.06199  0.00000
   17  -195905.5947  -195906.6430  -195906.6430  0.13841  0.08264  0.00000
   18  -195906.3962  -195905.5082  -195905.5082  0.13165  0.05714  0.00000
   19  -195906.3457  -195906.6521  -195906.6521  0.05729  0.03051  0.00000
   20  -195906.2979  -195906.2184  -195906.2184  0.04811  0.00678  0.00000
   21  -195906.5699  -195906.3157  -195906.3157  0.04296  0.03090  0.00000
   22  -195906.4654  -195906.4521  -195906.4521  0.09392  0.02090  0.00000
   23  -195906.3560  -195906.5448  -195906.5448  0.06600  0.04271  0.00000
   24  -195906.8435  -195906.3922  -195906.3922  0.01982  0.02574  0.00000
   25  -195906.5164  -195906.8777  -195906.8777  0.02721  0.02676  0.00000
   26  -195907.1556  -195906.5071  -195906.5071  0.02115  0.03480  0.00000
   27  -195907.1250  -195907.1609  -195907.1609  0.01950  0.00450  0.00000
   28  -195907.2731  -195907.1055  -195907.1055  0.03449  0.01666  0.00000
   29  -195907.3060  -195907.3380  -195907.3380  0.01188  0.02010  0.00000
   30  -195907.3513  -195907.3310  -195907.3310  0.03235  0.00055  0.00000
   31  -195907.1818  -195907.3531  -195907.3531  0.03319  0.02234  0.00000
   32  -195907.2498  -195907.1109  -195907.1109  0.00964  0.02159  0.00000
   33  -195907.2740  -195907.3134  -195907.3134  0.02988  0.00398  0.00000
   34  -195907.1322  -195907.2738  -195907.2738  0.03056  0.02918  0.00000
   35  -195907.1082  -195907.0380  -195907.0380  0.02559  0.01194  0.00000
   36  -195907.1545  -195907.1493  -195907.1493  0.00434  0.00081  0.00000
   37  -195907.1774  -195907.1575  -195907.1575  0.00276  0.00213  0.00000
   38  -195907.1796  -195907.1857  -195907.1857  0.00194  0.00219  0.00000
   39  -195907.1806  -195907.1739  -195907.1739  0.00174  0.00088  0.00000
   40  -195907.1821  -195907.1838  -195907.1838  0.00024  0.00007  0.00000
   41  -195907.1853  -195907.1820  -195907.1820  0.00017  0.00014  0.00000
   42  -195907.1838  -195907.1861  -195907.1861  0.00048  0.00011  0.00000
   43  -195907.1820  -195907.1832  -195907.1832  0.00019  0.00005  0.00000
   44  -195907.1815  -195907.1817  -195907.1817  0.00005  0.00001  0.00000
    1  -195910.6773  -195907.1815  -195907.1815  0.02367  0.11858  0.00000
    2  -195892.3898  -195897.7436  -195897.7436  0.63417  0.33455  0.00000
    3  -195837.6781  -195828.4044  -195828.4044  1.53272  0.23625  0.00000
    4  -195907.3936  -195907.7453  -195907.7453  0.05009  0.04148  0.00000
    5  -195907.5874  -195907.2833  -195907.2833  0.08760  0.02178  0.00000
    6  -195907.5890  -195907.6976  -195907.6976  0.01546  0.00421  0.00000
    7  -195907.4811  -195907.5773  -195907.5773  0.01378  0.00596  0.00000
    8  -195907.3865  -195907.4705  -195907.4705  0.01412  0.00490  0.00000
    9  -195907.4828  -195907.3877  -195907.3877  0.00644  0.00446  0.00000
   10  -195907.4618  -195907.4936  -195907.4936  0.00370  0.00107  0.00000
   11  -195907.4930  -195907.4608  -195907.4608  0.00196  0.00177  0.00000
   12  -195907.5008  -195907.4967  -195907.4967  0.00093  0.00025  0.00000
   13  -195907.4993  -195907.5010  -195907.5010  0.00051  0.00027  0.00000
   14  -195907.4985  -195907.4988  -195907.4988  0.00028  0.00017  0.00000
   15  -195907.4987  -195907.4986  -195907.4986  0.00024  0.00006  0.00000
   16  -195907.5004  -195907.4983  -195907.4983  0.00014  0.00003  0.00000
   17  -195907.5018  -195907.5007  -195907.5007  0.00009  0.00004  0.00000
    1  -195910.0304  -195907.5017  -195907.5017  0.02368  0.10132  0.00000
    2  -195894.6996  -195897.7586  -195897.7586  0.63283  0.31946  0.00000
    3  -195838.1318  -195830.7126  -195830.7126  1.52779  0.23005  0.00000
    4  -195907.6807  -195907.6611  -195907.6611  0.04090  0.02032  0.00000
    5  -195907.7681  -195907.6877  -195907.6877  0.03105  0.01552  0.00000
    6  -195907.6102  -195907.7980  -195907.7980  0.02892  0.00728  0.00000
    7  -195907.5720  -195907.5682  -195907.5682  0.01316  0.00477  0.00000
