#        z (A)          V_H average (eV)
        0.0000000000  -2.1344201052E+000
        0.0734510101  -2.0861882095E+000
        0.1469020202  -1.9448575197E+000
        0.2203530303  -1.7201041928E+000
        0.2938040404  -1.4266847546E+000
        0.3672550505  -1.0826726327E+000
        0.4407060606  -7.0749283392E-001
        0.5141570707  -3.2009565283E-001
        0.5876080808   6.2466237097E-002
        0.6610590909   4.2591887555E-001
        0.7345101010   7.5910101789E-001
        0.8079611111   1.0538490759E+000
        0.8814121212   1.3045847139E+000
        0.9548631313   1.5077614688E+000
        1.0283141414   1.6612974944E+000
        1.1017651515   1.7640783556E+000
        1.1752161616   1.8155733239E+000
        1.2486671717   1.8155801409E+000
        1.3221181818   1.7640987629E+000
        1.3955691919   1.6613313466E+000
        1.4690202020   1.5078084779E+000
        1.5424712121   1.3046443795E+000
        1.6159222222   1.0539205883E+000
        1.6893732323   7.5918314007E-001
        1.7628242424   4.2600981740E-001
        1.8362752525   6.2563546301E-002
        1.9097262626  -3.1999515088E-001
        1.9831772727  -7.0739301066E-001
        2.0566282828  -1.0825779154E+000
        2.1300792929  -1.4265998578E+000
        2.2035303030  -1.7200337380E+000
        2.2769813131  -1.9448055903E+000
        2.3504323232  -2.0861579116E+000
        2.4238833333  -2.1344132149E+000
        2.4973343434  -2.0861985095E+000
        2.5707853535  -1.9448837692E+000
        2.6442363636  -1.7201438553E+000
        2.7176873737  -1.4267343471E+000
        2.7911383838  -1.0827281606E+000
        2.8645893939  -7.0755023137E-001
        2.9380404040  -3.2015115671E-001
        3.0114914141   6.2415826015E-002
        3.0849424242   4.2587606056E-001
        3.1583934343   7.5906759086E-001
        3.2318444444   1.0538261877E+000
        3.3052954545   1.3045729942E+000
        3.3787464646   1.5077611613E+000
        3.4521974747   1.6613085842E+000
        3.5256484848   1.7641006735E+000
        3.5990994949   1.8156066220E+000
        3.6725505051   1.8156241378E+000
        3.7460015152   1.7641531598E+000
        3.8194525253   1.6613958138E+000
        3.8929035354   1.5078826121E+000
        3.9663545455   1.3047276309E+000
        4.0398055556   1.0540121584E+000
        4.1132565657   7.5928185843E-001
        4.1867075758   4.2611400845E-001
        4.2601585859   6.2670913079E-002
        4.3336095960  -3.1988759445E-001
        4.4070606061  -7.0728892168E-001
        4.4805116162  -1.0824814878E+000
        4.5539626263  -1.4265155601E+000
        4.6274136364  -1.7199659379E+000
        4.7008646465  -1.9447581141E+000
        4.7743156566  -2.0861336083E+000
        4.8477666667  -2.1344136061E+000
        4.9212176768  -2.0862235949E+000
        4.9946686869  -1.9449320256E+000
        5.0681196970  -1.7202124320E+000
        5.1415707071  -1.4268194157E+000
        5.2150217172  -1.0828253503E+000
        5.2884727273  -7.0765507007E-001
        5.3619237374  -3.2025944599E-001
        5.4353747475   6.2307748227E-002
        5.5088257576   4.2577118568E-001
        5.5822767677   7.5896822139E-001
        5.6557277778   1.0537340046E+000
        5.7291787879   1.3044891733E+000
        5.8026297980   1.5076865055E+000
        5.8760808081   1.6612436475E+000
        5.9495318182   1.7640458624E+000
        6.0229828283   1.8155622683E+000
        6.0964338384   1.8155905418E+000
        6.1698848485   1.7641306030E+000
        6.2433358586   1.6613845438E+000
        6.3167868687   1.5078827967E+000
        6.3902378788   1.3047392829E+000
        6.4636888889   1.0540350316E+000
        6.5371398990   7.5931532044E-001
        6.6105909091   4.2615690555E-001
        6.6840419192   6.2721450677E-002
        6.7574929293  -3.1983192214E-001
        6.8309439394  -7.0723131611E-001
        6.9043949495  -1.0824257140E+000
        6.9778459596  -1.4264656857E+000
        7.0512969697  -1.7199259591E+000
        7.1247479798  -1.9447315155E+000
        7.1981989899  -2.0861229277E+000
        7.2716500000  -2.1344200859E+000
        7.3451010101  -2.0862469879E+000
        7.4185520202  -1.9449705975E+000
        7.4920030303  -1.7202631590E+000
        7.5654540404  -1.4268783373E+000
        7.6389050505  -1.0828880088E+000
        7.7123560606  -7.0771695542E-001
        7.7858070707  -3.2031637516E-001
        7.8592580808   6.2259364299E-002
        7.9327090909   4.2573420356E-001
        8.0061601010   7.5894474311E-001
        8.0796111111   1.0537254421E+000
        8.1530621212   1.3044963633E+000
        8.2265131313   1.5077098410E+000
        8.2999641414   1.6612832034E+000
        8.3734151515   1.7641014999E+000
        8.4468661616   1.8156337125E+000
        8.5203171717   1.8156774309E+000
        8.5937681818   1.7642325103E+000
        8.6672191919   1.6615009709E+000
        8.7406702020   1.5080131391E+000
        8.8141212121   1.3048827655E+000
        8.8875722222   1.0541906154E+000
        8.9610232323   7.5948158616E-001
        9.0344742424   4.2633192797E-001
        9.1079252525   6.2902687110E-002
        9.1813762626  -3.1964769653E-001
        9.2548272727  -7.0704798986E-001
        9.3282782828  -1.0822477078E+000
        9.4017292929  -1.4262976957E+000
        9.4751803030  -1.7197725905E+000
        9.5486313131  -1.9445968533E+000
        9.6220823232  -2.0860101160E+000
        9.6955333333  -2.1343309938E+000
        9.7689843434  -2.0861820344E+000
