     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000000       0.00000000
    -22.37252453       0.00000000       0.00000000       0.00000000       0.00000000
    -22.34531238       0.00000000       0.00000000       0.00000000       0.00000000
    -22.31810022       0.00000000       0.00000000       0.00000000       0.00000000
    -22.29088807       0.00000000       0.00000000       0.00000000       0.00000000
    -22.26367591       0.00000000       0.00000000       0.00000000       0.00000000
    -22.23646376       0.00000000       0.00000000       0.00000000       0.00000000
    -22.20925161       0.00000000       0.00000000       0.00000000       0.00000000
    -22.18203945       0.00000000       0.00000000       0.00000001       0.00000000
    -22.15482730       0.00000000       0.00000000       0.00000002       0.00000000
    -22.12761515       0.00000000       0.00000001       0.00000003       0.00000000
    -22.10040299       0.00000001       0.00000002       0.00000007       0.00000001
    -22.07319084       0.00000001       0.00000004       0.00000013       0.00000002
    -22.04597869       0.00000003       0.00000007       0.00000024       0.00000003
    -22.01876653       0.00000005       0.00000013       0.00000045       0.00000006
    -21.99155438       0.00000008       0.00000024       0.00000080       0.00000011
    -21.96434222       0.00000014       0.00000043       0.00000139       0.00000020
    -21.93713007       0.00000023       0.00000075       0.00000235       0.00000033
    -21.90991792       0.00000036       0.00000126       0.00000387       0.00000055
    -21.88270576       0.00000056       0.00000204       0.00000618       0.00000087
    -21.85549361       0.00000085       0.00000320       0.00000957       0.00000134
    -21.82828146       0.00000125       0.00000484       0.00001435       0.00000201
    -21.80106930       0.00000179       0.00000707       0.00002079       0.00000291
    -21.77385715       0.00000247       0.00000997       0.00002913       0.00000408
    -21.74664499       0.00000331       0.00001357       0.00003945       0.00000553
    -21.71943284       0.00000429       0.00001783       0.00005162       0.00000725
