     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000000       0.00000000
    -22.37252453       0.00000000       0.00000000       0.00000001       0.00000000
    -22.34531238       0.00000000       0.00000001       0.00000002       0.00000001
    -22.31810022       0.00000000       0.00000001       0.00000004       0.00000001
    -22.29088807       0.00000001       0.00000003       0.00000009       0.00000002
    -22.26367591       0.00000002       0.00000005       0.00000017       0.00000005
    -22.23646376       0.00000004       0.00000011       0.00000034       0.00000009
    -22.20925161       0.00000008       0.00000020       0.00000063       0.00000017
    -22.18203945       0.00000014       0.00000036       0.00000113       0.00000031
    -22.15482730       0.00000024       0.00000062       0.00000196       0.00000054
    -22.12761515       0.00000040       0.00000103       0.00000325       0.00000089
    -22.10040299       0.00000064       0.00000164       0.00000519       0.00000142
    -22.07319084       0.00000099       0.00000254       0.00000798       0.00000218
    -22.04597869       0.00000147       0.00000377       0.00001183       0.00000322
    -22.01876653       0.00000212       0.00000542       0.00001692       0.00000459
    -21.99155438       0.00000297       0.00000754       0.00002338       0.00000632
    -21.96434222       0.00000402       0.00001017       0.00003127       0.00000842
    -21.93713007       0.00000531       0.00001333       0.00004060       0.00001087
    -21.90991792       0.00000687       0.00001707       0.00005135       0.00001366
    -21.88270576       0.00000874       0.00002146       0.00006359       0.00001680
    -21.85549361       0.00001102       0.00002665       0.00007758       0.00002035
    -21.82828146       0.00001385       0.00003289       0.00009388       0.00002445
    -21.80106930       0.00001742       0.00004058       0.00011348       0.00002937
    -21.77385715       0.00002201       0.00005027       0.00013780       0.00003550
    -21.74664499       0.00002790       0.00006259       0.00016863       0.00004335
    -21.71943284       0.00003539       0.00007818       0.00020786       0.00005346
