     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000001       0.00000000
    -22.37252453       0.00000000       0.00000000       0.00000001       0.00000000
    -22.34531238       0.00000000       0.00000001       0.00000003       0.00000000
    -22.31810022       0.00000001       0.00000002       0.00000007       0.00000001
    -22.29088807       0.00000001       0.00000004       0.00000014       0.00000002
    -22.26367591       0.00000002       0.00000009       0.00000028       0.00000005
    -22.23646376       0.00000005       0.00000017       0.00000054       0.00000009
    -22.20925161       0.00000008       0.00000032       0.00000101       0.00000016
    -22.18203945       0.00000015       0.00000057       0.00000180       0.00000029
    -22.15482730       0.00000026       0.00000099       0.00000310       0.00000051
    -22.12761515       0.00000043       0.00000163       0.00000513       0.00000084
    -22.10040299       0.00000069       0.00000260       0.00000816       0.00000133
    -22.07319084       0.00000105       0.00000398       0.00001249       0.00000204
    -22.04597869       0.00000154       0.00000586       0.00001838       0.00000299
    -22.01876653       0.00000218       0.00000831       0.00002604       0.00000423
    -21.99155438       0.00000297       0.00001135       0.00003553       0.00000576
    -21.96434222       0.00000390       0.00001495       0.00004670       0.00000755
    -21.93713007       0.00000493       0.00001899       0.00005923       0.00000955
    -21.90991792       0.00000602       0.00002331       0.00007259       0.00001165
    -21.88270576       0.00000711       0.00002772       0.00008614       0.00001375
    -21.85549361       0.00000814       0.00003202       0.00009928       0.00001573
    -21.82828146       0.00000907       0.00003608       0.00011161       0.00001753
    -21.80106930       0.00000989       0.00003985       0.00012308       0.00001912
    -21.77385715       0.00001061       0.00004343       0.00013405       0.00002056
    -21.74664499       0.00001130       0.00004703       0.00014534       0.00002200
    -21.71943284       0.00001202       0.00005096       0.00015809       0.00002363
