     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000000       0.00000000
    -22.37252453       0.00000000       0.00000000       0.00000001       0.00000000
    -22.34531238       0.00000000       0.00000000       0.00000001       0.00000000
    -22.31810022       0.00000000       0.00000001       0.00000003       0.00000000
    -22.29088807       0.00000000       0.00000001       0.00000005       0.00000001
    -22.26367591       0.00000001       0.00000003       0.00000011       0.00000002
    -22.23646376       0.00000001       0.00000005       0.00000021       0.00000004
    -22.20925161       0.00000003       0.00000010       0.00000038       0.00000007
    -22.18203945       0.00000005       0.00000018       0.00000068       0.00000013
    -22.15482730       0.00000008       0.00000030       0.00000118       0.00000023
    -22.12761515       0.00000013       0.00000050       0.00000195       0.00000037
    -22.10040299       0.00000020       0.00000080       0.00000309       0.00000059
    -22.07319084       0.00000031       0.00000122       0.00000473       0.00000090
    -22.04597869       0.00000046       0.00000180       0.00000696       0.00000133
    -22.01876653       0.00000065       0.00000255       0.00000985       0.00000188
    -21.99155438       0.00000088       0.00000347       0.00001342       0.00000255
    -21.96434222       0.00000115       0.00000456       0.00001763       0.00000334
    -21.93713007       0.00000145       0.00000578       0.00002233       0.00000421
    -21.90991792       0.00000177       0.00000709       0.00002735       0.00000512
    -21.88270576       0.00000208       0.00000843       0.00003244       0.00000602
    -21.85549361       0.00000238       0.00000975       0.00003740       0.00000686
    -21.82828146       0.00000265       0.00001103       0.00004211       0.00000760
    -21.80106930       0.00000289       0.00001228       0.00004657       0.00000824
    -21.77385715       0.00000312       0.00001356       0.00005095       0.00000880
    -21.74664499       0.00000335       0.00001495       0.00005558       0.00000933
    -21.71943284       0.00000362       0.00001657       0.00006091       0.00000993
