     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000000       0.00000000
    -22.37252453       0.00000000       0.00000000       0.00000001       0.00000000
    -22.34531238       0.00000000       0.00000000       0.00000002       0.00000000
    -22.31810022       0.00000000       0.00000001       0.00000004       0.00000001
    -22.29088807       0.00000001       0.00000002       0.00000008       0.00000002
    -22.26367591       0.00000002       0.00000005       0.00000016       0.00000003
    -22.23646376       0.00000003       0.00000009       0.00000032       0.00000006
    -22.20925161       0.00000006       0.00000017       0.00000060       0.00000012
    -22.18203945       0.00000010       0.00000032       0.00000112       0.00000022
    -22.15482730       0.00000019       0.00000057       0.00000201       0.00000040
    -22.12761515       0.00000031       0.00000098       0.00000348       0.00000070
    -22.10040299       0.00000052       0.00000164       0.00000584       0.00000117
    -22.07319084       0.00000082       0.00000265       0.00000949       0.00000190
    -22.04597869       0.00000127       0.00000414       0.00001497       0.00000300
    -22.01876653       0.00000189       0.00000628       0.00002292       0.00000460
    -21.99155438       0.00000273       0.00000925       0.00003409       0.00000685
    -21.96434222       0.00000384       0.00001323       0.00004927       0.00000992
    -21.93713007       0.00000524       0.00001842       0.00006924       0.00001398
    -21.90991792       0.00000697       0.00002495       0.00009467       0.00001918
    -21.88270576       0.00000903       0.00003289       0.00012593       0.00002561
    -21.85549361       0.00001143       0.00004224       0.00016304       0.00003330
    -21.82828146       0.00001413       0.00005289       0.00020554       0.00004218
    -21.80106930       0.00001713       0.00006461       0.00025241       0.00005209
    -21.77385715       0.00002037       0.00007711       0.00030224       0.00006276
    -21.74664499       0.00002386       0.00009005       0.00035335       0.00007388
    -21.71943284       0.00002759       0.00010319       0.00040415       0.00008514
