     Energy_[eV]                s                p                d                f
    -23.16167699       0.00000000       0.00000000       0.00000000       0.00000000
    -23.13446483       0.00000000       0.00000000       0.00000000       0.00000000
    -23.10725268       0.00000000       0.00000000       0.00000000       0.00000000
    -23.08004053       0.00000000       0.00000000       0.00000000       0.00000000
    -23.05282837       0.00000000       0.00000000       0.00000000       0.00000000
    -23.02561622       0.00000000       0.00000000       0.00000000       0.00000000
    -22.99840407       0.00000000       0.00000000       0.00000000       0.00000000
    -22.97119191       0.00000000       0.00000000       0.00000000       0.00000000
    -22.94397976       0.00000000       0.00000000       0.00000000       0.00000000
    -22.91676760       0.00000000       0.00000000       0.00000000       0.00000000
    -22.88955545       0.00000000       0.00000000       0.00000000       0.00000000
    -22.86234330       0.00000000       0.00000000       0.00000000       0.00000000
    -22.83513114       0.00000000       0.00000000       0.00000000       0.00000000
    -22.80791899       0.00000000       0.00000000       0.00000000       0.00000000
    -22.78070684       0.00000000       0.00000000       0.00000000       0.00000000
    -22.75349468       0.00000000       0.00000000       0.00000000       0.00000000
    -22.72628253       0.00000000       0.00000000       0.00000000       0.00000000
    -22.69907037       0.00000000       0.00000000       0.00000000       0.00000000
    -22.67185822       0.00000000       0.00000000       0.00000000       0.00000000
    -22.64464607       0.00000000       0.00000000       0.00000000       0.00000000
    -22.61743391       0.00000000       0.00000000       0.00000000       0.00000000
    -22.59022176       0.00000000       0.00000000       0.00000000       0.00000000
    -22.56300961       0.00000000       0.00000000       0.00000000       0.00000000
    -22.53579745       0.00000000       0.00000000       0.00000000       0.00000000
    -22.50858530       0.00000000       0.00000000       0.00000000       0.00000000
    -22.48137314       0.00000000       0.00000000       0.00000000       0.00000000
    -22.45416099       0.00000000       0.00000000       0.00000000       0.00000000
    -22.42694884       0.00000000       0.00000000       0.00000000       0.00000000
    -22.39973668       0.00000000       0.00000000       0.00000001       0.00000000
    -22.37252453       0.00000000       0.00000001       0.00000003       0.00000001
    -22.34531238       0.00000001       0.00000002       0.00000006       0.00000001
    -22.31810022       0.00000001       0.00000004       0.00000013       0.00000003
    -22.29088807       0.00000003       0.00000009       0.00000028       0.00000006
    -22.26367591       0.00000005       0.00000017       0.00000057       0.00000012
    -22.23646376       0.00000010       0.00000034       0.00000110       0.00000022
    -22.20925161       0.00000019       0.00000063       0.00000205       0.00000042
    -22.18203945       0.00000034       0.00000112       0.00000367       0.00000075
    -22.15482730       0.00000059       0.00000194       0.00000633       0.00000129
    -22.12761515       0.00000098       0.00000322       0.00001051       0.00000213
    -22.10040299       0.00000157       0.00000514       0.00001678       0.00000340
    -22.07319084       0.00000241       0.00000792       0.00002579       0.00000522
    -22.04597869       0.00000358       0.00001174       0.00003819       0.00000772
    -22.01876653       0.00000513       0.00001680       0.00005451       0.00001100
    -21.99155438       0.00000711       0.00002321       0.00007512       0.00001511
    -21.96434222       0.00000952       0.00003103       0.00010006       0.00002007
    -21.93713007       0.00001238       0.00004023       0.00012915       0.00002581
    -21.90991792       0.00001568       0.00005072       0.00016197       0.00003224
    -21.88270576       0.00001943       0.00006247       0.00019814       0.00003926
    -21.85549361       0.00002366       0.00007552       0.00023758       0.00004685
    -21.82828146       0.00002851       0.00009010       0.00028082       0.00005511
    -21.80106930       0.00003419       0.00010673       0.00032920       0.00006436
    -21.77385715       0.00004099       0.00012617       0.00038498       0.00007512
    -21.74664499       0.00004929       0.00014936       0.00045111       0.00008809
    -21.71943284       0.00005946       0.00017727       0.00053077       0.00010405
